Name,Price,Link,Images
"Kindle Paperwhite, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi",CDN$ 139.99,https://www.amazon.ca/Kindle-Paperwhite-High-Resolution-Display-Built/dp/B00QJDU3KY/ref=lp_2690953011_1_1/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/51K+29cKbfL._AA160_.jpg
"Asus T102HA-D4-GR Transformer Mini 10.1-Inch 2 in 1 Touchscreen Laptop, Quad-Core Z8350, 4GB Ram, 128GB EMMC, Grey",CDN$ 534.99,https://www.amazon.ca/Asus-T102HA-D4-GR-Transformer-10-1-Inch-Touchscreen/dp/B01K1JW7RS/ref=lp_2690953011_1_2/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/41i0uqgzPAL._AA160_.jpg
"Asus ZenPad Z300M-A2-GR 16GB Tablet (Dark Grey, 10.1-Inch)",CDN$ 179.10,https://www.amazon.ca/Asus-ZenPad-Z300M-A2-GR-Tablet-10-1-Inch/dp/B01F57BNG2/ref=lp_2690953011_1_3/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-3,https://images-na.ssl-images-amazon.com/images/I/41j7Cy9Pj5L._AA160_.jpg
"Samsung Galaxy Tab A 8""; 16 GB Wifi Tablet (Smoky Titanium) SM-T350NZAAXAR",CDN$ 229.99,https://www.amazon.ca/Samsung-Galaxy-Tablet-Titanium-SM-T350NZAAXAR/dp/B00V49LL90/ref=lp_2690953011_1_4/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-4,https://images-na.ssl-images-amazon.com/images/I/41ePBRdU3XL._AA160_.jpg
"ASUS ZENPAD Z170C-A1-BK 7"" 16 GB Tablet",CDN$ 119.00,https://www.amazon.ca/ASUS-ZENPAD-Z170C-A1-BK-16-Tablet/dp/B010FGJKWC/ref=lp_2690953011_1_5/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-5,https://images-na.ssl-images-amazon.com/images/I/41N9U+e2cOL._AA160_.jpg
"ASUS Z380M-A2-GR Zenpad 8"" IPS WXGA 189 PPI, MTK 8163 Quad-Core, Dark Grey",CDN$ 167.99,https://www.amazon.ca/ASUS-Z380M-A2-GR-Zenpad-WXGA-Quad-Core/dp/B01FGCXUDU/ref=lp_2690953011_1_6/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-6,https://images-na.ssl-images-amazon.com/images/I/41JYmgGBhRL._AA160_.jpg
AOSON R102 10-Inch Android 6.0 Marshmallow MTK8163A-B Quad Core Tablet PC 1GB RAM 16GB internal Storage 1280x800 IPS Touch Screen Dual Camera Wi-Fi Bluetooth White Rear Tablets,CDN$ 106.90,https://www.amazon.ca/R102-Marshmallow-MTK8163A-B-internal-Bluetooth/dp/B01N7FKEZP/ref=lp_2690953011_1_7/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-7,https://images-na.ssl-images-amazon.com/images/I/418XrznTrqL._AA160_.jpg
"[3 Bonus items] Simbans Presto 10 inch tablet 32GB, Android 6 Marshmallow tablet 10.1 inch IPS screen, Quad Core, HDMI, 1GB Tablet PC, 2M + 5M Camera, GPS, WiFi, USB, Bluetooth, 10"" Tablet Computer",CDN$ 159.95,https://www.amazon.ca/Simbans-Android-Marshmallow-Bluetooth-Computer/dp/B01DZDLDB8/ref=lp_2690953011_1_8/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-8,https://images-na.ssl-images-amazon.com/images/I/51mZr0G-ynL._AA160_.jpg
"Apple iPad Air FD785LL/A 16GB, Wi-Fi - Black Certified Refurbished",CDN$ 379.99,https://www.amazon.ca/Apple-iPad-FD785LL-16GB-Wi-Fi/dp/B00M4L4MFC/ref=lp_2690953011_1_9/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-9,https://images-na.ssl-images-amazon.com/images/I/51vJTLVBQeL._AA160_.jpg
"Microsoft Surface Pro 4 i5 (256GB, 8GB RAM)","CDN$ 1,289.99",https://www.amazon.ca/Microsoft-Surface-Pro-256GB-8GB/dp/B01606IDL0/ref=lp_2690953011_1_10/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-10,https://images-na.ssl-images-amazon.com/images/I/41yRDqilgHL._AA160_.jpg
"Samsung Galaxy Tab 7"" E Lite 8GB Android 4.4 Tablet with Spreadtrum T-Shark Quad-Core Processor - White",CDN$ 129.95,https://www.amazon.ca/Samsung-Android-Spreadtrum-Quad-Core-Processor/dp/B01DS819JQ/ref=lp_2690953011_1_11/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-11,https://images-na.ssl-images-amazon.com/images/I/51cZFiwhcBL._AA160_.jpg
Canon EOS Rebel T6 Digital SLR Camera Kit with EF-S 18-55mm f/3.5-5.6 IS II Lens (Black),CDN$ 599.99,https://www.amazon.ca/Canon-Digital-Camera-18-55mm-3-5-5-6/dp/B01CO2JPYS/ref=lp_2690953011_1_12/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-12,https://images-na.ssl-images-amazon.com/images/I/41LwLwxCUcL._AA160_.jpg
"Microsoft Surface Pro 4 i5 (128GB, 4GB RAM)",CDN$ 989.00,https://www.amazon.ca/Microsoft-Surface-Pro-128GB-4GB/dp/B01606KJ6C/ref=lp_2690953011_1_13/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-13,https://images-na.ssl-images-amazon.com/images/I/41yRDqilgHL._AA160_.jpg
"Samsung Galaxy Tab E 9.6"" 16GB Android 5.0 Lollipop Tablet - White",CDN$ 279.99,https://www.amazon.ca/Samsung-Galaxy-Android-Lollipop-Tablet/dp/B0161UWGRM/ref=lp_2690953011_1_14/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-14,https://images-na.ssl-images-amazon.com/images/I/41XGAX9Z+IL._AA160_.jpg
"ASUS ZenPad S 8 Z580C-B1-BK 8"" 32 GB Tablet",CDN$ 249.99,https://www.amazon.ca/ASUS-ZenPad-Z580C-B1-BK-32-Tablet/dp/B011TVF5QC/ref=lp_2690953011_1_15/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-15,https://images-na.ssl-images-amazon.com/images/I/41NEbYhdlnL._AA160_.jpg
"Samsung Galaxy Tab A 7""; 8 GB Wifi Tablet (Black) SM-T280NZKAXAR",CDN$ 179.95,https://www.amazon.ca/Samsung-Galaxy-Tablet-Black-SM-T280NZKAXAR/dp/B01AZ8ERHI/ref=lp_2690953011_1_16/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-16,https://images-na.ssl-images-amazon.com/images/I/412c3kTqsYL._AA160_.jpg
NeuTab K1 10.1 Inch Quad Core Android Tablet,CDN$ 129.99,https://www.amazon.ca/NeuTab-K1-10-1-Android-Tablet/dp/B0147NYDB2/ref=lp_2690953011_1_17/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-17,https://images-na.ssl-images-amazon.com/images/I/51Twl977cpL._AA160_.jpg
