ID,Name,Price,Link,Images,Model
0,"Canon PowerShot SX60 HS Advanced Digital Camera, Black",CDN$ 499.08,https://www.amazon.ca/Canon-PowerShot-Advanced-Digital-Camera/dp/B00NEWZ8EY/ref=sr_1_73/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/51huTKDGkZL._AA160_.jpg, 9543B001
1,Tamron SP 24-70mm Di VC USD Canon Mount AFA007C-700 (Model A007E),CDN$ 899.99,https://www.amazon.ca/Tamron-24-70mm-Canon-AFA007C-700-A007E/dp/B007SNP02K/ref=sr_1_49/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/513AaDjNwIL._AA160_.jpg, A007E
2,NIKON D7200 AF-S DX 18-140mm f/3.5-5.6G ED VR Kit,"CDN$ 1,399.95",https://www.amazon.ca/NIKON-D7200-AF-S-18-140mm-3-5-5-6G/dp/B00UBJLGJO/ref=sr_1_25/131-1908648-4118522?s=photo&ie=UTF8&qid=1507358218&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/51p-wCHu3pL._AA160_.jpg, 33901
3,NIKON D3400 AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR Kit,CDN$ 528.96,https://www.amazon.ca/NIKON-D3400-NIKKOR-18-55mm-3-5-5-6G/dp/B01KUSMESC/ref=lp_677235011_1_1/144-4439763-3125454?s=photo&ie=UTF8&qid=1507358218&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/41MoN2mW6VL._AA160_.jpg, 33891
4,"APEMAN Waterproof Action Camera Full HD 1080P Sports Camera 12MP Diving 30M Underwater Camera 170° Wide Angle Lens Action Cam with Rechargeable Battery, Accessories Kits and Portable Package",CDN$ 49.99,https://www.amazon.ca/Waterproof-Underwater-Rechargeable-Accessories-Portable/dp/B01GFRAU38/ref=sr_1_74/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-74,https://images-na.ssl-images-amazon.com/images/I/514T75-RrBL._AA160_.jpg,none
5,"Mevo Live Event Camera for iOS Devices with iOS 9 or Higher, Black",CDN$ 520.93,https://www.amazon.ca/Mevo-Event-Camera-Devices-Higher/dp/B01G6BIN8C/ref=sr_1_50/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-50,https://images-na.ssl-images-amazon.com/images/I/41lIRxnYWML._AA160_.jpg, MV1-01A-BL
6,Canon EOS6DII EOS 6D Mark II DSLR Camera - Body Only - Black EOS6DII,"CDN$ 2,369.95",https://www.amazon.ca/Canon-EOS6DII-Mark-DSLR-Camera/dp/B072MZCJKN/ref=sr_1_26/131-1908648-4118522?s=photo&ie=UTF8&qid=1507358218&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/51Okly2zXgL._AA160_.jpg, 1897C002
7,DJI Mavic Pro Drone,"CDN$ 1,349.00",https://www.amazon.ca/DJI-CP-PT-000500-Mavic-Pro-Drone/dp/B01LZ8QTSU/ref=lp_677235011_1_2/144-4439763-3125454?s=photo&ie=UTF8&qid=1507358218&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/41aLBzFpw2L._AA160_.jpg, CP.PT.000500
8,Canon EOS 6D 20.2 MP CMOS Digital SLR Camera with 3.0-Inch LCD (Body Only),"CDN$ 1,449.95",https://www.amazon.ca/Canon-20-2-Digital-Camera-3-0-Inch/dp/B009B0MZ8U/ref=sr_1_51/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-51,https://images-na.ssl-images-amazon.com/images/I/416qY+KzHOL._AA160_.jpg, 8035B002
9,Fujifilm X-T20 Mirrorless Digital Camera w/XF18-55mmF2.8-4.0 R LM OIS Lens-Black,"CDN$ 1,549.43",https://www.amazon.ca/Fujifilm-X-T20-Mirrorless-XF18-55mmF2-8-4-0-OIS/dp/B01NCVNDPO/ref=sr_1_75/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-75,https://images-na.ssl-images-amazon.com/images/I/51vZdijf0mL._AA160_.jpg, X-T20 XF18-55mmF2.8-4 R LM OIS Kit Black
10,Sony ILCE7SM2/B Full-Frame Mirrorless Interchangeable Lens Camera (Black),"CDN$ 3,198.00",https://www.amazon.ca/Sony-ILCE7SM2-Full-Frame-Mirrorless-Interchangeable/dp/B0158SRJVQ/ref=sr_1_27/131-1908648-4118522?s=photo&ie=UTF8&qid=1507358218&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/41nAuGyLQ7L._AA160_.jpg, ILCE7SM2/B
11,Canon EOS Rebel T6 Digital SLR Camera Kit with EF-S 18-55mm f/3.5-5.6 DC III Lens (Black),CDN$ 524.95,https://www.amazon.ca/Canon-T6-Digital-18-55mm-3-5-5-6/dp/B01D89BPGC/ref=lp_677235011_1_3/144-4439763-3125454?s=photo&ie=UTF8&qid=1507358218&sr=1-3,https://images-na.ssl-images-amazon.com/images/I/41ANA7Q7BpL._AA160_.jpg, T6
12,Sony Alpha a7R Mark II a7R II a7RII ILCE7RM2/B Mirrorless Camera 32GB Bundle 8PC Accessory Kit. Includes 32GB Memory Card + 2 Extended Life Replacement FW-50 Batteries + AC/DC Rapid Home & Travel Charger + Full Size Tripod + Micro HDMI Cable + MORE,"CDN$ 3,199.95",https://www.amazon.ca/ILCE7RM2-Mirrorless-Accessory-Replacement-Batteries/dp/B014VCL8RQ/ref=sr_1_52/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-52,https://images-na.ssl-images-amazon.com/images/I/51hLboBTVhL._AA160_.jpg, ILCE7RM2/BB
13,"Olympus TG-4 16 MP Waterproof Digital Camera with 3-Inch LCD, Red",CDN$ 479.95,https://www.amazon.ca/Olympus-Waterproof-Digital-Camera-3-Inch/dp/B00UKV5E4Q/ref=sr_1_76/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-76,https://images-na.ssl-images-amazon.com/images/I/41FT4kTUA-L._AA160_.jpg, V104160RU000
14,"Fujifilm Instax Mini 9 Instant Camera, Cobalt Blue",CDN$ 79.99,https://www.amazon.ca/Fujifilm-Instax-Mini-Cobalt-Blue/dp/B06WWL4JD8/ref=lp_677235011_1_4/144-4439763-3125454?s=photo&ie=UTF8&qid=1507358218&sr=1-4,https://images-na.ssl-images-amazon.com/images/I/41SbOse0SpL._AA160_.jpg, Instax Mini 9 - Cobalt Blue
15,Panasonic LUMIX DMC-ZS50S 30X Travel Zoom with Eye Viewfinder (Silver),CDN$ 389.99,https://www.amazon.ca/Panasonic-DMC-ZS50S-Travel-Viewfinder-Silver/dp/B00RBG6GBS/ref=sr_1_53/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-53,https://images-na.ssl-images-amazon.com/images/I/51SseoYOxvL._AA160_.jpg, DMC-ZS50S
16,"DJI CP.PT.000642 Mavic Pro Fly More Bundle, Mini Portable Drones, Gray","CDN$ 1,819.00",https://www.amazon.ca/DJI-CP-PT-000642-Bundle-Portable-Drones/dp/B01LZWGS9L/ref=lp_677235011_1_5/144-4439763-3125454?s=photo&ie=UTF8&qid=1507358218&sr=1-5,https://images-na.ssl-images-amazon.com/images/I/4114La1ewtL._AA160_.jpg, CP.PT.000642
17,Canon PowerShot ELPH 190 IS (Blue) with 10x Optical Zoom and Built-In Wi-Fi,CDN$ 199.00,https://www.amazon.ca/Canon-PowerShot-Optical-Built-Wi-Fi/dp/B019UDHX7A/ref=sr_1_77/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-77,https://images-na.ssl-images-amazon.com/images/I/41nhPxXq5OL._AA160_.jpg, 1090C001
18,Canon EF 24-70mm f/2.8L II USM Standard Zoom Lens,"CDN$ 2,227.50",https://www.amazon.ca/Canon-24-70mm-2-8L-Standard-Zoom/dp/B0076BNK30/ref=sr_1_54/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-54,https://images-na.ssl-images-amazon.com/images/I/51OOydfD9QL._AA160_.jpg, 5175B002
19,Canon EOS 7D Mark II Digital SLR Camera (Body Only),"CDN$ 1,479.95",https://www.amazon.ca/Canon-Mark-Digital-Camera-Body/dp/B00NEWZDRG/ref=sr_1_78/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-78,https://images-na.ssl-images-amazon.com/images/I/41Wd4GbZ-HL._AA160_.jpg, 9128B002
20,Canon EOS Rebel T6i/750D DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS STM Lens & EF 75-300mm f/4-5.6 III Lens 32GB Bundle 15PC Accessory Kit. Includes 32GB Memory Card + 0.43X Wide Angle Lens + 2.2X Telephoto Lens + 3PC Filter Kit (UV-CPL-FLD) + MORE,CDN$ 899.95,https://www.amazon.ca/18-55mm-75-300mm-Accessory-Telephoto-UV-CPL-FLD/dp/B00WL5KDZE/ref=lp_677235011_1_6/144-4439763-3125454?s=photo&ie=UTF8&qid=1507358218&sr=1-6,https://images-na.ssl-images-amazon.com/images/I/61KKG7gCuWL._AA160_.jpg, 0591C003
21,Canon EOS Rebel T6 Digital SLR Camera Kit w/ EF-S 18-55mm f/3.5-5.6 IS II and 75-300mm f/4-5.6 III Zoom Lens + 0.43x Super Wide Angle Macro + 2.2x Telephoto + 64GB Memory + Flash + Bag + Filter Bundle,CDN$ 796.59,https://www.amazon.ca/Digital-18-55mm-3-5-5-6-75-300mm-Telephoto/dp/B01F62DOMM/ref=sr_1_79/136-7612057-5507226?s=photo&ie=UTF8&qid=1507358218&sr=1-79,https://images-na.ssl-images-amazon.com/images/I/519W3DMOtwL._AA160_.jpg, 1159C003K2
22,Canon EOS 77D EF-S 18-55 IS STM Kit,CDN$ 969.95,https://www.amazon.ca/Canon-EOS-77D-EF-S-18-55/dp/B06WGM95NR/ref=sr_1_55/130-0038197-7468401?s=photo&ie=UTF8&qid=1507358218&sr=1-55,https://images-na.ssl-images-amazon.com/images/I/517qFe1tFQL._AA160_.jpg, 1892C016
