ID,Name,Price,Link,Images,Model
0,Intel Compute Stick Windows 10 4GB RAM 32GB ROM - AWOW With Intel Atom X5-Z8350 Processor Dual Band WiFi Intel Built-in fan Mini PC Compute Stick Supports Multiple languages,CDN$ 181.99,https://www.amazon.ca/Intel-Compute-Windows-32GB-Built/dp/B073JD2QW1/ref=sr_1_25/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/51D6y3gFNaL._AA160_.jpg, MP14 4+32GB
1,"iBUYPOWER Gaming PC Computer Desktop AM900Z-Intel i7-7700K 4.2GHz, Geforce GTX 1070 8GB, 16GB DDR4 Ram, 1TB 7200RPM HDD, 240GB SSD, WIFI USB Adapter, Light up Case, Win 10 Home, VR Ready","CDN$ 1,629.99",https://www.amazon.ca/iBUYPOWER-Computer-Desktop-AM900Z-Intel-i7-7700K/dp/B073RKHY2H/ref=lp_677250011_1_1/131-7385536-8548024?s=pc&ie=UTF8&qid=1507346936&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/51QKHRFF+SL._AA160_.jpg, AM900Z
2,"Azulle A-1063-AAP-1 Access Plus, Fan less Mini PC Stick, Cherry Trail T3 Z8300, 4GB RAM+32GB storage, Black",CDN$ 228.84,https://www.amazon.ca/Azulle-1063-AAP-1-Access-Cherry-storage/dp/B01MA52B9L/ref=sr_1_49/142-2062695-3014901?s=pc&ie=UTF8&qid=1507346932&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/310sNw6lxOL._AA160_.jpg, A-1063-AAP-1
3,HP Compaq 6200 Pro SFF Desktop PC - Intel Core i5 3.1GHz 8GB 250GB DVD Windows 10 Home Premium (Certified Refurbished),CDN$ 209.99,https://www.amazon.ca/HP-Compaq-6200-Pro-Desktop/dp/B01MQXS6RR/ref=sr_1_73/131-7314711-1544062?s=pc&ie=UTF8&qid=1507346945&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/41uR8MA+g6L._AA160_.jpg, 6200
4,ASUS GR8 II-T043Z Ready Mini PC Gaming Desktop with Intel Core i7-7700 and GeForce GTX 1060,"CDN$ 1,603.47",https://www.amazon.ca/GR8-II-T043Z-Desktop-i7-7700-GeForce/dp/B06VTCKX57/ref=sr_1_26/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/41gYzxrOkyL._AA160_.jpg, GR8 II-T043Z
5,"Apple iPad mini 4 (128GB, Wi-Fi, Gold)",CDN$ 459.99,https://www.amazon.ca/Apple-iPad-mini-128GB-Wi-Fi/dp/B016PUQWMI/ref=lp_677250011_1_2/131-7385536-8548024?s=pc&ie=UTF8&qid=1507346936&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/41qKoEV4TxL._AA160_.jpg, MK9Q2LL/A
6,Dell OptiPlex 980 SFF Desktop Computer Intel Core i5 650 Processor @3.20GHz 8GB RAM 250GB HDD Windows 10 Professional 64-bit + 20 Inch Monitor + USB keyboard & Mouse + WiFi Ready,CDN$ 295.50,https://www.amazon.ca/Dell-OptiPlex-Computer-Processor-Professional/dp/B01HOQB7HM/ref=sr_1_27/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/41ulqLsefEL._AA160_.jpg,none
7,"Refurbished Desktop computer PC - HP 8100 Small Form Factor, Core i5-650 3.2GHz, 8GB RAM, 250GB Hard Drive, DVD Drive, Windows 7 Professional 64bit",CDN$ 220.00,https://www.amazon.ca/Refurbished-Desktop-computer-PC-Professional/dp/B01DOLBAWS/ref=sr_1_28/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-28,https://images-na.ssl-images-amazon.com/images/I/51v8Cu13GSL._AA160_.jpg,none
8,"CYBERPOWERPC GXIVR8020A4 Gamer Xtreme Desktop Gaming PC, Black",CDN$ 929.99,https://www.amazon.ca/CYBERPOWERPC-GXIVR8020A4-Xtreme-Desktop-Gaming/dp/B0747W15QL/ref=lp_677250011_1_3/131-7385536-8548024?s=pc&ie=UTF8&qid=1507346936&sr=1-3,https://images-na.ssl-images-amazon.com/images/I/51n3tUIpoSL._AA160_.jpg, GXiVR8020A4
9,4GB DDR/64GB eMMC Mini Computer PC - AWOW Intel Celeron Apollo Lake N3450 2.2 GHZ/Gigabit Ethernet 2.4G+5G Dual Wi-Fi/VGA/HDMI/3×USB 3.0,CDN$ 245.99,https://www.amazon.ca/4GB-64GB-eMMC-Mini-Computer/dp/B074DRGFK7/ref=sr_1_29/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-29,https://images-na.ssl-images-amazon.com/images/I/41uzmhfHklL._AA160_.jpg,none
10,"CYBERPOWERPC Gamer Ultra GUA3122ACA w/ AMD FX-4300 3.8GHz CPU, 8GB DDR3, AMD R7 250 2GB, 1TB HDD, 24X DVD+-RW & Win 10 Home 64-Bit Desktop Gaming PC",CDN$ 671.96,https://www.amazon.ca/CYBERPOWERPC-GUA3122ACA-FX-4300-3-8GHz-Desktop/dp/B01MAY2TXB/ref=lp_677250011_1_4/131-7385536-8548024?s=pc&ie=UTF8&qid=1507346936&sr=1-4,https://images-na.ssl-images-amazon.com/images/I/51yABuliQKL._AA160_.jpg, GUA3122ACA
11,Maxesla Z83V Dual Frequency Display Mini PC Linux System Intel Atom x5-Z8350 Processor 2GB/32GB Storage Dual Band 2.4G/5G WiFi 1000M Ethernet Bluetooth 4.0 Mini Desktop Computer support for windows,CDN$ 136.99,https://www.amazon.ca/Maxesla-Frequency-x5-Z8350-Processor-Bluetooth/dp/B0713QHGLK/ref=sr_1_30/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-30,https://images-na.ssl-images-amazon.com/images/I/51AySL1oJyL._AA160_.jpg, TB-05051
12,"CyberpowerPC Gamer Xtreme GXi10040A2 Desktop Gaming PC (Intel i7-7700K 4.2GHz, NVIDIA GTX 1080 8GB, 8GB DDR4 RAM, 1TB 7200RPM SATA III HDD, Win 10 Home), Black","CDN$ 1,956.41",https://www.amazon.ca/CyberpowerPC-GXi10040A2-Desktop-i7-7700K-7200RPM/dp/B01NBLFMDM/ref=lp_677250011_1_5/131-7385536-8548024?s=pc&ie=UTF8&qid=1507346936&sr=1-5,https://images-na.ssl-images-amazon.com/images/I/51e1z3MjZ0L._AA160_.jpg, GXi10040A2
13,ASUS VivoPC- Core i7 6700 3.4 GHz - 12 GB - 1 TB-Windows 10 (M32CD-B09),CDN$ 892.89,https://www.amazon.ca/Asus-Desktop-Intel-Memory-Hybrid/dp/B01GI905RO/ref=sr_1_31/130-1008686-0116233?s=pc&ie=UTF8&qid=1507346933&sr=1-31,https://images-na.ssl-images-amazon.com/images/I/41fzuJvy-YL._AA160_.jpg, 8.89349E+11
