ID,Name,Price,Link,Images,Model
0,"Microsoft Surface Pro, Intel Core i7, 8GB RAM, 256GB (FJZ-00001)","CDN$ 1,900.00",https://www.amazon.ca/Microsoft-Surface-Intel-256GB-FJZ-00001/dp/B072J8RDZM/ref=sr_1_73/130-2914817-7443711?s=pc&ie=UTF8&qid=1501714259&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/418g6Q3eTHL._AA160_.jpg, FJZ-00001
1,LaCie Rugged Mini USB 3.0/USB 2.0 2TB External Hard Drive (9000298),CDN$ 149.55,https://www.amazon.ca/LaCie-Rugged-External-Drive-9000298/dp/B00IRV005E/ref=sr_1_25/136-0584787-7526655?s=pc&ie=UTF8&qid=1501714259&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/31jwjF1-p7L._AA160_.jpg, LAC9000298
2,"ROG Strix GL702VM 17.3"" GSYNC VR Ready Thin and Light Gaming Laptop GTX 1060 6GB Core i77700HQ 16GB DDR4 128GB SSD 1TB HDD","CDN$ 1,899.99",https://www.amazon.ca/Strix-GL702VM-Gaming-Laptop-i77700HQ/dp/B01MY1ZCM5/ref=sr_1_49/131-3449776-4878602?s=pc&ie=UTF8&qid=1501714259&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/51Kw-VqMeoL._AA160_.jpg, GL702VM-DS74
3,"Asus E200HA-UB02-GD Portable 11.6-Inch Intel Quad-Core Laptop 4GB Ram 32GB Storage, Windows 10, Aurora Gold",CDN$ 291.09,https://www.amazon.ca/Asus-E200HA-UB02-GD-Portable-11-6-Inch-Quad-Core/dp/B01LT692RK/ref=lp_677252011_1_1/146-4764314-8652438?s=pc&ie=UTF8&qid=1501714259&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/51zIMkOI70L._AA160_.jpg, E200HA-UB02-GD
4,"Lenovo ThinkPad E570 20H50047US 15.6"" 16:9 Notebook - 1920 x 1080 - In-plane Switching (IPS) Technology - Intel Core i7 (7th Gen) i7-7500U Dual-core (2 Core) 2.70 GHz - 8GB DDR4 SDRAM - 256GB SSD","CDN$ 1,099.88",https://www.amazon.ca/Lenovo-ThinkPad-E570-20H50047US-plane/dp/B01LZ9IPMD/ref=sr_1_74/130-2914817-7443711?s=pc&ie=UTF8&qid=1501714259&sr=1-74,https://images-na.ssl-images-amazon.com/images/I/413fjou3AoL._AA160_.jpg, 20H50047US
5,"Apple iPad mini 4 (128GB, Wi-Fi, Space Gray)",CDN$ 497.90,https://www.amazon.ca/Apple-iPad-128GB-Wi-Fi-Space/dp/B016PW4NX6/ref=sr_1_26/136-0584787-7526655?s=pc&ie=UTF8&qid=1501714259&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/41gwGmUBsBL._AA160_.jpg, MK9N2LL/A
6,"Asus P-Series P2540UA-AB51 Business Standard Laptop, 7th Gen Intel Core i5, 2.5GHz (3M Cache, up to 3.1GHz), FHD Display, 8GB Ram, 1TB HDD, Windows 10 Home, Fingerprint, TPM, 9hrs Battery Life",CDN$ 844.97,https://www.amazon.ca/Asus-P2540UA-AB51-Business-Standard-Fingerprint/dp/B06XJJG4PD/ref=sr_1_50/131-3449776-4878602?s=pc&ie=UTF8&qid=1501714259&sr=1-50,https://images-na.ssl-images-amazon.com/images/I/41PUHRFGpvL._AA160_.jpg, P2540UA-AB51
7,"ASUS F555LA 15.6"" Full-HD Laptop (Core i3, 4GB RAM, 500GB HDD) with Windows 10",CDN$ 564.35,https://www.amazon.ca/F555LA-Full-HD-Laptop-500GB-Windows/dp/B011KFQASE/ref=lp_677252011_1_2/146-4764314-8652438?s=pc&ie=UTF8&qid=1501714259&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/41uXvMCE9UL._AA160_.jpg, F555LA-AB31
8,"HP 15.6"" Touchscreen Notebook (AMD A6-7310 APU, 6GB Ram, 1TB HDD, AMD Radeon R4 Graphics), Windows 10 Home (Blue)",CDN$ 531.98,https://www.amazon.ca/HP-Touchscreen-Notebook-A6-7310-Graphics/dp/B01I7WVCGS/ref=sr_1_75/130-2914817-7443711?s=pc&ie=UTF8&qid=1501714259&sr=1-75,https://images-na.ssl-images-amazon.com/images/I/41vWOgV0KHL._AA160_.jpg, X7V55UA#ABL
9,"iSmart SMTB4001 14"" Laptop | Intel Atom x5-Z8350(Quad-Core), 2GB RAM, 32GB SSD | Windows 10 Home",CDN$ 199.99,https://www.amazon.ca/iSmart-SMTB4001-x5-Z8350-Quad-Core-Windows/dp/B0734DH8D3/ref=sr_1_51/131-3449776-4878602?s=pc&ie=UTF8&qid=1501714259&sr=1-51,https://images-na.ssl-images-amazon.com/images/I/41bby8VlPTL._AA160_.jpg,none
10,"ASUS X555DA-AS11 15 inch Full-HD AMD Quad Core Laptop with Windows 10, Black & Silver",CDN$ 699.00,https://www.amazon.ca/X555DA-AS11-Full-HD-Laptop-Windows-Silver/dp/B01C086TLS/ref=sr_1_27/136-0584787-7526655?s=pc&ie=UTF8&qid=1501714259&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/51JuMK6VQQL._AA160_.jpg, 90NB09D2-M00160
11,Nintendo New Galaxy Style 3DS XL - Nintendo 3DS 3DS XL Edition,CDN$ 206.00,https://www.amazon.ca/Nintendo-New-Galaxy-Style-3DS/dp/B01KOFZOYW/ref=lp_677252011_1_3/146-4764314-8652438?s=pc&ie=UTF8&qid=1501714259&sr=1-3,https://images-na.ssl-images-amazon.com/images/I/51lev59IEGL._AA160_.jpg,none
12,"Asus Transformer Book T101HA-C4-GR 10.1-Inch 2 in 1 Touchscreen Laptop (Quad-Core Z8350, 4GB Ram, 64GB SSD, Windows 10, Grey)",CDN$ 349.00,https://www.amazon.ca/Asus-Transformer-T101HA-C4-GR-10-1-Inch-Touchscreen/dp/B01K1JW9SK/ref=sr_1_76/130-2914817-7443711?s=pc&ie=UTF8&qid=1501714259&sr=1-76,https://images-na.ssl-images-amazon.com/images/I/511KiovLx7L._AA160_.jpg, T101HA-C4-GR
13,"Asus FX502VM-AS73 15.6"" Full HD Gaming Laptop, 7th-Gen Core i7, GTX 1060 3GB 16GB DDR4 Ram, 128GB SSD Plus 1TB HDD with Windows 10","CDN$ 1,942.20",https://www.amazon.ca/Asus-FX502VM-AS73-Gaming-7th-Gen-Windows/dp/B01N9QKYZ9/ref=sr_1_52/131-3449776-4878602?s=pc&ie=UTF8&qid=1501714259&sr=1-52,https://images-na.ssl-images-amazon.com/images/I/41RQViYVZQL._AA160_.jpg, FX502VM-AS73
14,"Hewlett Packard 17-BS010CA 17.3"" HD Laptop, Pentium N3710 QC, 8GB RAM, 1TB, Win10 Bilingual",CDN$ 623.99,https://www.amazon.ca/Hewlett-Packard-17-BS010CA-Pentium-Bilingual/dp/B07383FTSS/ref=sr_1_28/136-0584787-7526655?s=pc&ie=UTF8&qid=1501714259&sr=1-28,https://images-na.ssl-images-amazon.com/images/I/41BWDo41+yL._AA160_.jpg, 1UG29UA#ABL
15,"MSI GL62M 7RD-218CA 2017 Newest i7-7700HQ GTX1050, 8GB/256GB M.2 SSD Laptop, Black","CDN$ 1,299.99",https://www.amazon.ca/MSI-GL62M-7RD-218CA-i7-7700HQ-GTX1050/dp/B01N7O6IAL/ref=sr_1_77/130-2914817-7443711?s=pc&ie=UTF8&qid=1501714259&sr=1-77,https://images-na.ssl-images-amazon.com/images/I/41li5-VrzpL._AA160_.jpg, GL62M 7RD-218CA
16,"Acer Chromebook CB3-431-C345 14-Inch Laptop (Intel Celeron quad-core N3160 , 4GB DDR3 Memory, 32GB SSD, Chrome OS, Bilingual Keyboard)",CDN$ 398.00,https://www.amazon.ca/Acer-Chromebook-CB3-431-C345-quad-core-Bilingual/dp/B01GXGAHRK/ref=lp_677252011_1_4/146-4764314-8652438?s=pc&ie=UTF8&qid=1501714259&sr=1-4,https://images-na.ssl-images-amazon.com/images/I/417AyH3RbXL._AA160_.jpg, 5666716
17,"Acer NH.Q1TAA.001 Predator G9-793-79V5 17.3"" Gaming Notebook (Core i7-7700HQ, 16GB, 2 X 128GB SSD + 1TB HDD) with Windows 10","CDN$ 2,349.00",https://www.amazon.ca/Acer-NH-Q1TAA-001-Predator-G9-793-79V5-i7-7700HQ/dp/B01N6S4A2U/ref=sr_1_53/131-3449776-4878602?s=pc&ie=UTF8&qid=1501714259&sr=1-53,https://images-na.ssl-images-amazon.com/images/I/41A8kEFkxDL._AA160_.jpg, G9-793-79V5
18,"Asus Chromebook C301SA-DB04 13.3 Inch (Intel Celeron N3160, 4GB, 64GB eMMC, Silver)",CDN$ 431.34,https://www.amazon.ca/Asus-Chromebook-C301SA-DB04-Celeron-Silver/dp/B01INVHL2C/ref=sr_1_29/136-0584787-7526655?s=pc&ie=UTF8&qid=1501714259&sr=1-29,https://images-na.ssl-images-amazon.com/images/I/41vhpFMmcqL._AA160_.jpg, C301SA-DB04
