ID,Name,Price,Link,Images,Model
0,"Epson Canada Workforce WF-3620 Wireless and Wi-Fi Direct All-in-One Color Inkjet Printer, Copier, Scanner, 2-Sided Auto Duplex, ADF, Fax(C11CD19201)",CDN$ 408.00,https://www.amazon.ca/Epson-Canada-Workforce-Wireless-C11CD19201/dp/B00JXLGF06/ref=sr_1_73/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/51zbOBen5DL._AA160_.jpg, C11CD19201
1,HP Envy 4520 Wireless All-in-One Photo Printer with Mobile Printing (F0V69A),CDN$ 39.91,https://www.amazon.ca/HP-Wireless-Printer-Printing-F0V69A/dp/B013SKI4LU/ref=lp_677265011_1_1/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/41USmQY22sL._AA160_.jpg, F0V69A#B1H
2,"Avery T-Shirt Transfers for Inkjet Printers, White, 12 Pack (3275)",CDN$ 18.02,https://www.amazon.ca/Avery-T-Shirt-Transfers-Inkjet-Printers/dp/B007Z7H50O/ref=sr_1_25/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/51HmlJsslNL._AA160_.jpg, 03275
3,"DYMO LabelWriter Labeler Thermal, 450 Twin Turbo Label Printer, Box of 1 (1756694)",CDN$ 149.00,https://www.amazon.ca/DYMO-LabelWriter-Labeler-Thermal-1756694/dp/B003BUMS4M/ref=sr_1_49/142-1064416-0926533?s=office&ie=UTF8&qid=1507319832&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/41hSbnG8rqL._AA160_.jpg, 1756694
4,"PrintOxe™ Compatible 5 Toners for 130A Complete Set + BK; 2 Black CF350A , Cyan CF351A , Yellow CF352A , & Magenta CF353A for HP Laser Jet Pro Color MFP M176 , M177 , M177fw Printers",CDN$ 69.95,https://www.amazon.ca/PrintOxeTM-Compatible-Complete-Magenta-Printers/dp/B01M4ML7WJ/ref=sr_1_74/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-74,https://images-na.ssl-images-amazon.com/images/I/51enzpD4neL._AA160_.jpg, H-130A
5,"Starfrit 024700-004-0000 024700 Electric Fondue Set, Silver",CDN$ 44.97,https://www.amazon.ca/Starfrit-024700-004-0000-024700-Electric-Fondue/dp/B01HJ7CCF2/ref=sr_1_50/142-1064416-0926533?s=office&ie=UTF8&qid=1507319832&sr=1-50,https://images-na.ssl-images-amazon.com/images/I/41mmgr1TGIL._AA160_.jpg, 024700-004-0000
6,Canon imageCLASS MF232w Wireless Monochrome Printer with Scanner and Copier,CDN$ 177.21,https://www.amazon.ca/Canon-imageCLASS-MF232w-Wireless-Monochrome/dp/B01LZKJGTX/ref=sr_1_26/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/51C4mfJuCUL._AA160_.jpg, imageCLASS MF232w
7,Brother DCP-L2540DW Wireless Monochrome  Compact Laser 3-in-1 Printer with Wireless Networking and Duplex Printing,CDN$ 179.71,https://www.amazon.ca/Brother-DCP-L2540DW-Wireless-Monochrome-Networking/dp/B00MFG57ZK/ref=lp_677265011_1_2/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/41SvzLZsRWL._AA160_.jpg, DCPL2540DW
8,"Epson WorkForce Pro WF-3720 Wireless All-in-One Color Inkjet Printer, Copier, Scanner with Wi-Fi Direct",CDN$ 130.63,https://www.amazon.ca/Epson-WorkForce-WF-3720-Wireless-Printer/dp/B01N7RZ6AR/ref=sr_1_27/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/41qQrsXc3WL._AA160_.jpg, WF-3720
9,"PrintOxe™ Compatible Set for TN-221 & TN-225 Laser Toners (Black, Cyan, Magenta, and Yellow) 4 Toners for TN221 & TN225 for Printer Models: HL-3140CW , HL-3170CDW , MFC-9130CW , MFC-9330 CDW , MFC-9340 CDW ; Exclusively sold by PanContinent",CDN$ 57.95,https://www.amazon.ca/PrintOxeTM-Compatible-Magenta-TN221-Printer/dp/B019NKU0RU/ref=sr_1_75/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-75,https://images-na.ssl-images-amazon.com/images/I/51xdObGWxXL._AA160_.jpg, TN221/225
10,"HP LaserJet Pro M402dn Monochrome Printer, (C5F94A)",CDN$ 259.99,https://www.amazon.ca/HP-LaserJet-M402dn-Monochrome-Printer/dp/B013SKIBL8/ref=sr_1_51/142-1064416-0926533?s=office&ie=UTF8&qid=1507319832&sr=1-51,https://images-na.ssl-images-amazon.com/images/I/31MINJPsYBL._AA160_.jpg, 402dn
11,Canon PIXMA MX492 Inkjet Printer,CDN$ 57.75,https://www.amazon.ca/Canon-PIXMA-MX492-Inkjet-Printer/dp/B00RN08584/ref=lp_677265011_1_3/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-3,https://images-na.ssl-images-amazon.com/images/I/415f7ZQ8cVL._AA160_.jpg, MX492 BLACK
12,"USB Thermal Receipt Printer?Symcode Ethernet / LAN, & Serial Port - Auto Cutter - Cash Drawer Port - Paper Width 3 1/8"" (80mm) - Works on Windows XP/Vista/7/8/8.1/10 Uses",CDN$ 149.99,https://www.amazon.ca/Thermal-Receipt-Printer-Symcode-Ethernet/dp/B06XRYD7Q8/ref=sr_1_76/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-76,https://images-na.ssl-images-amazon.com/images/I/41FhbV8AJeL._AA160_.jpg,none
13,Pantum P2500W Wireless Monochrome Laser Printer,CDN$ 83.95,https://www.amazon.ca/Pantum-P2500W-Wireless-Monochrome-Printer/dp/B00PSPZOGW/ref=sr_1_52/142-1064416-0926533?s=office&ie=UTF8&qid=1507319832&sr=1-52,https://images-na.ssl-images-amazon.com/images/I/31TYLSRtctL._AA160_.jpg, P2500
14,Canon PIXMA iP110 Wireless Mobile Inkjet Printer plus Lithium-ion battery,CDN$ 229.99,https://www.amazon.ca/Canon-Wireless-Printer-Lithium-ion-battery/dp/B00O524KXW/ref=sr_1_28/147-6002148-9826836?s=office&ie=UTF8&qid=1507319832&sr=1-28,https://images-na.ssl-images-amazon.com/images/I/41DVLWdXwvL._AA160_.jpg, 9596B023
15,"Canon PIXMA MX922 Wireless All-in-One Business Inkjet Printer with Scanner, Copier, Fax  and Auto Document Feeder",CDN$ 150.60,https://www.amazon.ca/Canon-Wireless-Business-Printer-Document/dp/B00B0IC37E/ref=lp_677265011_1_4/142-0401793-6762059?s=office&ie=UTF8&qid=1507319832&sr=1-4,https://images-na.ssl-images-amazon.com/images/I/41njPVO23-L._AA160_.jpg, 6992B003
16,"Canon MG3020 Wireless Color Photo Printer with Scanner and Copier, White",CDN$ 29.99,https://www.amazon.ca/Canon-MG3020-Wireless-Printer-Scanner/dp/B01LY38WGS/ref=sr_1_77/130-1253222-9492515?s=office&ie=UTF8&qid=1507319832&sr=1-77,https://images-na.ssl-images-amazon.com/images/I/41URwPDr2mL._AA160_.jpg, MG3020
