ID,Name,Price,Link,Images,Model
0,"Meidong 2110 Bluetooth Speakers Portable Wireless Speaker with 10W Rich Deep Bass, Waterproof IPX4 Shower Splash Proof, Premium Aluminum Shell and 12 Hours Playtime",CDN$ 39.99,https://www.amazon.ca/Bluetooth-Speakers-Portable-Wireless-Waterproof/dp/B071CTB118/ref=lp_677226011_1_1/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/41U11AHCLQL._AA160_.jpg,none
1,Bose Companion 5 Multimedia Speaker System - Graphite/Silver,CDN$ 449.00,https://www.amazon.ca/Bose-Companion-Multimedia-Speaker-System/dp/B000IE8Z4Q/ref=sr_1_73/131-0827862-1841245?s=electronics&ie=UTF8&qid=1507299369&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/41u+-Wpq-gL._AA160_.jpg, 40326
2,"Polk Audio TL1 Speaker Center Channel (Each, Black)",CDN$ 122.82,https://www.amazon.ca/Polk-Audio-TL1-Speaker-Center/dp/B0043M6668/ref=sr_1_49/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/31M6ffHcopL._AA160_.jpg, TL1 Center black
3,Sonos SUB Wireless Subwoofer (Black),CDN$ 899.99,https://www.amazon.ca/Sonos-SUB-Wireless-Subwoofer-Black/dp/B01HL8LXQ8/ref=sr_1_25/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/41d2633srBL._AA160_.jpg, SUBG1US1BLK
4,Polk Audio 70 RT Full-Range Bandpass Dual-Port In-Ceiling Loudspeaker,CDN$ 153.08,https://www.amazon.ca/Polk-Audio-70-RT-Loudspeaker/dp/B0057XVZ72/ref=sr_1_50/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-50,https://images-na.ssl-images-amazon.com/images/I/51ICiAoWy0L._AA160_.jpg, 70 RT
5,Sonos PLAY:1 Compact Wireless Smart  Speaker for Streaming Music (Black),CDN$ 249.95,https://www.amazon.ca/Sonos-PLAY-Compact-Wireless-Streaming/dp/B00EWCUK1Q/ref=lp_677226011_1_2/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/51Mh7su8LoL._AA160_.jpg, PLAY1US1BLK
6,AmazonBasics 2.1 Channel Bluetooth Sound Bar with Built-In Subwoofer,CDN$ 115.65,https://www.amazon.ca/AmazonBasics-Channel-Bluetooth-Built-Subwoofer/dp/B01JFER19Y/ref=sr_1_26/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/21XqkJkj+IL._AA160_.jpg, SB210
7,"Pyle Active + Passive PA Speaker System Kit, Black (PPHP849KT)",CDN$ 249.99,https://www.amazon.ca/Active-Passive-Speaker-System-PPHP849KT/dp/B01LX4M421/ref=sr_1_51/147-5290873-8201950?s=electronics&ie=UTF8&qid=1507299369&sr=1-51,https://images-na.ssl-images-amazon.com/images/I/41pHcdpCfxL._AA160_.jpg, PPHP849KT
8,"Sony HTST5000 7.1.2 Channel Dolby Atmos Soundbar Home Speaker, Set of 1, Black","CDN$ 1,999.99",https://www.amazon.ca/Sony-HTST5000-Channel-Soundbar-Speaker/dp/B06ZYXH1ML/ref=sr_1_27/131-1726168-7985247?s=electronics&ie=UTF8&qid=1507299369&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/217XTIJKV3L._AA160_.jpg, HT-ST5000
9,"VicTsing Bluetooth Shower Speaker IPX65 Waterproof Speaker Portable Bluetooth Speakers with 5W Drive, Suction Cup, Buit-in Mic, Hands-Free Speakerphone - Black",CDN$ 24.99,https://www.amazon.ca/VicTsing-Bluetooth-Waterproof-Hands-Free-Speakerphone/dp/B00NHDPL2O/ref=lp_677226011_1_3/133-8596178-0194267?s=electronics&ie=UTF8&qid=1507299369&sr=1-3,https://images-na.ssl-images-amazon.com/images/I/51XmPUEi7iL._AA160_.jpg, VS1-PA57B
