ID,Name,Price,Link,Images,Model
0,"LG 65UJ7700 65"" 4K UHD Smart LED Television (2017)","CDN$ 1,488.00",https://www.amazon.ca/LG-65UJ7700-UHD-Smart-Television/dp/B01N5UXLJ8/ref=sr_1_25/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/51eigvuuGRL._AA160_.jpg, 65UJ7700
1,VIZIO D32x-D1 32-Inch 1080p LED Smart TV (2016 Model),CDN$ 258.00,https://www.amazon.ca/VIZIO-D32x-D1-32-Inch-1080p-Smart/dp/B019PZDJEE/ref=lp_2690978011_1_1/139-4473378-7891242?s=electronics&ie=UTF8&qid=1507306088&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/51cAbMUw-HL._AA160_.jpg, D32-D1
2,"LG 49UJ6300 49"" 4K UHD Smart LED Television (2017)",CDN$ 699.99,https://www.amazon.ca/LG-49UJ6300-UHD-Smart-Television/dp/B01N16QDXQ/ref=sr_1_26/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/513dLU4+HgL._AA160_.jpg, 49UJ6300
3,"Monoprice Universal Screen Cleaner for LCD, Plasmas TV, Ipad, Iphone, Galaxy Tabs and Smartphones (105176)",CDN$ 11.00,https://www.amazon.ca/Monoprice-Universal-Cleaner-Smartphones-105176/dp/B00303LRME/ref=sr_1_73/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/413Su9M-PQL._AA160_.jpg, 105176
4,"VIZIO D65-E0 65"" 4K Ultra HD Smart Led Television (2017)","CDN$ 1,248.00",https://www.amazon.ca/VIZIO-D65-E0-Ultra-Smart-Television/dp/B071XXX2C3/ref=sr_1_27/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/51tKzfvVAxL._AA160_.jpg, D65-E0
5,Samsung 6 Series UN55MU6300FXZA 55-Inch UHD 4K Television,CDN$ 999.99,https://www.amazon.ca/Samsung-UN55MU6300FXZA-55-Inch-UHD-Television/dp/B06XGJX3SH/ref=sr_1_74/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-74,https://images-na.ssl-images-amazon.com/images/I/41lw1rOzQHL._AA160_.jpg, UN55MU6300FXZA
6,"VIZIO (D43f-E1) 43-Inch 1080p Led Television (2017), Black",CDN$ 799.99,https://www.amazon.ca/VIZIO-D43f-E1-43-Inch-1080p-Television/dp/B01CRF2G9S/ref=sr_1_49/142-3140484-2769618?s=electronics&ie=UTF8&qid=1507306089&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/51QDFkiA2NL._AA160_.jpg, D43-D2
7,"VIZIO E65-E1 65"" 4K Ultra HD Smart Led Television (2017)","CDN$ 1,199.99",https://www.amazon.ca/VIZIO-E65-E1-Ultra-Smart-Television/dp/B01LXBCJMQ/ref=sr_1_28/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-28,https://images-na.ssl-images-amazon.com/images/I/51pxHh5yAsL._AA160_.jpg, E65-E0
8,"VIZIO E60-E3 60"" 4K Ultra HD Smart Led Television (2017)","CDN$ 1,199.99",https://www.amazon.ca/VIZIO-E60-E3-Ultra-Smart-Television/dp/B01LWDZ2VK/ref=sr_1_75/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-75,https://images-na.ssl-images-amazon.com/images/I/51pxHh5yAsL._AA160_.jpg, E60-E3-QVC
9,"LG 65UJ6300 65"" 4K UHD Smart LED Television (2017)","CDN$ 1,399.99",https://www.amazon.ca/LG-65UJ6300-UHD-Smart-Television/dp/B01N4TQZM5/ref=sr_1_29/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-29,https://images-na.ssl-images-amazon.com/images/I/41yhf8++dDL._AA160_.jpg, 65UJ6300
10,"Samsung UN55MU6500 Curved 55"" 4K Ultra HD Smart LED TV (2017 Model), Black","CDN$ 1,049.99",https://www.amazon.ca/Samsung-UN55MU6500-Curved-Ultra-Smart/dp/B06XGXHVW4/ref=sr_1_50/142-3140484-2769618?s=electronics&ie=UTF8&qid=1507306089&sr=1-50,https://images-na.ssl-images-amazon.com/images/I/41LtfRASIML._AA160_.jpg, UN55MU6500FXZA
11,"Sony XBR65X850E 65"" 4K Ultra HD Smart LCD Television (2017 Model)","CDN$ 1,998.00",https://www.amazon.ca/Sony-XBR65X850E-Ultra-Smart-Television/dp/B01N5UZ1RG/ref=sr_1_76/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-76,https://images-na.ssl-images-amazon.com/images/I/41BzAMz8IpL._AA160_.jpg, XBR-65X850E
12,VIZIO D55-D2 55-Inch 1080p LED Smart TV (2016 Model),CDN$ 679.95,https://www.amazon.ca/VIZIO-D55-D2-55-Inch-1080p-Smart/dp/B019PZD68I/ref=sr_1_30/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-30,https://images-na.ssl-images-amazon.com/images/I/511Wb6833fL._AA160_.jpg, D55-D2
13,"VIZIO P55-E1 55"" 4K Ultra HD Smart Led Television (2017)","CDN$ 1,499.99",https://www.amazon.ca/VIZIO-P55-E1-Ultra-Smart-Television/dp/B073X11WRK/ref=sr_1_51/142-3140484-2769618?s=electronics&ie=UTF8&qid=1507306089&sr=1-51,https://images-na.ssl-images-amazon.com/images/I/51wqxnSJYNL._AA160_.jpg, P55-E1
14,RCA DECG22DR 22-Inch Class LED Full HDTV AC/DC Power DVD Combo,CDN$ 339.25,https://www.amazon.ca/RCA-DECG22DR-22-Inch-Class-Power/dp/B00FR6T1W0/ref=sr_1_77/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-77,https://images-na.ssl-images-amazon.com/images/I/514f8zxIZ1L._AA160_.jpg, DECG22DR
15,"VIZIO E70-E3 70"" 4K Ultra HD Smart Led Television (2017)","CDN$ 1,699.99",https://www.amazon.ca/VIZIO-E70-E3-Ultra-Smart-Television/dp/B01NA6QSLR/ref=sr_1_31/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-31,https://images-na.ssl-images-amazon.com/images/I/51pxHh5yAsL._AA160_.jpg, E70-E3
16,"RCA RTU6549 65"" 4K Ultra HD LED Television",CDN$ 852.85,https://www.amazon.ca/RCA-RTU6549-Ultra-LED-Television/dp/B072JC552L/ref=sr_1_52/142-3140484-2769618?s=electronics&ie=UTF8&qid=1507306089&sr=1-52,https://images-na.ssl-images-amazon.com/images/I/51jJNJwirUL._AA160_.jpg, RTU6549
17,TV LED Light Strip JACKYLED 6.6Ft 60Leds LED TV Backlight Strip USB Bias Monitor Lighting RGB 5050 SMD Changing Color Strip Kit Accent light Set For TV Desktop PC (Mini Controller),CDN$ 13.89,https://www.amazon.ca/JACKYLED-Backlight-Lighting-Changing-Controller/dp/B0716D7DVL/ref=sr_1_78/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-78,https://images-na.ssl-images-amazon.com/images/I/51kIlom2z6L._AA160_.jpg, caJK156-01
18,"Samsung UN50MU6300 50"" 4K Ultra HD Smart LED TV (2017 Model)",CDN$ 899.99,https://www.amazon.ca/Samsung-UN50MU6300-Ultra-Smart-Model/dp/B06XGJRVJY/ref=sr_1_32/131-0443935-5213604?s=electronics&ie=UTF8&qid=1507306089&sr=1-32,https://images-na.ssl-images-amazon.com/images/I/41lw1rOzQHL._AA160_.jpg, UN50MU6300FXZA
19,"VIZIO D43-E2 43"" 4K Ultra HD LED Television (2017)",CDN$ 568.00,https://www.amazon.ca/VIZIO-D43-E2-Ultra-LED-Television/dp/B06X94CLHH/ref=sr_1_53/142-3140484-2769618?s=electronics&ie=UTF8&qid=1507306089&sr=1-53,https://images-na.ssl-images-amazon.com/images/I/5189gh+7iUL._AA160_.jpg, D43-E2
20,Samsung Electronics QN65Q8C Curved 65-Inch 4K Ultra HD Smart QLED TV (2017 Model),"CDN$ 3,499.99",https://www.amazon.ca/Samsung-Electronics-QN65Q8C-Curved-65-Inch/dp/B01MRBFW51/ref=sr_1_79/136-1718506-8131966?s=electronics&ie=UTF8&qid=1507306089&sr=1-79,https://images-na.ssl-images-amazon.com/images/I/41cYwLYn71L._AA160_.jpg, QN65Q8CAMFXZA
