ID,Name,Price,Link,Images,Model
0,"Apple iPad 2 PC769LL/A  (1 GHz, 16GB, WiFi, Black) 2nd Generation",CDN$ 536.43,https://www.amazon.ca/Apple-iPad-PC769LL-Black-Generation/dp/B0013FRNKG/ref=sr_1_49/141-0828059-9355510?s=pc&ie=UTF8&qid=1507249045&sr=1-49,https://images-na.ssl-images-amazon.com/images/I/41gtLiEuNdL._AA160_.jpg, PC769LL/A
1,"Microsoft Surface 3 10.8"" Tablet 64GB Storage Intel Quad Core Windows 10",CDN$ 628.99,https://www.amazon.ca/Microsoft-Surface-Tablet-Storage-Windows/dp/B012DTDBI8/ref=sr_1_25/144-9474448-6407204?s=pc&ie=UTF8&qid=1507249045&sr=1-25,https://images-na.ssl-images-amazon.com/images/I/51G2G8-enTL._AA160_.jpg, 7G5-00015
2,"Apple iPad Air 2 MGL12LL/A (16GB, Wi-Fi, Space Gray)",CDN$ 548.88,https://www.amazon.ca/Apple-iPad-MGL12LL-Wi-Fi-Space/dp/B00OTWONH6/ref=sr_1_73/139-3205939-4759406?s=pc&ie=UTF8&qid=1507249045&sr=1-73,https://images-na.ssl-images-amazon.com/images/I/41Io2p9OJqL._AA160_.jpg, MGL12LL/A
3,"Dragon Touch Y88X Plus 7 inch Kids Tablet Disney Edition, Quad Core Android 5.1 Lollipop, IPS Display, Kidoz Kids App Pre-Installed w/ Bonus Disney Authorized Games App and Audio Book -GMS Certified-Green",CDN$ 99.99,https://www.amazon.ca/Dragon-Touch-Pre-Installed-Authorized-Certified-Green/dp/B01LKKX1FE/ref=sr_1_50/141-0828059-9355510?s=pc&ie=UTF8&qid=1507249045&sr=1-50,https://images-na.ssl-images-amazon.com/images/I/51oyJx7IQYL._AA160_.jpg, Y88X-PLUS-KIDS-GR
4,"Kindle Paperwhite, 6"" High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi",CDN$ 139.99,https://www.amazon.ca/Kindle-Paperwhite-High-Resolution-Display-Built/dp/B00QJDU3KY/ref=lp_2690953011_1_1/131-5613973-7815533?s=pc&ie=UTF8&qid=1507249045&sr=1-1,https://images-na.ssl-images-amazon.com/images/I/51K+29cKbfL._AA160_.jpg,none
5,"Samsung Galaxy Tab S2 8.0"", SM-T713NZKEXAR (32GB, Black)",CDN$ 449.00,https://www.amazon.ca/Samsung-Galaxy-SM-T713NZKEXAR-32GB-Black/dp/B01DXVKQU6/ref=sr_1_26/144-9474448-6407204?s=pc&ie=UTF8&qid=1507249045&sr=1-26,https://images-na.ssl-images-amazon.com/images/I/41LWswKuy6L._AA160_.jpg, SM-T713NZKEXAR
6,"Apple iPad Air 2 MGTY2LL/A (128GB, Wi-Fi, Silver)",CDN$ 599.99,https://www.amazon.ca/Apple-MGTY2LL-128GB-Wi-Fi-Silver/dp/B00OTWQ4KU/ref=sr_1_74/139-3205939-4759406?s=pc&ie=UTF8&qid=1507249045&sr=1-74,https://images-na.ssl-images-amazon.com/images/I/41IR5Ibd+UL._AA160_.jpg, MGTY2LL/A
7,"Microsoft Surface Pro 4 Core M (128GB, 4GB RAM)",CDN$ 782.00,https://www.amazon.ca/Microsoft-Surface-Pro-Core-128GB/dp/B01606M7VM/ref=sr_1_51/141-0828059-9355510?s=pc&ie=UTF8&qid=1507249045&sr=1-51,https://images-na.ssl-images-amazon.com/images/I/41yRDqilgHL._AA160_.jpg, SU3-00001
8,"Microsoft Surface Pro 4 i5 (128GB, 4GB RAM)",CDN$ 894.23,https://www.amazon.ca/Microsoft-Surface-Pro-128GB-4GB/dp/B01606KJ6C/ref=lp_2690953011_1_2/131-5613973-7815533?s=pc&ie=UTF8&qid=1507249045&sr=1-2,https://images-na.ssl-images-amazon.com/images/I/41yRDqilgHL._AA160_.jpg, CR5-00001
9,"Apple iPad with WiFi, 32GB, Space Gray (2017 Model)",CDN$ 489.99,https://www.amazon.ca/Apple-iPad-WiFi-Space-Model/dp/B01LTIORC8/ref=sr_1_27/144-9474448-6407204?s=pc&ie=UTF8&qid=1507249045&sr=1-27,https://images-na.ssl-images-amazon.com/images/I/51Th168JxDL._AA160_.jpg, MP2F2LL/A
