ID,Name,Price,Link,ModelNumber,Images
0,"Apple iPad 9.7"" 32GB with Wi-Fi - Space Grey",$449.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-9-7-32gb-with-wi-fi-space-grey/10640354.aspx?,MP2F2CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
1,"Apple iPad Air 2 Wifi + 4G GSM Unlocked 16GB Gold, Refurbished",$399.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-air-2-wifi-4g-gsm-unlocked-16gb-gold-refurbished-mh2w2ll-a/10602675.aspx?,MH2W2LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
2,"Samsung Galaxy Tab S3 9.7"" 32GB Android N Tablet With Qualcomm APQ 8096 Quad-Core Processor - Black",$749.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-s3-9-7-32gb-android-n-tablet-with-qualcomm-apq-8096-quad-core-processor-black-sm-t820nzkaxac/10589705.aspx?,SM-T820NZKAXAC,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
3,"Huawei MateBook W19 2-in-1 laptop Tablet, Intel Core M5, 8GB+256GB_Champagne Gold","$1,099.99",http://www.bestbuy.ca/en-ca/product/huawei-huawei-matebook-w19-2-in-1-laptop-tablet-intel-core-m5-8gb256gbchampagne-gold-hz-w19-8gb256gb/10558699.aspx?,HZ-W19 8GB256GB,http://multimedia.bbycastatic.ca/multimedia/products/150x150/105/10558/10558699.jpeg
4,"Samsung Galaxy Tab A 10.1"" 16GB Android 6.0 Tablet - White",$349.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-a-10-1-16gb-android-6-0-tablet-white-sm-t580nzwaxac/10450219.aspx?,SM-T580NZWAXAC,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
5,"Apple iPad Pro 9.7"" 128GB with Wi-Fi/LTE - Silver",$899.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-128gb-with-wi-fi-lte-silver-mlq42cl-a/10415436.aspx?,MLQ42CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10415/10415436.jpg
6,"Apple iPad Air 2 Wifi + 4G GSM Unlocked 128GB SILVER, Refurbished",$449.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-air-2-wifi-4g-gsm-unlocked-128gb-silver-refurbished/11265043.aspx?,MH322LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/112/11265/11265043.jpg
7,"Microsoft Surface Pro 12.3"" 128GB Windows 10 Pro Tablet with 7th Gen Intel Core i5-7300U - Silver","$1,299.99",http://www.bestbuy.ca/en-ca/product/microsoft-surface-pro-12-3-128gb-windows-10-pro-tablet-with-7th-gen-intel-core-i5-7300u-silver/10737284.aspx?,FJT-00001,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
8,"Apple iPad Pro 9.7"" 256GB with Wi-Fi - Space Grey",$879.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-256gb-with-wi-fi-space-grey-mlmy2cl-a/10415427.aspx?,MLMY2CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/105/10558/10558699.jpeg
9,"Apple iPad 9.7"" 128GB with Wi-Fi/4G LTE - Space Grey",$749.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-9-7-128gb-with-wi-fi-4g-lte-space-grey/10640375.aspx?,MP262CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
10,MICROSOFT FACTORY RECERTIFIED SURFACE BOOK TABLET / INTEL:I7-6600U/ 16GB RAM / 512GB SSD / NVIDIA-GEFORCEGPU-1GB / 1YR,"$2,949.99",http://www.bestbuy.ca/en-ca/product/microsoft-microsoft-factory-recertified-surface-book-tablet-intel-i7-6600u-16gb-ram-512gb-ssd-nvidia-geforcegpu-1gb-1yr-fgl-00001/10588775.aspx?,FGL-00001,http://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10415/10415436.jpg
11,"Apple 12.9"" iPad Pro 128GB, Wi-Fi + 4G in GOLD, Refurbished",$824.99,http://www.bestbuy.ca/en-ca/product/apple-12-9-ipad-pro-128gb-wi-fi-4g-in-gold-refurbished/10733159.aspx?,ML3Q2LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/112/11265/11265043.jpg
12,"Samsung Galaxy Tab 7"" E Lite 8GB Android 4.4 Tablet with Spreadtrum T-Shark Quad-Core Processor-White",$149.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-7-e-lite-8gb-android-4-4-tablet-with-spreadtrum-t-shark-quad-core-processor-white-sm-t113ndwaxac/10414460.aspx?,SM-T113NDWAXAC,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
13,"Polaroid 9"" 16GB Android 6.0 Tablet & Folio Keyboard With ARMv7 Processor - Peacock",$139.99,http://www.bestbuy.ca/en-ca/product/polaroid-9-16gb-android-6-0-tablet-folio-keyboard-with-armv7-processor-peacock/10751963.aspx?,P916PCK,http://multimedia.bbycastatic.ca/multimedia/products/150x150/105/10558/10558699.jpeg
14,"Rogers/Fido Alcatel Pop 7"" 8GB Android Marshmallow LTE Tablet With Quad Core Processor - Black",$149.99,http://www.bestbuy.ca/en-ca/product/rogers-fido-alcatel-pop-7-8gb-android-marshmallow-lte-tablet-with-quad-core-processor-black/10630348.aspx?,POP7GRY,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
15,"Apple iPad Pro 9.7"" 128GB with Wi-Fi/LTE - Gold",$899.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-128gb-with-wi-fi-lte-gold-mlq52cl-a/10415437.aspx?,MLQ52CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10415/10415436.jpg
16,"Microsoft Surface Pro 4 Tablet - 12.3"" - PixelSense - Wireless LAN - Intel Core i5 (6th Gen) i5-6300U Dual-core (2 Core) 2.40","$1,306.95",http://www.bestbuy.ca/en-ca/product/microsoft-microsoft-surface-pro-4-tablet-12-3-pixelsense-wireless-lan-intel-core-i5-6th-gen-i5-6300u-dual-core-2-core-2-40-tz6-00002/10554196.aspx?,TZ6-00002,http://multimedia.bbycastatic.ca/multimedia/products/150x150/112/11265/11265043.jpg
17,"Apple iPad 9.7"" 32GB with Wi-Fi - Gold",$449.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-9-7-32gb-with-wi-fi-gold/10640359.aspx?,MPGT2CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
18,"Apple iPad Pro 10.5"" 512GB with Wi-Fi - Space Grey","$1,259.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-512gb-with-wi-fi-space-grey/10750299.aspx?,MPGH2CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/105/10558/10558699.jpeg
19,"Samsung Galaxy Tab S2 8.0"" 32GB Android 6.0 Marshmallow Tablet - Black",$399.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-s2-8-0-32gb-android-6-0-marshmallow-tablet-w-exynos-5433-8-core-processor-black-sm-t713nzkexac/10424756.aspx?,SM-T713NZKEXAC,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
20,"Ematic EGQ178 8 GB Tablet - 7.9"" - Wireless LAN - Quad-core (4 Core) 1.20 GHz - Black",$117.95,http://www.bestbuy.ca/en-ca/product/ematic-ematic-egq178-8-gb-tablet-7-9-wireless-lan-quad-core-4-core-1-20-ghz-black-egq178bl/10504087.aspx?,EGQ178BL,http://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10415/10415436.jpg
21,"iPad 3 Wifi Only Third Generation 64gb Black, Refurbished",$279.99,http://www.bestbuy.ca/en-ca/product/ipad-3-wifi-only-third-generation-64gb-black-refurbished/11357102.aspx?,MD335LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/112/11265/11265043.jpg
22,"Microsoft Surface Pro 12.3"" 256GB Windows 10 Pro Tablet with 7th Gen Intel Core i5-7300U - Silver","$1,649.99",http://www.bestbuy.ca/en-ca/product/microsoft-surface-pro-12-3-256gb-windows-10-pro-tablet-with-7th-gen-intel-core-i5-7300u-silver/10737283.aspx?,FJX-00001,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
23,RCA RCT6773W22 7-INCH 4.4 KITKAT QUAD CORE ANDROID TABLET - REFURBISHED,$79.99,http://www.bestbuy.ca/en-ca/product/rca-rct6773w22-7-inch-4-4-kitkat-quad-core-android-tablet-refurbished/10758617.aspx?,RCT6773W22,http://multimedia.bbycastatic.ca/multimedia/products/150x150/105/10558/10558699.jpeg
24,"Polaroid 10"" 16GB Android 6.0 Tablet & Folio Keyboard With Intel Atom X3 Processor - Magenta",$179.99,http://www.bestbuy.ca/en-ca/product/polaroid-10-16gb-android-6-0-tablet-folio-keyboard-with-intel-atom-x3-processor-magenta/10751967.aspx?,Q1010MGT,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
25,"Apple iPad Pro 9.7"" 32GB with Wi-Fi - Rose Gold - Open Box",$779.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-32gb-with-wi-fi-rose-gold-open-box-mm172cl-a/10562791.aspx?,MM172CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10415/10415436.jpg
26,"Apple 12.9"" iPad Pro 256GB, Wi-Fi + 4G LTE in Gold, Refurbished",$884.99,http://www.bestbuy.ca/en-ca/product/apple-12-9-ipad-pro-256gb-wi-fi-4g-lte-in-gold-refurbished/11265047.aspx?,ML3Z2LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/112/11265/11265043.jpg
27,"Apple iPad 9.7"" 128GB with Wi-Fi - Space Grey",$579.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-9-7-128gb-with-wi-fi-space-grey/10640377.aspx?,MP2H2CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
28,"Apple 9.7"" iPad Pro 32GB, Wi-Fi + 4G LTE in Rose, Refurbished",$774.99,http://www.bestbuy.ca/en-ca/product/apple-9-7-ipad-pro-32gb-wi-fi-4g-lte-in-rose-refurbished/10733157.aspx?,MLYJ2LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/105/10558/10558699.jpeg
29,"Asus ZenPad 8.0 Z380M-A2-GR 16GB Tablet - 8"" - (IPS) - MediaTek Cortex A53 MT8163 Quad-core (4 Core) 1.30 GHz - Dark Gray",$209.99,http://www.bestbuy.ca/en-ca/product/asus-asus-zenpad-8-0-z380m-a2-gr-16gb-tablet-8-ips-mediatek-cortex-a53-mt8163-quad-core-4-core-1-30-ghz-dark-gray-z380m-a2-gr/10554257.aspx?,Z380M-A2-GR,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10602/10602675.jpeg
30,"Apple iPad Pro 10.5"" 512GB with Wi-Fi & 4G LTE - Gold","$1,429.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-512gb-with-wi-fi-4g-lte-gold/10750309.aspx?,MPMG2CL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/104/10415/10415436.jpg
31,Apple iPad Mini 3 Wifi Only 3rd Generation 16gb Gray REFURBISHED,$389.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-mini-3-wifi-only-3rd-generation-16gb-gray-refurbished-3a132ll-a/10585023.aspx?,3A132LL/A,http://multimedia.bbycastatic.ca/multimedia/products/150x150/112/11265/11265043.jpg
32,"Lenovo Tab 10.1"" 16GB Android 6.0 Tablet w/ Qualcomm Snapdragon Quad-Core Processor-Slate Black",$159.97,http://www.bestbuy.ca/en-ca/product/lenovo-lenovo-tab-10-1-16gb-android-6-0-tablet-w-qualcomm-snapdragon-quad-core-processor-slate-black-za1u0003us/10586898.aspx?,ZA1U0003US,http://multimedia.bbycastatic.ca/multimedia/products/150x150/106/10640/10640354.jpg
