ID,Name,Price,Link,ModelNumber,Images
0,Canon EOS Rebel T6 DSLR Camera with EF-S 18-55mm f/3.5-5.6 DC III Lens Kit,$569.99,http://www.bestbuy.ca/en-ca/product/canon-canon-eos-rebel-t6-dslr-camera-with-ef-s-18-55mm-f-3-5-5-6-dc-iii-lens-kit-1159c006/10416668.aspx?,"(1159C005, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10416/10416668.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10416/10416668.jpg
1,Sony Alpha 7 Mirrorless Camera with 28-70mm Lens Kit,"$1,599.99",http://www.bestbuy.ca/en-ca/product/sony-sony-alpha-7-mirrorless-camera-with-28-70mm-lens-kit-ilce7kb/10246835.aspx?,"(ILCE7KB, https://multimedia.bbycastatic.ca/multimedia/products/500x500/102/10246/10246835.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/102/10246/10246835.jpg
2,Sony a9 Mirrorless Camera (Body Only),"$5,999.99",http://www.bestbuy.ca/en-ca/product/sony-a9-mirrorless-camera-body-only/10671555.aspx?,"(ILCE9/B, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10671/10671555.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10671/10671555.jpg
3,Fujifilm Instax Mini 70 Instant Camera - Island Blue,$149.99,http://www.bestbuy.ca/en-ca/product/fujifilm-instax-mini-70-instant-camera-island-blue/10639134.aspx?,"(Instax Mini 70, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10639/10639134.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10639/10639134.jpg
4,Canon EOS Rebel T5i DSLR Camera with 18-55mm IS STM Lens Kit,$599.95,http://www.bestbuy.ca/en-ca/product/canon-canon-eos-rebel-t5i-dslr-camera-with-18-55mm-is-stm-lens-kit-8595b004/10176113.aspx?,"(8595B004, https://multimedia.bbycastatic.ca/multimedia/products/500x500/101/10176/10176113.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/101/10176/10176113.jpg
5,Canon EOS 5D Mark IV DSLR Camera with EF 24-70mm Lens Kit & WD 1TB External Hard Drive - Blue,"$5,249.99",http://www.bestbuy.ca/en-ca/product/canon-eos-5d-mark-iv-dslr-camera-with-ef-24-70mm-lens-kit-wd-1tb-external-hard-drive-blue/b0008853.aspx?,"(none, https://multimedia.bbycastatic.ca/multimedia/products/500x500/b00/b0008/b0008853.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/b00/b0008/b0008853.jpg
6,Canon EOS Rebel T7i DSLR Camera (Body Only),$859.99,http://www.bestbuy.ca/en-ca/product/canon-canon-eos-rebel-t7i-dslr-camera-body-only-1894c001/10589710.aspx?,"(1894C001, https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10589/10589710.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10589/10589710.jpg
7,Nikon D500 DSLR Camera (Body Only),"$2,699.99",http://www.bestbuy.ca/en-ca/product/nikon-nikon-d500-dslr-camera-body-only-33718/10406697.aspx?,"(33718, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10406/10406697.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10406/10406697.jpg
8,FUJIFILM X-T2 Mirrorless Camera (Body Only),"$2,099.99",http://www.bestbuy.ca/en-ca/product/fuji-film-fujifilm-x-t2-mirrorless-camera-body-only-x-t2-body/10451689.aspx?,"(X-T2 BODY, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10451/10451689.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10451/10451689.jpg
9,"Canon EOS Rebel T6 DSLR Camera with 18-55mm Lens, NexStar Telescope, T-Ring & T-Adapter","$1,172.98",http://www.bestbuy.ca/en-ca/product/canon-eos-rebel-t6-dslr-camera-with-18-55mm-lens-nexstar-telescope-t-ring-t-adapter/b0008333.aspx?,"(none, https://multimedia.bbycastatic.ca/multimedia/products/500x500/b00/b0008/b0008333.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/b00/b0008/b0008333.jpg
