ID,Name,Price,Link,ModelNumber,Images
0,ASUS VivoPC Desktop PC (Intel Core i5-7400/2TB HDD/8GB RAM/Intel HD Graphics 630/Windows 10),$799.99,http://www.bestbuy.ca/en-ca/product/asus-vivopc-desktop-pc-intel-core-i5-7400-2tb-hdd-8gb-ram-intel-hd-graphics-630-windows-10/10583708.aspx?,K31CD-BS51-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10583/10583708.jpg
1,"Dell Optiplex 990, Intel i7-2600,16GB Memory,128GB SSD+1TB SATA Hard Drive, DVDRW, Windows 10 Pro(English/French),1YW, Refurb",$585.00,http://www.bestbuy.ca/en-ca/product/dell-dell-optiplex-990-intel-i7-2600-16gb-memory-128gb-ssd1tb-sata-hard-drive-dvdrw-windows-10-pro-english-french-1yw-refurb-dell-optipelx-990mt/10562247.aspx?,Dell Optipelx 990MT,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10562/10562247.jpeg
2,Dell Inspiron Desktop PC (Intel Core i7-7700/1TB HDD/12GB RAM/NVIDIA GeForce GTX 1050/Windows 10),$999.99,http://www.bestbuy.ca/en-ca/product/dell-inspiron-desktop-pc-intel-core-i7-7700-1tb-hdd-12gb-ram-nvidia-geforce-gtx-1050-windows-10/10600936.aspx?,i3668-7281BLK-PCA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10600/10600936.jpg
3,iBUYPOWER CA670K Gaming PC (Intel i7-6700K/1TB HDD/120GB SSD/16GB RAM/AMD RX480/Win 10) - English,"$1,769.99",http://www.bestbuy.ca/en-ca/product/ibuypower-ibuypower-ca670k-gaming-pc-intel-i7-6700k-1tb-hdd-120gb-ssd-16gb-ram-amd-rx480-win-10-english-ca670k/10488578.aspx?,CA670K,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10488/10488578.jpg
4,HP 22b012 All-in-One PC (Intel Pentium J3710 / 1 TB HHD / 8 RAM / Intel HD Graphics / Windows 10) - (V8P26AA#ABA),$707.99,http://www.bestbuy.ca/en-ca/product/hp-22b012-all-in-one-pc-intel-pentium-j3710-1-tb-hhd-8-ram-intel-hd-graphics-windows-10-v8p26aa-aba/11206409.aspx?,V8P26AAABA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/112/11206/11206409.jpg
5,Asus ROG GR8 II Mini Gaming PC (Intel Core i5-7400/512GB SSD/8GB RAM/NVIDIA GeForce GTX1060/Windows 10) - (GR8 II-T069Z),"$1,349.99",http://www.bestbuy.ca/en-ca/product/asus-rog-gr8-ii-mini-gaming-pc-intel-core-i5-7400-512gb-ssd-8gb-ram-nvidia-geforce-gtx1060-windows-10-gr8-ii-t069z/11107720.aspx?,GR8 II-T069Z,https://multimedia.bbycastatic.ca/multimedia/products/500x500/111/11107/11107720.jpg
6,Acer Aspire TC Desktop PC (Intel Core i5-7400/1TB HDD/12GB RAM/Intel HD 630 Graphics/Windows 10),$749.99,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-tc-desktop-pc-intel-core-i5-7400-1tb-hdd-12gb-ram-intel-hd-630-graphics-windows-10-tc-780-eb11/10587599.aspx?,TC-780-EB11,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10587/10587599.jpg
7,"Lenovo M58,Intel Core 2 Duo 3.16, 8GB Memory, 2000GB Hard Drive, Windows 10 , Refurbished",$199.00,http://www.bestbuy.ca/en-ca/product/lenovo-lenovo-m58-intel-core-2-duo-3-16-8gb-memory-2000gb-hard-drive-windows-10-refurbished-m58/10450067.aspx?,M58,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10450/10450067.jpeg
8,ASUS Gaming Desktop ASUS Gaming Desktop G11CD-DS71-GTX1050,"$3,679.00",http://www.bestbuy.ca/en-ca/product/asus-gaming-desktop-asus-gaming-desktop-g11cd-ds71-gtx1050/11622780.aspx?,GT51CH-DB71K,https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11622/11622780.png
9,"Lenovo ThinkCentre M93p Tiny Desktop, 4th Gen Intel Core i5, 8GB RAM, 500GB HDD, Windows 10 Pro - Refurbished",$575.00,http://www.bestbuy.ca/en-ca/product/lenovo-thinkcentre-m93p-tiny-desktop-4th-gen-intel-core-i5-8gb-ram-500gb-hdd-windows-10-pro-refurbished/10751586.aspx?,M93p Tiny DT,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10751/10751586.jpg
