ID,Name,Price,Link,ModelNumber,Images,name
0,"Apple MacBook Air 13.3"" (Intel Core i5 1.8 GHz/ 128GB SSD/ 8GB RAM) - English","$1,199.99",http://www.bestbuy.ca/en-ca/product/apple-macbook-air-13-3-intel-core-i5-1-8-ghz-128gb-ssd-8gb-ram-english/10749364.aspx?,MQD32LL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10749/10749364.jpg,bestbuy
1,"Dell 15.6"" Laptop - Matte Grey (Intel Core i5-7200U/ 1TB HDD/ 8GB RAM/ Windows 10)",$699.99,http://www.bestbuy.ca/en-ca/product/dell-dell-15-6-laptop-matte-grey-intel-core-i5-7200u-1tb-hdd-8gb-ram-windows-10-i5567-5802gry-pca/10583425.aspx?,i5567-5802GRY-PCA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10583/10583425.jpg,bestbuy
2,"HP 15.6"" Laptop - Grey (AMD E2-9000e / 500 GB HDD / 4GB RAM / Windows 10 Home)",$329.98,http://www.bestbuy.ca/en-ca/product/hp-15-6-laptop-grey-amd-e2-9000e-500-gb-hdd-4gb-ram-windows-10-home/10693722.aspx?,15-BW008CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10693/10693722.jpg,bestbuy
3,"ASUS VivoBook X541 15.6"" Laptop - Chocolate Black (Intel Core i7-7500U/1TB HDD/8GB DDR4/Windows 10)",$899.99,http://www.bestbuy.ca/en-ca/product/asus-asus-vivobook-x541-15-6-laptop-chocolate-black-intel-core-i7-7500u-1tb-hdd-8gb-ddr4-windows-10-x541uj-bs71-cb/10573738.aspx?,X541UJ-BS71-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10573/10573738.jpg,bestbuy
4,"Acer Chromebook 11.6"" Laptop - White (Intel Celeron N2840/ 16GB eMMC/ 2GB RAM/ Chrome OS)",$229.99,http://www.bestbuy.ca/en-ca/product/acer-acer-chromebook-11-6-laptop-white-intel-celeron-n2840-16gb-emmc-2gb-ram-chrome-os-cb3-131-c3qf/10497409.aspx?,CB3-131-C3QF,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10497/10497409.jpg,bestbuy
5,"Acer Aspire E 15.6"" Laptop - Black (Intel i5-7200U/1TB HDD/8GB RAM/Windows 10)",$599.98,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-e-15-6-laptop-black-intel-i5-7200u-1tb-hdd-8gb-ram-windows-10-e5-575-5476/10497403.aspx?,E5-575-5476,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10497/10497403.jpg,bestbuy
6,"HP 15.6"" Touchscreen Laptop - Silver (Intel Core i5-7200U / 1TB HDD / 8GB RAM / Windows 10)",$799.99,http://www.bestbuy.ca/en-ca/product/hp-15-6-touchscreen-laptop-silver-intel-core-i5-7200u-1tb-hdd-8gb-ram-windows-10/10735603.aspx?,15-BS028CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10735/10735603.jpg,bestbuy
7,"HP Pavilion 15.6"" Laptop - Silver (Intel Core i5-7200U / 1TB HDD / 12GB RAM / Windows 10)",$899.99,http://www.bestbuy.ca/en-ca/product/hp-pavilion-15-6-laptop-silver-intel-core-i5-7200u-1tb-hdd-12gb-ram-windows-10/10747967.aspx?,15-CC018CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10747/10747967.jpg,bestbuy
8,"ASUS ROG Strix GL753 17.3"" Gaming Laptop - Black (Intel Core i7-7700HQ/ 1TB+128GB SSD/16GB RAM/Win 10)","$1,599.99",http://www.bestbuy.ca/en-ca/product/asus-asus-rog-strix-gl753-17-3-gaming-laptop-black-intel-core-i7-7700hq-1tb128gb-ssd-16gb-ram-win-10-gl753ve-bs71-cb/10573746.aspx?,GL753VE-BS71-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10573/10573746.jpg,bestbuy
9,"HP 15.6"" Laptop - Black (Intel Celeron N3060 / 500GB HDD / 4GB RAM / Windows 10 Home)",$349.95,http://www.bestbuy.ca/en-ca/product/hp-hp-15-6-laptop-black-intel-celeron-n3060-500gb-hdd-4gb-ram-windows-10-home-15-ay010ca/10440263.aspx?,15-AY010CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10440/10440263.jpg,bestbuy
10,"HP 15.6"" Touch Convertible Laptop - Ash (Intel Core i7-7500U/512GB SSD/16GB RAM/Windows 10)-Open Box","$1,949.99",http://www.bestbuy.ca/en-ca/product/hp-15-6-touch-convertible-laptop-ash-intel-core-i7-7500u-512gb-ssd-16gb-ram-windows-10-open-box/10719864.aspx?,15-BL018CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10719/10719864.jpg,bestbuy
11,"Apple MacBook Pro 15.4"" Laptop w/ Touch Bar (Intel Core i7 2.8GHz/256GB SSD/16GB RAM)-Space Grey-Eng","$3,099.99",http://www.bestbuy.ca/en-ca/product/apple-macbook-pro-15-4-laptop-w-touch-bar-intel-core-i7-2-8ghz-256gb-ssd-16gb-ram-space-grey-eng/10749346.aspx?,MPTR2LL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10749/10749346.jpg,bestbuy
12,"ASUS X555QA 15.6"" Laptop - Black/Silver (AMD Quad Core A10-9600P/1TB HDD/12GB RAM/Windows 10)",$699.99,http://www.bestbuy.ca/en-ca/product/asus-x555qa-15-6-laptop-black-silver-amd-quad-core-a10-9600p-1tb-hdd-12gb-ram-windows-10/10748019.aspx?,X555QA-BB10-CB,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10748/10748019.jpg,bestbuy
13,"Acer Aspire E 15"" Laptop - Black/Iron (Intel Pentium Quad Core N3700/1TB HDD/8GB RAM/Win10)-Open Box",$499.99,http://www.bestbuy.ca/en-ca/product/acer-acer-aspire-e-15-laptop-black-iron-intel-pentium-quad-core-n3700-1tb-hdd-8gb-ram-win10-open-box-e5-532-p4yc/10549836.aspx?,E5-532-P4YC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10549/10549836.jpg,bestbuy
14,"HP Pavilion x360 14"" Touchscreen Convertible Laptop - Silver (Intel Core i5-7200U/256GB SSD/8GB RAM)",$999.99,http://www.bestbuy.ca/en-ca/product/hp-pavilion-x360-14-touchscreen-convertible-laptop-silver-intel-core-i5-7200u-256gb-ssd-8gb-ram/10735606.aspx?,14-BA018CA,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10735/10735606.jpg,bestbuy
