ID,Name,Price,Link,ModelNumber,Images,name
0,Telus Apple iPhone 6 32GB Smartphone - Premium Plan - 2 Year Agreement (Space Grey),$0.00,http://www.bestbuy.ca/en-ca/product/telus-apple-iphone-6-32gb-smartphone-premium-plan-2-year-agreement-space-grey/10907357.aspx?,MQ3X2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/109/10907/10907357.jpg,bestbuy
1,Rogers Samsung Galaxy S8 Smartphone - Black - 2 Year Agreement,$489.99,http://www.bestbuy.ca/en-ca/product/rogers-samsung-galaxy-s8-smartphone-black-2-year-agreement/10649889.aspx?,SM-G950WZKAXAC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10649/10649889.jpg,bestbuy
2,Telus Samsung Galaxy S8 Smartphone - Orchid Grey - 2 Year Agreement,$489.99,http://www.bestbuy.ca/en-ca/product/telus-samsung-galaxy-s8-smartphone-orchid-grey-2-year-agreement/10649756.aspx?,SM-G950WZVAXAC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10649/10649756.jpg,bestbuy
3,Telus Apple iPhone 8 64GB - Silver - Premium Plus Plan - 2 Year Agreement,$229.99,http://www.bestbuy.ca/en-ca/product/telus-apple-iphone-8-64gb-silver-premium-plus-plan-2-year-agreement/11556773.aspx?,400100923412,https://multimedia.bbycastatic.ca/multimedia/products/500x500/115/11556/11556773.jpg,bestbuy
4,Rogers Apple iPhone 7 32GB - Premium Plan - 2 Year Agreement,$249.99,http://www.bestbuy.ca/en-ca/product/rogers-apple-iphone-7-32gb-premium-plan-2-year-agreement/10486266.aspx?,MN8X2VC/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10486/10486266.jpg,bestbuy
5,Telus Apple iPhone 8 Plus 64GB - Silver - Premium Plus Plan - 2 Year Agreement,$359.99,http://www.bestbuy.ca/en-ca/product/telus-apple-iphone-8-plus-64gb-silver-premium-plus-plan-2-year-agreement/11556779.aspx?,400100923238,https://multimedia.bbycastatic.ca/multimedia/products/500x500/115/11556/11556779.jpg,bestbuy
6,Virgin Huawei nova plus 32GB Smartphone - Titanium Grey - 2 Year Agreement,$0.00,http://www.bestbuy.ca/en-ca/product/huawei-virgin-huawei-nova-plus-32gb-smartphone-titanium-grey-2-year-agreement-qwvp32ix/10528828.aspx?,QWVP32IX,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10528/10528828.jpg,bestbuy
7,Rogers Apple iPhone 6s Plus 32GB - Premium Plus Plan - 2 Year Agreement,$49.99,http://www.bestbuy.ca/en-ca/product/rogers-apple-iphone-6s-plus-32gb-premium-plus-plan-2-year-agreement/10486262.aspx?,MN2W2VC/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10486/10486262.jpg,bestbuy
8,Rogers Apple iPhone 7 Plus 256GB - Premium Plus Plan - 2 Year Agreement,$449.99,http://www.bestbuy.ca/en-ca/product/rogers-apple-iphone-7-plus-256gb-premium-plus-plan-2-year-agreement/10486292.aspx?,MN4X2VC/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10486/10486292.jpg,bestbuy
9,TELUS Motorola Moto Z Play 32GB Smartphone - Black - 2 Year Agreement,$0.00,http://www.bestbuy.ca/en-ca/product/motorola-telus-motorola-moto-z-play-32gb-smartphone-black-2-year-agreement-nlmotozplaybk/10538810.aspx?,NLMOTOZPLAYBK,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10538/10538810.jpg,bestbuy
10,Virgin Mobile Apple iPhone 7 128GB - Red - Platinum Plan - 2 Year Agreement,$379.99,http://www.bestbuy.ca/en-ca/product/apple-virgin-mobile-apple-iphone-7-128gb-smartphone-gold-2-year-agreement-mn942vc-a/10486387.aspx?,MN942VC/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10486/10486387.jpg,bestbuy
11,"Fido Pixel XL, Phone by Google 32GB - Quite Black - 2 Year Agreement",$549.99,http://www.bestbuy.ca/en-ca/product/google-fido-pixel-xl-phone-by-google-32gb-quite-black-2-year-agreement-400100834732/10499295.aspx?,400100834732,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10499/10499295.jpg,bestbuy
12,Rogers Apple iPhone 6s 32GB - Premium Plan - 2 Year Agreement,$129.99,http://www.bestbuy.ca/en-ca/product/rogers-apple-iphone-6s-32gb-premium-plan-2-year-agreement/10486257.aspx?,MN0W2VC/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10486/10486257.jpg,bestbuy
13,Rogers Apple iPhone 7 Plus 32GB Smartphone - Silver - Carrier SIM Locked - Open Box,$849.99,http://www.bestbuy.ca/en-ca/product/apple-rogers-apple-iphone-7-plus-32gb-smartphone-silver-open-box-mnqn2vc-a/10527441.aspx?,MNQN2VC/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10527/10527441.jpg,bestbuy
14,Koodo Apple iPhone 8 Plus 64GB - Space Grey - With a Tab Large Activation,$559.99,http://www.bestbuy.ca/en-ca/product/koodo-apple-iphone-8-plus-64gb-space-grey-with-a-tab-large-activation/11556826.aspx?,400100923252,https://multimedia.bbycastatic.ca/multimedia/products/500x500/115/11556/11556826.jpg,bestbuy
