ID,Name,Price,Link,ModelNumber,Images
0,Fujitsu ScanSnap iX500 Sheetfed Scanner - 600 dpi Optical,$599.99,http://www.bestbuy.ca/en-ca/product/fuji-fujitsu-scansnap-ix500-sheetfed-scanner-600-dpi-optical-pa03656-b305/10451747.aspx?,"(PA03656-B305, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10451/10451747.jpeg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10451/10451747.jpeg
1,Brother Wireless All-In-One Laser Printer (DCP-L2520DW),$219.99,http://www.bestbuy.ca/en-ca/product/brother-brother-wireless-all-in-one-laser-printer-dcp-l2520dw-dcp-l2520dw/10320576.aspx?,"(DCP-L2520DW, https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10320/10320576.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10320/10320576.jpg
2,Lexmark CS517de Laser Printer - Color - 2400 x 600 dpi Print - Plain Paper Print - Desktop,$615.45,http://www.bestbuy.ca/en-ca/product/lexmark-cs517de-laser-printer-color-2400-x-600-dpi-print-plain-paper-print-desktop/10717635.aspx?,"(28EC050, https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10717/10717635.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10717/10717635.jpg
3,Brother DCP-L2540DW Laser Multifunction Printer - Monochrome - Plain Paper Print - Desktop,$169.99,http://www.bestbuy.ca/en-ca/product/brother-dcp-l2540dw-laser-multifunction-printer-monochrome-plain-paper-print-desktop/10660043.aspx?,"(DCPL2540DW, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10660/10660043.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10660/10660043.jpg
4,Xerox WorkCentre 3335 Colour Wireless All-In-One Laser Printer (3335/DNIM),$409.99,http://www.bestbuy.ca/en-ca/product/xerox-workcentre-3335-colour-wireless-all-in-one-laser-printer-3335-dnim/10732601.aspx?,"(3335/DNIM, https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10732/10732601.png)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10732/10732601.png
5,HP LaserJet Enterprise MFP M527f Monochrome Wired All-In-One Laser Printer - (F2A77A#BGJ),"$1,449.99",http://www.bestbuy.ca/en-ca/product/hp-laserjet-enterprise-mfp-m527f-monochrome-wired-all-in-one-laser-printer-f2a77a-bgj/10692772.aspx?,"(M527F, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10692/10692772.png)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10692/10692772.png
6,HP ENVY 5640 Wireless e-All-in-One Printer,$129.99,http://www.bestbuy.ca/en-ca/product/hp-hp-envy-5640-wireless-e-all-in-one-printer-5640/10363751.aspx?,"(5640, https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10363/10363751.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10363/10363751.jpg
7,Xerox WorkCentre 6515 Colour All-in-One Laser Printer (6515/DN),$559.99,http://www.bestbuy.ca/en-ca/product/xerox-workcentre-6515-colour-all-in-one-laser-printer-6515-dn/10694973.aspx?,"(6515/DN, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10694/10694973.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10694/10694973.jpg
8,Xerox Phaser 3610 Monochrome Laser Printer (3610/DN),$579.99,http://www.bestbuy.ca/en-ca/product/xerox-phaser-3610-monochrome-laser-printer-3610-dn/11640727.aspx?,"(3610/DN, https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11640/11640727.png)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11640/11640727.png
9,HP LaserJet Pro M477FDW Wireless All-In-One Colour Printer,$749.99,http://www.bestbuy.ca/en-ca/product/hp-hp-laserjet-pro-m477fdw-wireless-all-in-one-colour-printer-m477fdw/10561184.aspx?,"(M477FDW, https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10561/10561184.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10561/10561184.jpg
10,"MG Chemicals PLA 3D Printer Filament, 1.75 mm, 0.5 kg, Navy Blue (IMPROVED)",$38.99,http://www.bestbuy.ca/en-ca/product/mg-chemicals-pla-3d-printer-filament-1-75-mm-0-5-kg-navy-blue-improved/10637156.aspx?,"(PLA17NA5, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10637/10637156.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10637/10637156.jpg
11,Polaroid Draw 3D Pen - White,$129.99,http://www.bestbuy.ca/en-ca/product/polaroid-draw-3d-pen-white/11616420.aspx?,"(P1110002, https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11616/11616420.jpeg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11616/11616420.jpeg
12,Epson FX-2190 Dot Matrix Printer,$752.95,http://www.bestbuy.ca/en-ca/product/epson-epson-fx-2190-dot-matrix-printer-c11c526001/10503813.aspx?,"(C11C526001, https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10503/10503813.jpeg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10503/10503813.jpeg
13,Lexmark MS810N Laser Printer - Monochrome - 1200 x 1200 dpi Print - Plain Paper Print - Desktop,$843.95,http://www.bestbuy.ca/en-ca/product/lexmark-ms810n-laser-printer-monochrome-1200-x-1200-dpi-print-plain-paper-print-desktop/10659917.aspx?,"(40G0100, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10659/10659917.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10659/10659917.jpg
14,Lexmark MS710DN Laser Printer - Monochrome - 600 x 600 dpi Print - Plain Paper Print - Desktop,$888.99,http://www.bestbuy.ca/en-ca/product/lexmark-lexmark-ms710dn-laser-printer-monochrome-600-x-600-dpi-print-plain-paper-print-desktop-40g0510/10452388.aspx?,"(40G0510, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10452/10452388.jpeg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10452/10452388.jpeg
15,IRIScan Anywhere 5 Wi-Fi Portable Scanner - Black,$199.98,http://www.bestbuy.ca/en-ca/product/iriscan-anywhere-5-wi-fi-portable-scanner-black/11429407.aspx?,"(458846, https://multimedia.bbycastatic.ca/multimedia/products/500x500/114/11429/11429407.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/114/11429/11429407.jpg
16,HP SPROCKET PHOTO PRINTER RED (Z3Z93A#B1H),$189.95,http://www.bestbuy.ca/en-ca/product/hp-sprocket-photo-printer-red-z3z93a-b1h/11426998.aspx?,"(Z3Z93AB1H, https://multimedia.bbycastatic.ca/multimedia/products/500x500/114/11426/11426998.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/114/11426/11426998.jpg
17,HP LaserJet Pro M102w Monochrome Wireless Laser Printer,$169.99,http://www.bestbuy.ca/en-ca/product/hp-hp-laserjet-pro-m102w-monochrome-wireless-laser-printer-m102w/10497207.aspx?,"(M102W, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10497/10497207.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10497/10497207.jpg
18,Xerox WorkCentre 3345 Monochrome Wireless All-in-One Laser Printer (3345/DNI),$504.99,http://www.bestbuy.ca/en-ca/product/xerox-workcentre-3345-monochrome-wireless-all-in-one-laser-printer-3345-dni/10694969.aspx?,"(3345/DNI, https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10694/10694969.png)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10694/10694969.png
