ID,Name,Price,Link,ModelNumber,Images
0,Pioneer HTP-074 5.1 Channel Home Theatre System,$399.99,http://www.bestbuy.ca/en-ca/product/pioneer-pioneer-htp-074-5-1-channel-home-theatre-system-htp-074/10432686.aspx?,"(HTP-074, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10432/10432686.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10432/10432686.jpg
1,Bose Solo 5 TV Sound System,$299.99,http://www.bestbuy.ca/en-ca/product/bose-bose-solo-5-tv-sound-system-solo-5/10414573.aspx?,"(Solo 5, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10414/10414573.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10414/10414573.jpg
2,Definitive Technology BP8060 300-Watt Bipolar Super Tower Speaker with Subwoofer - Single,$799.95,http://www.bestbuy.ca/en-ca/product/definitivetechnology-definitive-technology-bp8060-300-watt-bipolar-super-tower-speaker-with-subwoofer-single-dt-bp8060st/10275554.aspx?,"(DT-BP8060ST, https://multimedia.bbycastatic.ca/multimedia/products/500x500/102/10275/10275554.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/102/10275/10275554.jpg
3,Audio-Technica Bluetooth Turntable (AT-LP60BK-BT) - Black,$218.98,http://www.bestbuy.ca/en-ca/product/audio-technica-audio-technica-wireless-turntable-at-lp60bk-bt-black-at-lp60bk-bt/10412144.aspx?,"(AT-LP60BK-BT, https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10412/10412144.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10412/10412144.jpg
4,LG SJ2 160-Watt 2.1 Channel Sound Bar with Wireless Subwoofer,$179.99,http://www.bestbuy.ca/en-ca/product/lg-sj2-160-watt-2-1-channel-sound-bar-with-wireless-subwoofer/10585803.aspx?,"(SJ2, https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10585/10585803.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10585/10585803.jpg
5,Polk Audio R50 150-Watt Tower Speaker - Black - Single,$349.95,http://www.bestbuy.ca/en-ca/product/polk-audio-polk-audio-r50-150-watt-tower-speaker-black-single-r50/10085189.aspx?,"(R50, https://multimedia.bbycastatic.ca/multimedia/products/500x500/100/10085/10085189.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/100/10085/10085189.jpg
6,Sonos PLAY:5 Wireless Speaker - White,$649.99,http://www.bestbuy.ca/en-ca/product/sonos-sonos-play-5-wireless-speaker-white-pl5g2us1/10391776.aspx?,"(PL5G2US1, https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10391/10391776.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10391/10391776.jpg
7,Sony HTST5000 800-Watt 7.1.2 Channel Dolby Atmos Sound Bar with Wireless Subwoofer,"$1,999.99",http://www.bestbuy.ca/en-ca/product/sony-htst5000-800-watt-7-1-2-channel-dolby-atmos-sound-bar-with-wireless-subwoofer/10733005.aspx?,"(HTST5000, https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10733/10733005.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10733/10733005.jpg
8,Cerwin Vega SL28 2-Way Floor Standing Speaker - Single,$649.99,http://www.bestbuy.ca/en-ca/product/cerwin-vega-cerwin-vega-sl28-2-way-floor-standing-speaker-single-sl28/10380865.aspx?,"(SL28, https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10380/10380865.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10380/10380865.jpg
9,Fluance AVHTB Surround Sound Home Theater 5.0 Channel Speaker System,$324.99,http://www.bestbuy.ca/en-ca/product/fluance-avhtb-surround-sound-home-theater-5-0-channel-speaker-system/10756350.aspx?,"(AVHTB, https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10756/10756350.jpg)",https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10756/10756350.jpg
