ID,Name,Price,Link,ModelNumber,Images
0,"Samsung 55"" 4K UHD HDR LED Tizen Smart TV (UN55MU6300FXZC) - Dark Titan",$999.99,http://www.bestbuy.ca/en-ca/product/samsung-55-4k-uhd-hdr-led-tizen-smart-tv-un55mu6300fxzc-dark-titan/10583529.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10583/10583529.jpg
1,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65MU7000FXZC) - Black","$1,799.99",http://www.bestbuy.ca/en-ca/product/samsung-samsung-65-4k-uhd-hdr-led-tizen-smart-tv-un65mu7000fxzc-black-un65mu7000fxzc/10583504.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10583/10583504.jpg
2,"Insignia 40"" 1080p HD LED TV (NS-40D420NA18) - Only at Best Buy",$349.99,http://www.bestbuy.ca/en-ca/product/insignia-40-1080p-hd-led-tv-ns-40d420na18-only-at-best-buy/10564033.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10564/10564033.jpg
3,"Samsung 65"" 4K UHD HDR LED Tizen Smart TV (UN65MU6300FXZC) - Dark Titan","$1,399.99",http://www.bestbuy.ca/en-ca/product/samsung-65-4k-uhd-hdr-led-tizen-smart-tv-un65mu6300fxzc-dark-titan/10583530.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10583/10583530.jpg
4,"Samsung 28"" 720p LED Tizen Smart TV (UN28M4500AFXZC)",$299.99,http://www.bestbuy.ca/en-ca/product/samsung-28-720p-led-tizen-smart-tv-un28m4500afxzc/10672304.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10672/10672304.jpg
5,"Sony 77"" 4K UHD HDR OLED Android Smart TV (XBR77A1E)","$24,999.99",http://www.bestbuy.ca/en-ca/product/sony-77-4k-uhd-hdr-oled-android-smart-tv-xbr77a1e/11352719.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11352/11352719.jpg
6,"Sony 55"" 4K UHD HDR LED Smart TV (KD55X720E)",$999.99,http://www.bestbuy.ca/en-ca/product/sony-55-4k-uhd-hdr-led-smart-tv-kd55x720e/10754307.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10754/10754307.jpg
7,"Samsung 58"" 4K UHD HDR LED Tizen Smart TV (UN58MU6100FXZC) - Dark Titan",$999.99,http://www.bestbuy.ca/en-ca/product/samsung-58-4k-uhd-hdr-led-tizen-smart-tv-un58mu6100fxzc-dark-titan/10672308.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10672/10672308.jpg
8,"Sony XBR65X750D 65"" 4K UHD LED HDR Android Smart TV - Open Box","$1,449.99",http://www.bestbuy.ca/en-ca/product/sony-sony-xbr65x750d-65-4k-uhd-led-hdr-android-smart-tv-open-box-xbr65x750d/10584455.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10584/10584455.jpg
9,"Sharp 32"" 720p LCD Roku Smart TV (LC-32LB591C)",$269.99,http://www.bestbuy.ca/en-ca/product/sharp-32-720p-lcd-roku-smart-tv-lc-32lb591c/10575045.aspx?,none,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10575/10575045.jpg
