ID,Name,Price,Link,ModelNumber,Images,name
0,"Microsoft Surface Pro 4 12.3"" 128GB Windows 10 Tablet & Keyboard with Intel Core i5-6300U - Black","$1,299.99",http://www.bestbuy.ca/en-ca/product/microsoft-surface-pro-4-12-3-128gb-windows-10-tablet-keyboard-with-intel-core-i5-6300u-black/11249945.aspx?,DQQ-00001,https://multimedia.bbycastatic.ca/multimedia/products/500x500/112/11249/11249945.jpg,bestbuy
1,"Lenovo Tab3 8"" 16GB Android 6.0 Tablet with MediaTek Quad-Core Processor - Denim Black",$179.99,http://www.bestbuy.ca/en-ca/product/lenovo-lenovo-tab3-8-16gb-android-6-0-tablet-with-mediatek-quad-core-processor-denim-black-za170001us/10440700.aspx?,ZA170001US,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10440/10440700.jpg,bestbuy
2,"Microsoft Surface Pro 4 12.3"" 128GB Windows 10 Pro Multi-Touch Tablet with Intel Core m3 -6Y30",$799.95,http://www.bestbuy.ca/en-ca/product/microsoft-microsoft-surface-pro-4-12-3-128gb-windows-10-pro-multi-touch-tablet-with-intel-core-m3-6y30-fml-00001/10574720.aspx?,FML-00001,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10574/10574720.jpg,bestbuy
3,"Apple iPad Pro 9.7"" 256GB with Wi-Fi/LTE - Gold",$999.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-256gb-with-wi-fi-lte-gold-mlq82cl-a/10415441.aspx?,MLQ82CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10415/10415441.jpg,bestbuy
4,"Apple iPad Pro 12.9"" 512GB with Wi-Fi - Gold","$1,479.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-12-9-512gb-with-wi-fi-gold/10750292.aspx?,MPL12CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750292.jpg,bestbuy
5,"Lenovo Tab 3 10 Plus 10.1"" 16GB Android 6.0 Tablet with MediaTek 8161 Quad-Core Processor - Black",$299.99,http://www.bestbuy.ca/en-ca/product/lenovo-tab-3-10-plus-10-1-16gb-android-6-0-tablet-with-mediatek-8161-quad-core-processor-black/10638772.aspx?,ZA0X0047US,https://images.bbycastatic.ca/sf/,bestbuy
6,"Apple iPad Mini 2 7.9"" 32GB iOS Tablet A1489 ME280C/A, Refurbished",$349.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-mini-2-7-9-32gb-ios-tablet-a1489-me280c-a-refurbished/11615316.aspx?,iPad Mini 2,https://multimedia.bbycastatic.ca/multimedia/products/500x500/116/11615/11615316.jpg,bestbuy
7,"Samsung Galaxy Tab E 9.6"" 16GB Android 5.0 Lollipop Tablet - White",$329.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-e-9-6-16gb-android-5-0-lollipop-tablet-white-sm-t560nzwuxac/10391588.aspx?,SM-T560NZWUXAC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10391/10391588.jpg,bestbuy
8,"iPad 4 Wifi Only Unlocked Retina Display 9.7 in 4th Generation 16GB Black, Refurbished",$274.99,http://www.bestbuy.ca/en-ca/product/ipad-4-wifi-only-unlocked-retina-display-9-7-in-4th-generation-16gb-black-refurbished/11357103.aspx?,MD510LL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11357/11357103.jpg,bestbuy
9,"Apple iPad Pro 10.5"" 512GB with Wi-Fi & 4G LTE - Gold","$1,469.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-512gb-with-wi-fi-4g-lte-gold/10750309.aspx?,MPMG2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750309_fr.jpg,bestbuy
10,"Apple iPad Pro 9.7"" 128GB with Wi-Fi/LTE - Space Grey",$849.99,http://www.bestbuy.ca/en-ca/product/apple-apple-ipad-pro-9-7-128gb-with-wi-fi-lte-space-grey-mlq32cl-a/10415435.aspx?,MLQ32CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10415/10415435.jpg,bestbuy
11,Acer America NT.L9YAA.001 Android 5.0 2GB 16GB Iconia Tablet 10.1 in.,$291.65,http://www.bestbuy.ca/en-ca/product/acer-america-nt-l9yaa-001-android-5-0-2gb-16gb-iconia-tablet-10-1-in/11382286.aspx?,DAHD23956,https://multimedia.bbycastatic.ca/multimedia/products/500x500/113/11382/11382286.jpg,bestbuy
12,"Samsung Galaxy Tab A 8"" 16GB Android 5.0 Lollipop Tablet - Titanium",$229.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-a-8-16gb-android-5-0-lollipop-tablet-titanium-sm-t350nzaaxac/10369795.aspx?,SM-T350NZAAXAC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/103/10369/10369795.jpg,bestbuy
13,"Apple iPad Pro 10.5"" 256GB with Wi-Fi - Silver","$1,049.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-256gb-with-wi-fi-silver/10750296.aspx?,MPF02CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750296_fr.jpg,bestbuy
14,"Acer B1-780-K6ER 7"" 8GB Android 6.0 Tablet & With MediaTek Cortex A53 MT8163 - White - (NT.LCKAA.001)",$124.99,http://www.bestbuy.ca/en-ca/product/acer-b1-780-k6er-7-8gb-android-6-0-tablet-with-mediatek-cortex-a53-mt8163-white-nt-lckaa-001/11532135.aspx?,NT.LCKAA.001,https://multimedia.bbycastatic.ca/multimedia/products/500x500/115/11532/11532135.jpg,bestbuy
15,"Asus ZenPad 3S 10 Z500M-C1-SL Tablet - 9.7"" - 4GB LPDDR3 - MediaTek MT8176 2.10 GHz - 64GB - Android 6.0 Marshmallow - 2048 x",$479.99,http://www.bestbuy.ca/en-ca/product/asus-asus-tablet-pc-z500m-c1-sl-9-7inch-mt8176-4gb-64gb-touch-android-6-0-retail-z500m-c1-sl/10582524.aspx?,Z500M-C1-SL,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10582/10582524.jpg,bestbuy
16,"Apple iPad 3rd Generation - 16GB BLACK, Refurbished",$250.00,http://www.bestbuy.ca/en-ca/product/apple-ipad-3rd-generation-16gb-black-refurbished/11598429.aspx?,iPad 3,https://multimedia.bbycastatic.ca/multimedia/products/500x500/115/11598/11598429.jpg,bestbuy
17,"Samsung Galaxy Tab A 10.1"" 16GB Android 6.0 Tablet - Black",$329.99,http://www.bestbuy.ca/en-ca/product/samsung-samsung-galaxy-tab-a-10-1-16gb-android-6-0-tablet-black-sm-t580nzkaxac/10450218.aspx?,SM-T580NZKAXAC,https://multimedia.bbycastatic.ca/multimedia/products/500x500/104/10450/10450218.jpg,bestbuy
18,MICROSOFT FACTORY RECERTIFIED SURFACE BOOK DETACHABLE TABLET / INTEL:I5-6300U / 8GB RAM / 128GB SSD / INTEL-HD520 / 1YR,"$1,399.99",http://www.bestbuy.ca/en-ca/product/microsoft-microsoft-factory-recertified-surface-book-detachable-tablet-intel-i5-6300u-8gb-ram-128gb-ssd-intel-hd520-1yr-fgh-00001/10588766.aspx?,FGH-00001,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10588/10588766.jpeg,bestbuy
19,"Apple iPad Pro 10.5"" 512GB with Wi-Fi & 4G LTE - Space Grey","$1,469.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-512gb-with-wi-fi-4g-lte-space-grey/10750307.aspx?,MPME2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750307_fr.jpg,bestbuy
20,"Asus ZenPad S 8.0 Z580C Z580C-B1-BK 32GB Tablet - 8"" - In-plane Switching (IPS) Technology - Wireless LAN - Intel Atom Z3530",$289.99,http://www.bestbuy.ca/en-ca/product/asus-asus-zenpad-s-8-0-z580c-z580c-b1-bk-32gb-tablet-8-in-plane-switching-ips-technology-wireless-lan-intel-atom-z3530-z580c-b1-bk/10554172.aspx?,Z580C-B1-BK,https://multimedia.bbycastatic.ca/multimedia/products/500x500/105/10554/10554172.jpeg,bestbuy
21,BK 256GB I7 8GB GPU SC FR CAN 1 LIC,"$2,616.95",http://www.bestbuy.ca/en-ca/product/bk-256gb-i7-8gb-gpu-sc-fr-can-1-lic/10753959.aspx?,SW5-00009,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10753/10753959.png,bestbuy
22,"Apple iPad 9.7"" 32GB with Wi-Fi - Space Grey",$449.99,http://www.bestbuy.ca/en-ca/product/apple-ipad-9-7-32gb-with-wi-fi-space-grey/10640354.aspx?,MP2F2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/106/10640/10640354.jpg,bestbuy
23,"Apple iPad Pro 12.9"" 256GB with Wi-Fi - Silver","$1,229.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-12-9-256gb-with-wi-fi-silver/10750320.aspx?,MP6H2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750320.jpg,bestbuy
24,"Apple iPad Pro 10.5"" 512GB with Wi-Fi - Gold","$1,299.99",http://www.bestbuy.ca/en-ca/product/apple-ipad-pro-10-5-512gb-with-wi-fi-gold/10750301.aspx?,MPGK2CL/A,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10750/10750301_fr.jpg,bestbuy
25,"Polaroid 10"" 16GB Android 6.0 Tablet & Keyboard With Intel Atom X3 Processor - Blue",$179.99,http://www.bestbuy.ca/en-ca/product/polaroid-10-16gb-android-6-0-tablet-keyboard-with-intel-atom-x3-processor-blue/10751970.aspx?,Q1010RYBL,https://multimedia.bbycastatic.ca/multimedia/products/500x500/107/10751/10751970.jpg,bestbuy
