bestBuyName,bestBuyPrice,bestBuyLink,amazonName,amazonPrice,amazonLink
"Apple iPad 9.7"" 32GB with Wi-Fi - Space Grey",$449.99,bestbuy.ca/en-ca/product/apple-ipad-9-7-32gb-with-wi-fi-space-grey/10640354.aspx?,Apple iPad mini 2 - 32GB - Wi-Fi - Space Grey,CDN$ 449.99,https://www.amazon.ca/Apple-iPad-mini-Wi-Fi-Space/dp/B01F2I6WKQ/ref=sr_1_57/145-3988143-0979929?s=pc&ie=UTF8&qid=1500512140&sr=1-57
"Apple iPad 9.7"" 32GB with Wi-Fi - Gold",$449.99,bestbuy.ca/en-ca/product/apple-ipad-9-7-32gb-with-wi-fi-gold/10640359.aspx?,"Apple iPad mini with Retina Display (32GB, Wi-Fi, Silver) NEWEST VERSIONa Display (32GB, Wi-Fi, Silver)",CDN$ 449.99,https://www.amazon.ca/Apple-Retina-Display-Silver-VERSIONa/dp/B00GQDBZUY/ref=sr_1_157/145-3566475-5685836?s=pc&ie=UTF8&qid=1500512144&sr=1-157
"Apple iPad 9.7"" 128GB with Wi-Fi - Space Grey",$579.99,bestbuy.ca/en-ca/product/apple-ipad-9-7-128gb-with-wi-fi-space-grey/10640377.aspx?,"Apple iPad mini 4 (128GB, Wi-Fi, Space Gray)",CDN$ 539.00,https://www.amazon.ca/Apple-iPad-128GB-Wi-Fi-Space/dp/B016PW4NX6/ref=lp_2690953011_1_21/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-21
"Apple iPad Mini 2 Wifi+4G GSM Unlocked 2nd Generation 7.9 inches 32gb Gray, Refurbished",$354.99,bestbuy.ca/en-ca/product/apple-ipad-mini-2-wifi4g-gsm-unlocked-2nd-generation-7-9-inches-32gb-gray-refurbished/10630625.aspx?,"Apple iPad mini 2 (Space Grey) 32GB, UNLOCKED",CDN$ 329.99,https://www.amazon.ca/Apple-iPad-mini-Space-UNLOCKED/dp/B00GQDZWGM/ref=sr_1_168/145-3566475-5685836?s=pc&ie=UTF8&qid=1500512144&sr=1-168
"Apple iPad 9.7"" 128GB with Wi-Fi - Gold",$579.99,bestbuy.ca/en-ca/product/apple-ipad-9-7-128gb-with-wi-fi-gold/10640360.aspx?,"Apple iPad mini 4 (128GB, Wi-Fi, Gold)",CDN$ 539.00,https://www.amazon.ca/Apple-iPad-mini-128GB-Wi-Fi/dp/B016PUQWMI/ref=sr_1_104/130-2364120-2965830?s=pc&ie=UTF8&qid=1500512142&sr=1-104
Apple iPad mini 4 128GB With Wi-Fi - Space Grey,$549.99,bestbuy.ca/en-ca/product/apple-apple-ipad-mini-4-128gb-with-wi-fi-space-grey-mk9n2cl-a/10389497.aspx?,"Apple iPad mini 4 (128GB, Wi-Fi, Space Gray)",CDN$ 539.00,https://www.amazon.ca/Apple-iPad-128GB-Wi-Fi-Space/dp/B016PW4NX6/ref=lp_2690953011_1_21/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-21
"Apple iPad 9.7"" 32GB with Wi-Fi - Silver",$449.99,bestbuy.ca/en-ca/product/apple-ipad-9-7-32gb-with-wi-fi-silver/10640353.aspx?,"Apple iPad mini with Retina Display (32GB, Wi-Fi, Silver) NEWEST VERSIONa Display (32GB, Wi-Fi, Silver)",CDN$ 449.99,https://www.amazon.ca/Apple-Retina-Display-Silver-VERSIONa/dp/B00GQDBZUY/ref=sr_1_157/145-3566475-5685836?s=pc&ie=UTF8&qid=1500512144&sr=1-157
"Apple iPad 9.7"" 128GB with Wi-Fi - Silver",$579.99,bestbuy.ca/en-ca/product/apple-ipad-9-7-128gb-with-wi-fi-silver/10640355.aspx?,"Apple iPad mini 4 (128GB, Wi-Fi, Silver)",CDN$ 539.00,https://www.amazon.ca/Apple-iPad-128GB-Wi-Fi-Silver/dp/B016PT10XA/ref=sr_1_35/142-7426745-3585832?s=pc&ie=UTF8&qid=1500512138&sr=1-35
Apple iPad mini 4 128GB With Wi-Fi - Gold,$549.99,bestbuy.ca/en-ca/product/apple-apple-ipad-mini-4-128gb-with-wi-fi-gold-mk9q2cl-a/10389499.aspx?,"Apple iPad mini 4 (128GB, Wi-Fi, Space Gray)",CDN$ 539.00,https://www.amazon.ca/Apple-iPad-128GB-Wi-Fi-Space/dp/B016PW4NX6/ref=lp_2690953011_1_21/132-0290471-8609047?s=pc&ie=UTF8&qid=1500512137&sr=1-21
Apple iPad Air 2 32GB with Wi-Fi + Cellular - Silver,$499.95,bestbuy.ca/en-ca/product/apple-apple-ipad-air-2-32gb-with-wi-fi-cellular-silver-mnvq2cl-a/10487828.aspx?,"Apple iPad Air MF529LL/A (32GB, Wi-Fi + AT&T, White with Silver) OLD VERSION",CDN$ 487.48,https://www.amazon.ca/Apple-MF529LL-Wi-Fi-Silver-VERSION/dp/B00G2YEKOA/ref=sr_1_1562/130-6251318-0506046?s=pc&ie=UTF8&qid=1500512199&sr=1-1562
