NEW 2015 7 inch 789 PC MID Android,"['amazon', 568L]"
GS63 7RE-008CA,"['bestbuy', 462L, 'amazon', 531L]"
NY4PC,"['bestbuy', 1015L]"
WE62 7RJ-1838CA,"['bestbuy', 921L, 'bestbuy', 929L, 'amazon', 228L]"
X2CGN,"['bestbuy', 1096L]"
NX.VAKAA.013,"['bestbuy', 1349L]"
1UG18UA#ABL,"['amazon', 1042L]"
XE500C13-K01US,"['amazon', 717L]"
X4E2-P750DM-129,"['bestbuy', 918L]"
GE62MVR 7RG-004CA,"['amazon', 164L]"
PLTNB1432,"['staples', 367L, 'source', 106L]"
SM-W720NTKBXAR,"['amazon', 1083L]"
WS1001Q,"['snapdeal', 22L]"
2FN002JCA,"['amazon', 849L]"
MX5R3-P650HSG-131,"['bestbuy', 698L]"
MX5R3-P650HSG-133,"['bestbuy', 656L]"
MX5R3-P650HSG-132,"['bestbuy', 599L]"
LAC9000298,"['amazon', 1L]"
jetBook mini (Miami Blue),"['newEgg', 1604L]"
NX.VDVAA.001,"['bestbuy', 744L]"
CompBook Excelance,"['flipkart', 117L]"
NX.VDVAA.006,"['bestbuy', 1285L]"
NP900X3E-K01US,"['newEgg', 190L]"
WT72 6QL-298US,"['amazon', 672L]"
EWT144BL,"['bestbuy', 523L, 'newEgg', 1200L]"
NP530E5M-X02US,"['amazon', 526L]"
CompBook Exemplaire,"['flipkart', 205L]"
10FKY,"['bestbuy', 1269L]"
GE72VR 7RF-296CA,"['bestbuy', 584L, 'bestbuy', 888L, 'amazon', 21L]"
E560 20EV,"['amazon', 586L]"
MSI-GS73VR-Pro-033-HID6-CA,"['amazon', 979L]"
9S7-181412-074,"['amazon', 28L]"
E565 (20EY000CUS),"['newEgg', 916L]"
466309BLK,"['walmart', 202L]"
AW17R3-7092SLV,"['bestbuy', 313L]"
AW17R4-7307SLV-PCA,"['bestbuy', 212L]"
X9-P870DM-107,"['bestbuy', 891L]"
GS43VR 6RE-011CA,"['amazon', 495L]"
EV-P650HS-ACA3,"['amazon', 846L]"
NEW 2016 7 inch 789 PC MID Android,"['amazon', 740L]"
MSI-GS63VR-Pro-002-HID2-CA,"['amazon', 1072L]"
8020201,"['walmart', 118L]"
WE727RJ1037CA,"['staples', 365L]"
NX.VCWAA.001,"['bestbuy', 1066L, 'newEgg', 443L]"
2DW37UA#ABL,"['amazon', 1143L]"
EWT144WH,"['bestbuy', 326L]"
NX.VDKAA.005,"['bestbuy', 906L]"
AW17R4-7001SLV-PUS,"['amazon', 1127L]"
MD28601,"['walmart', 124L]"
NX.VDKAA.009,"['bestbuy', 785L]"
GL702VS-DS74,"['amazon', 365L]"
AW15R3-7253SLV-PCA,"['bestbuy', 487L]"
847742868716,"['amazon', 368L]"
X4E2-P750DM2-121,"['bestbuy', 762L]"
GE62VR 7RF-665CA,"['bestbuy', 547L]"
20H5009NUS,"['bestbuy', 849L]"
MSI GT73VR Titan,"['newEgg', 379L, 'newEgg', 479L]"
FLEX360M,"['staples', 23L]"
341626BLK,"['walmart', 15L]"
V1Q00UT#ABA,"['newEgg', 1238L]"
MBPR15BRW,"['amazon', 417L]"
V2W21UT#ABA,"['newEgg', 748L]"
457880BLK,"['walmart', 228L]"
GF560,"['walmart', 163L]"
GE72 2QE-046US,"['amazon', 754L]"
AW15R3-5246SLV-PUS,"['amazon', 865L]"
A1432,"['amazon', 530L]"
MLH12LL/A,"['bestbuy', 99L]"
MSI-GS63VR-Pro-002-HID1-CA,"['amazon', 1061L]"
GT73VR-427,"['amazon', 409L]"
M5-P650RP-118,"['bestbuy', 940L]"
GT80S 6QE-013US Titan SLI,"['amazon', 255L]"
M5-P650RP-117,"['bestbuy', 861L]"
NX.VBPAA.001,"['bestbuy', 1111L]"
MSI-GS73VR-Pro-033-HID2-CA,"['amazon', 961L]"
NX.GE8AA.003,"['bestbuy', 408L]"
4800501,"['walmart', 233L]"
466102BLK,"['walmart', 99L]"
AW17R4-7352SLV-PUS,"['amazon', 468L]"
W8X44UA#ABL,"['amazon', 117L]"
GE62-7RE286CA,"['staples', 189L]"
WS637RK298CA,"['staples', 294L]"
1UG73UA#ABL,"['amazon', 1145L]"
1UG29UA#ABL,"['amazon', 14L]"
T560 (20FH001RUS),"['newEgg', 1595L]"
GP62M 7RDX-256CA Leopard,"['amazon', 146L]"
Y1X32UTABA,"['bestbuy', 1294L]"
X7E2-P775DM3-114,"['bestbuy', 719L]"
GS637RE008CA,"['staples', 243L]"
RZ09-01302E21-R3U1,"['amazon', 728L]"
X4E2-P750DM2-120,"['bestbuy', 962L]"
MX5-P650RS-116,"['bestbuy', 332L]"
GS73VR 6RF-005CA,"['amazon', 244L]"
CF30FTSCZAM,"['amazon', 169L]"
GS63VR 6RF-010CA,"['amazon', 537L]"
234-00025,"['amazon', 213L]"
1UG81UA#ABL,"['amazon', 1141L]"
