ID,Name,Price,Link,ModelNumber
0,HP Pentium Quad Core - (4 GB/1 TB HDD/DOS) 15-BE010TU Notebook,"₹21,990",https://www.flipkart.com/hp-pentium-quad-core-4-gb-1-tb-hdd-dos-15-be010tu-notebook/p/itmeprzhy4hs4akv?pid=COMEPRZBAPXN2SNF&srno=b_1_1&otracker=CLP_lhs&lid=LSTCOMEPRZBAPXN2SNF3P0YSD&iid=18ed4b05-5c68-4a29-82d5-ea48b498036b.COMEPRZBAPXN2SNF.SEARCH,15-BE010TU
1,Lenovo Core i3 6th Gen - (4 GB/500 GB HDD/DOS) Ideapad 110 Notebook,"₹24,990",https://www.flipkart.com/lenovo-core-i3-6th-gen-4-gb-500-gb-hdd-dos-ideapad-110-notebook/p/itmeqkjg7frhzwga?pid=COMEQKJGCXUYXKME&srno=b_2_1&otracker=CLP_lhs&lid=LSTCOMEQKJGCXUYXKMEUJJUKE&iid=9aa799a3-240f-4c4c-9bda-d72da4358bbd.COMEQKJGCXUYXKME.SEARCH,Ideapad 110
2,HP Core i3 6th Gen - (4 GB/1 TB HDD/DOS) 15-BE012TU Notebook,"₹27,490",https://www.flipkart.com/hp-core-i3-6th-gen-4-gb-1-tb-hdd-dos-15-be012tu-notebook/p/itmeprzhzzcrsace?pid=COMEPRZBHVZYTZHP&srno=b_1_2&otracker=CLP_lhs&lid=LSTCOMEPRZBHVZYTZHPFHXGHP&iid=a651d769-35db-488a-8402-369d1c05f0d9.COMEPRZBHVZYTZHP.SEARCH,15-BE012TU
3,HP Core i5 6th Gen - (4 GB/1 TB HDD/DOS/2 GB Graphics) 15-be015TX Notebook,"₹40,990",https://www.flipkart.com/hp-core-i5-6th-gen-4-gb-1-tb-hdd-dos-2-gb-graphics-15-be015tx-notebook/p/itmeskj5c4zq5kru?pid=COMESKJ4GHUCGTDZ&srno=b_3_1&otracker=CLP_lhs&lid=LSTCOMESKJ4GHUCGTDZT6HB8G&iid=a7141354-8eec-4671-93cb-e9ced3ee809f.COMESKJ4GHUCGTDZ.SEARCH,15-be015TX
4,HP APU Quad Core E2 6th Gen - (4 GB/500 GB HDD/DOS) 15-bg003AU Notebook,"₹19,990",https://www.flipkart.com/hp-apu-quad-core-e2-6th-gen-4-gb-500-gb-hdd-dos-15-bg003au-notebook/p/itmem22kptzdasuh?pid=COMEM22KW3CJHDSU&srno=b_2_2&otracker=CLP_lhs&lid=LSTCOMEM22KW3CJHDSU6NL38I&iid=36b11c7a-0675-427b-9266-6ae52f7f94c3.COMEM22KW3CJHDSU.SEARCH,15-bg003AU
5,Dell Inspiron Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 3567 Notebook,"₹34,990",https://www.flipkart.com/dell-inspiron-core-i3-6th-gen-4-gb-1-tb-hdd-windows-10-home-3567-notebook/p/itmeuaqpgfmkapgs?pid=COMEUAQPFQCFTAHN&srno=b_4_1&otracker=CLP_lhs&lid=LSTCOMEUAQPFQCFTAHNBKWVBD&iid=4586edd0-b4d0-4f71-a6ec-9c4f120d577f.COMEUAQPFQCFTAHN.SEARCH,3567
6,HP Imprint Core i3 6th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15-be014TU Notebook,"₹35,964",https://www.flipkart.com/hp-imprint-core-i3-6th-gen-4-gb-1-tb-hdd-windows-10-home-15-be014tu-notebook/p/itmeuze7nur7fkqv?pid=COMEUZE7NERSKTHP&srno=b_1_3&otracker=CLP_lhs&lid=LSTCOMEUZE7NERSKTHPY33XH6&iid=3efa1ab5-b860-45d5-af28-88028aacceaa.COMEUZE7NERSKTHP.SEARCH,15-be014TU
7,Micromax Canvas Lapbook Atom - (2 GB/32 GB EMMC Storage/Windows 10 Home) L1161 Netbook,"₹11,990",https://www.flipkart.com/micromax-canvas-lapbook-atom-2-gb-32-gb-emmc-storage-windows-10-home-l1161-netbook/p/itmecqprhghqk9tp?pid=COMECQPR6V6DG8ZF&srno=b_3_2&otracker=CLP_lhs&lid=LSTCOMECQPR6V6DG8ZFHFGYZA&iid=1b0b6512-6fab-4b67-8d55-53f82485fb11.COMECQPR6V6DG8ZF.SEARCH,L1161
8,Acer Celeron Dual Core - (2 GB/500 GB HDD/DOS) One 14 Notebook,"₹15,990",https://www.flipkart.com/acer-celeron-dual-core-2-gb-500-gb-hdd-dos-one-14-notebook/p/itmev4vjtt8dtgz9?pid=COMEV4VJFEGZNGKC&srno=b_2_3&otracker=CLP_lhs&lid=LSTCOMEV4VJFEGZNGKCODWYLX&iid=b3812a6b-6bcd-4e6d-b974-69eaaf49e018.COMEV4VJFEGZNGKC.SEARCH,One 14
9,Dell Inspiron 5000 Core i5 7th Gen - (4 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 5567 Notebook,"₹58,990",https://www.flipkart.com/dell-inspiron-5000-core-i5-7th-gen-4-gb-1-tb-hdd-windows-10-home-2-gb-graphics-5567-notebook/p/itmemgg8cehzqyye?pid=COMEMGG8BYZGWA4E&srno=b_5_1&otracker=CLP_lhs&lid=LSTCOMEMGG8BYZGWA4EFCYDIU&iid=ad97b7be-7614-449f-8cbf-9992a43c9ab9.COMEMGG8BYZGWA4E.SEARCH,5567
