ID,Name,Price,Link,ModelNumber
0,"Mi A1 (Black, 64 GB)","₹14,999",https://www.flipkart.com/mi-a1-black-64-gb/p/itmexnsrtzhbbneg?pid=MOBEX9WXUSZVYHET&srno=b_1_1&otracker=browse&lid=LSTMOBEX9WXUSZVYHETFSTZ7W&fm=organic&iid=ed1337e2-34a9-4de0-b278-470a5d9c35f5.MOBEX9WXUSZVYHET.SEARCH,MZB5645IN/MZB5717IN
1,"Moto C Plus (Starry Black, 16 GB)","₹5,999",https://www.flipkart.com/moto-c-plus-starry-black-16-gb/p/itmeuyd6nhzycmaa?pid=MOBEU9WRZFFUYAXJ&srno=b_2_1&otracker=browse&lid=LSTMOBEU9WRZFFUYAXJWMIJBH&fm=organic&iid=2dc4716c-2c5e-4935-9b7e-dbcd026b7ae6.MOBEU9WRZFFUYAXJ.SEARCH,XT1721
2,"iVooMi Me3 (Midnight Black, 16 GB)","₹4,999",https://www.flipkart.com/ivoomi-me3-midnight-black-16-gb/p/itmexdu2tk5vyfev?pid=MOBEXCZZWXWEHPVC&srno=b_2_2&otracker=browse&lid=LSTMOBEXCZZWXWEHPVCWDRKEE&fm=organic&iid=0b033f77-c48e-411f-9e13-b8e130817f2b.MOBEXCZZWXWEHPVC.SEARCH,iV 501
3,"Redmi Note 4 (Black, 64 GB)","₹10,999",https://www.flipkart.com/redmi-note-4-black-64-gb/p/itmeqe48766xqzb7?pid=MOBEQ98TABTWXGTD&srno=b_1_2&otracker=browse&lid=LSTMOBEQ98TABTWXGTDNZ53XZ&fm=organic&iid=119532bf-b586-498c-b9d8-e179a3292de4.MOBEQ98TABTWXGTD.SEARCH,MZB5254IN / MZB5545IN
4,"Panasonic P77 (Grey, 16 GB)","₹4,499",https://www.flipkart.com/panasonic-p77-grey-16-gb/p/itmewvg3bg5gqzzn?pid=MOBEWVG3TMQH6Z9R&srno=b_2_3&otracker=browse&lid=LSTMOBEWVG3TMQH6Z9RWK3JUK&fm=organic&iid=a9e758f5-a01f-4c42-ad0c-97e160b3d055.MOBEWVG3TMQH6Z9R.SEARCH,EB-90S50P77H
5,"Apple iPhone 6 (Space Grey, 32 GB)","₹23,999",https://www.flipkart.com/apple-iphone-6-space-grey-32-gb/p/itmetmh3hfhnxtcj?pid=MOBETMH3ZYNDPVVC&srno=b_4_1&otracker=browse&lid=LSTMOBETMH3ZYNDPVVC7BAC1S&fm=organic&iid=5ac0d9b9-2236-475a-8850-a3d8ae2e2a08.MOBETMH3ZYNDPVVC.SEARCH,MQ3D2HN/A
6,"Redmi Note 4 (Gold, 64 GB)","₹10,999",https://www.flipkart.com/redmi-note-4-gold-64-gb/p/itmeqg86fjyzkdq8?pid=MOBEQ98MNXHY4RU9&srno=b_1_3&otracker=browse&lid=LSTMOBEQ98MNXHY4RU9HWK2LC&fm=organic&iid=739aa15b-ca08-4428-9111-06429aa60fc3.MOBEQ98MNXHY4RU9.SEARCH,MZB5252IN / MZB5279IN / MZB5543IN
7,"Micromax Spark 4G (Cosmic Grey, 8 GB)","₹3,999",https://www.flipkart.com/micromax-spark-4g-cosmic-grey-8-gb/p/itmexfrggweseck9?pid=MOBEXFRGEQVVUK9H&srno=b_3_1&otracker=browse&lid=LSTMOBEXFRGEQVVUK9HSS4TSC&fm=organic&iid=4a726a59-c790-4718-82b9-8866813cb42a.MOBEXFRGEQVVUK9H.SEARCH,Q409
8,"Intex Aqua A4 (Black, 8 GB)","₹2,999",https://www.flipkart.com/intex-aqua-a4-black-8-gb/p/itmevpz53sbhrreu?pid=MOBEVPZ5ZM8WFGYK&srno=b_2_4&otracker=browse&lid=LSTMOBEVPZ5ZM8WFGYKUXKK6L&fm=organic&iid=02f2a628-e044-4035-84ca-f7182f08991f.MOBEVPZ5ZM8WFGYK.SEARCH,Aqua A4
9,"Samsung Galaxy On5 (Black, 8 GB)","₹5,990",https://www.flipkart.com/samsung-galaxy-on5-black-8-gb/p/itmekszmsqgpgygy?pid=MOBECCA5BJUVUGNP&srno=b_5_1&otracker=browse&lid=LSTMOBECCA5BJUVUGNPCHWQWJ&fm=organic&iid=cf10e720-faa2-42c3-8717-88d4f480a925.MOBECCA5BJUVUGNP.SEARCH,SM-G550FZKDINS
10,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_4_2&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=9e7c1355-891b-47a1-b5d3-184374bc0780.MOBEXBZBVHSHZFGW.SEARCH,iV 501
11,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_1_4&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=c086320c-e223-4023-82fe-f38e257fe9f5.MOBEXBZBVHSHZFGW.SEARCH,iV 501
12,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_3_2&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=8b13c983-d8b9-47df-a590-2a72ee94f481.MOBEXBZBVHSHZFGW.SEARCH,iV 501
13,"Moto E3 Power (White, 16 GB)","₹6,999",https://www.flipkart.com/moto-e3-power-white-16-gb/p/itmekgt23fgwdgkg?pid=MOBEKGT2SVHPAHTM&srno=b_2_5&otracker=browse&lid=LSTMOBEKGT2SVHPAHTM5G8MLA&fm=organic&iid=471c51b0-eb7e-4a16-bec9-7a398ad4e81b.MOBEKGT2SVHPAHTM.SEARCH,PA4C002IN/PA4C0013IN
14,"Asus Zenfone 3s Max (Gold, 32 GB)","₹8,999",https://www.flipkart.com/asus-zenfone-3s-max-gold-32-gb/p/itmeqryt6np8aazk?pid=MOBEQRYTXZXC8FZZ&srno=b_6_1&otracker=browse&lid=LSTMOBEQRYTXZXC8FZZ8AHKTJ&fm=organic&iid=c6136fef-144c-4bc8-bf4f-8790178fd707.MOBEQRYTXZXC8FZZ.SEARCH,ZC521TL-4G014IN/ZC521TL-4G006IN
15,"Lenovo K6 Power (Gold, 32 GB)","₹8,499",https://www.flipkart.com/lenovo-k6-power-gold-32-gb/p/itmezenfhm4mvptw?pid=MOBEZEMYH7FQBGBQ&srno=b_5_2&otracker=browse&lid=LSTMOBEZEMYH7FQBGBQRHVU0S&fm=organic&iid=9dc8ceeb-1920-4c6d-bc87-f13d76eaf5fc.MOBEZEMYH7FQBGBQ.SEARCH,K33A42
16,"Swipe Elite Max (Onyx Black, 32 GB)","₹7,999",https://www.flipkart.com/swipe-elite-max-onyx-black-32-gb/p/itmemrtzgagpuybf?pid=MOBEH6YFYBNMYNUM&srno=b_4_3&otracker=browse&lid=LSTMOBEH6YFYBNMYNUMYATVBP&fm=organic&iid=c8468b3b-b3f2-44d3-8a73-debbd6572551.MOBEH6YFYBNMYNUM.SEARCH,none
17,"Sansui Horizon 2S (Rose Gold Rose, 16 GB)","₹3,999",https://www.flipkart.com/sansui-horizon-2s-rose-gold-rose-16-gb/p/itmexuzywkxgywk7?pid=MOBEXG5R4M9VPRH8&srno=b_1_5&otracker=browse&lid=LSTMOBEXG5R4M9VPRH8JG8DXM&fm=organic&iid=f8b19b2d-0371-411f-bbec-0e2eafb306b8.MOBEXG5R4M9VPRH8.SEARCH,S504730
18,"Micromax Spark 4G (Champagne, 8 GB)","₹3,999",https://www.flipkart.com/micromax-spark-4g-champagne-8-gb/p/itmexfrggweseck9?pid=MOBEXFRGFQUSAHBH&srno=b_3_3&otracker=browse&lid=LSTMOBEXFRGFQUSAHBHB99AYZ&fm=organic&iid=94625a40-f5c5-4dfb-8efb-65a82f251bcb.MOBEXFRGFQUSAHBH.SEARCH,Q409
19,"Meizu M5 (Black, 32 GB)","₹7,499",https://www.flipkart.com/meizu-m5-black-32-gb/p/itmeubvrzajgeaea?pid=MOBEWDBRBFHZECEF&srno=b_7_1&otracker=browse&lid=LSTMOBEWDBRBFHZECEFNFXK6W&fm=organic&iid=c2d4f642-0024-40bf-a8ed-b821df373c0b.MOBEWDBRBFHZECEF.SEARCH,M611H
20,"iVooMi Me3S (Midnight Black, 32 GB)","₹5,999",https://www.flipkart.com/ivoomi-me3s-midnight-black-32-gb/p/itmexduzfyqpuypc?pid=MOBEXBZBVHSHZFGW&srno=b_2_6&otracker=browse&lid=LSTMOBEXBZBVHSHZFGWB8A3FE&fm=organic&iid=fec6ef39-0e33-4f3b-8a27-178101fe2683.MOBEXBZBVHSHZFGW.SEARCH,iV 501
21,"Samsung Galaxy S7 (Silver Titanium, 32 GB)","₹30,990",https://www.flipkart.com/samsung-galaxy-s7-silver-titanium-32-gb/p/itmeuyda4qgqetc6?pid=MOBEGFZPKXDMDBJ2&srno=b_6_2&otracker=browse&lid=LSTMOBEGFZPKXDMDBJ28J6IRC&fm=organic&iid=b090c513-ca9c-4824-83ff-f95acaf75bd3.MOBEGFZPKXDMDBJ2.SEARCH,SM-G930FZKUINS/SM-G930FZSUINS/SM-G930FZDUINS
