ID,Name,Price,Link,ModelNumber
0,Vu 80cm (32 inch) HD Ready LED TV,"₹12,099",https://www.flipkart.com/vu-80cm-32-inch-hd-ready-led-tv/p/itmewprknh3wquyu?pid=TVSE8FMZUEZTSM6W&srno=b_1_1&otracker=browse&lid=LSTTVSE8FMZUEZTSM6WPHJQJV&fm=organic&iid=33868e67-35cb-4318-8429-81fe70c1ef6e.TVSE8FMZUEZTSM6W.SEARCH,none
1,Vu 114cm (45 inch) Ultra HD (4K) LED Smart TV,"₹34,999",https://www.flipkart.com/vu-114cm-45-inch-ultra-hd-4k-led-smart-tv/p/itmew7unvzheveca?pid=TVSEW7UN76HVTGTY&srno=b_2_1&otracker=browse&lid=LSTTVSEW7UN76HVTGTYG34IHM&fm=organic&iid=b514f591-7f75-4b1e-992f-9c42d8e4df36.TVSEW7UN76HVTGTY.SEARCH,none
2,Micromax 81cm (32 inch) HD Ready LED TV,"₹12,999",https://www.flipkart.com/micromax-81cm-32-inch-hd-ready-led-tv/p/itmexknknhvx6fav?pid=TVSEXKNKBWYUY5P8&srno=b_1_2&otracker=browse&lid=LSTTVSEXKNKBWYUY5P8EY2OZW&fm=organic&iid=e8544065-b29f-4fa2-af4f-1dc7c697099c.TVSEXKNKBWYUY5P8.SEARCH,none
3,Noble Skiodo 55cm (22 inch) Full HD LED TV,"₹7,499",https://www.flipkart.com/noble-skiodo-55cm-22-inch-full-hd-led-tv/p/itmewzgfumqezaxt?pid=TVSEWZGFJHGBZJ4A&srno=b_3_1&otracker=browse&lid=LSTTVSEWZGFJHGBZJ4AOXROT4&fm=organic&iid=8d45476e-cda6-4b9c-9e27-43adf7e55b82.TVSEWZGFJHGBZJ4A.SEARCH,none
4,LG 60cm (24 inch) HD Ready LED TV,"₹11,199",https://www.flipkart.com/lg-60cm-24-inch-hd-ready-led-tv/p/itmejnn8ehkzcsbu?pid=TVSEJNN8CCZD7KZ9&srno=b_2_2&otracker=browse&lid=LSTTVSEJNN8CCZD7KZ9TQCC4I&fm=organic&iid=b2290366-eb93-4945-be98-3dd0541c1d21.TVSEJNN8CCZD7KZ9.SEARCH,none
5,Vu 98cm (39 inch) Full HD LED TV,"₹19,999",https://www.flipkart.com/vu-98cm-39-inch-full-hd-led-tv/p/itmeuynquyqaw4kz?pid=TVSEUYNQHHUEXQH8&srno=b_1_3&otracker=browse&lid=LSTTVSEUYNQHHUEXQH8HGNFCS&fm=organic&iid=4b58daed-0200-4729-b9b0-046d9ac4c795.TVSEUYNQHHUEXQH8.SEARCH,none
6,LG 80cm (32 inch) HD Ready LED Smart TV,"₹22,999",https://www.flipkart.com/lg-80cm-32-inch-hd-ready-led-smart-tv/p/itmegmyedqatvzmz?pid=TVSEGMYEB2SWMGHE&srno=b_4_1&otracker=browse&lid=LSTTVSEGMYEB2SWMGHERKEDZK&fm=organic&iid=96141770-59c5-4860-8e84-d78c69b42e93.TVSEGMYEB2SWMGHE.SEARCH,none
7,CloudWalker Cloud TV 109cm (43 inch) Ultra HD (4K) LED Smart TV,"₹29,999",https://www.flipkart.com/cloudwalker-cloud-tv-109cm-43-inch-ultra-hd-4k-led-smart/p/itmeqekq3zkcmxrz?pid=TVSEQEKQCUU8ZD7G&srno=b_3_2&otracker=browse&lid=LSTTVSEQEKQCUU8ZD7GANV4FG&fm=organic&iid=c7988cc2-a8bc-458e-9b86-0ae37c8e98aa.TVSEQEKQCUU8ZD7G.SEARCH,none
8,Micromax 124.46cm (49 inch) Full HD LED TV,"₹33,999",https://www.flipkart.com/micromax-124-46cm-49-inch-full-hd-led-tv/p/itmex3rxyhnuvueh?pid=TVSEX3RXYBRBMAE6&srno=b_2_3&otracker=browse&lid=LSTTVSEX3RXYBRBMAE6M0LEIB&fm=organic&iid=f2df7da5-d76e-492a-82bd-cfc3eca46bf9.TVSEX3RXYBRBMAE6.SEARCH,none
9,CloudWalker Cloud TV 109cm (43 inch) Ultra HD (4K) LED Smart TV,"₹29,999",https://www.flipkart.com/cloudwalker-cloud-tv-109cm-43-inch-ultra-hd-4k-led-smart/p/itmeqekq3zkcmxrz?pid=TVSEQEKQCUU8ZD7G&srno=b_1_4&otracker=browse&lid=LSTTVSEQEKQCUU8ZD7GANV4FG&fm=organic&iid=f13a7237-6da2-46ef-996b-56b5b304163b.TVSEQEKQCUU8ZD7G.SEARCH,none
