ID,Name,Price,Link,ModelNumber
0,Alcatel A3 10 16 GB 10.1 inch with Wi-Fi+4G Tablet,"₹9,999",https://www.flipkart.com/alcatel-a3-10-16-gb-10-1-inch-wi-fi-4g-tablet/p/itmeycgfrefgqh7p?pid=TABER27HAFY87QU2&srno=b_1_1&otracker=browse&lid=LSTTABER27HAFY87QU2VARAMP&fm=organic&iid=c62c4b8f-eaab-4904-a5e9-6cd9d966352c.TABER27HAFY87QU2.SEARCH,9026T
1,Iball Brisk 4G2 16 GB 7 inch with Wi-Fi+4G Tablet,"₹8,499",https://www.flipkart.com/iball-brisk-4g2-16-gb-7-inch-wi-fi-4g-tablet/p/itmeqvevjxhazeu4?pid=TABEQVEUMWYMAMY2&srno=b_2_1&otracker=browse&lid=LSTTABEQVEUMWYMAMY2VOF1V4&fm=organic&iid=fe48cf40-29c7-425b-97da-f96f3db4db00.TABEQVEUMWYMAMY2.SEARCH,Brisk 4G2
2,"Lenovo Phab 2 (Champagne Gold, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-champagne-gold-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVEGADXHMHT&srno=b_1_2&otracker=browse&lid=LSTMOBEZPVEGADXHMHTRHVPVC&fm=organic&iid=0adf07c7-eaef-42ae-93ce-af33b8dffc31.MOBEZPVEGADXHMHT.SEARCH,PB2-650M
3,Samsung Tab S3 (with Pen) 32 GB 9.7 inch with Wi-Fi+4G Tablet,"₹47,990",https://www.flipkart.com/samsung-tab-s3-with-pen-32-gb-9-7-inch-wi-fi-4g-tablet/p/itmevaaaxs5fredp?pid=TABETT6ANGZVPGFE&srno=b_3_1&otracker=browse&lid=LSTTABETT6ANGZVPGFEOOKELA&fm=organic&iid=56cfccd1-3964-49a9-bf72-b412fbeb34ab.TABETT6ANGZVPGFE.SEARCH,SM-T825NZKAINS
4,Lenovo Yoga Tab 3 16 GB 10.1 inch with Wi-Fi+4G Tablet,"₹18,990",https://www.flipkart.com/lenovo-yoga-tab-3-16-gb-10-1-inch-wi-fi-4g-tablet/p/itmesbwakzqxrzhd?pid=TABESBWADAHKSFCZ&srno=b_2_2&otracker=browse&lid=LSTTABESBWADAHKSFCZH4ZQP5&fm=organic&iid=d8a6c0d3-b874-4c8e-8c80-b7a7372e5844.TABESBWADAHKSFCZ.SEARCH,YT3-X50L 4G
5,Samsung Tab S3 (with Pen) 32 GB 9.7 inch with Wi-Fi+4G Tablet,"₹47,990",https://www.flipkart.com/samsung-tab-s3-with-pen-32-gb-9-7-inch-wi-fi-4g-tablet/p/itmevaaacwakuatv?pid=TABETT6AZVUDJRGX&srno=b_4_1&otracker=browse&lid=LSTTABETT6AZVUDJRGXUR0YYM&fm=organic&iid=4e414d36-924e-4f17-b39c-5d6532a4a388.TABETT6AZVUDJRGX.SEARCH,SM-T825NZSAINS
6,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_1_3&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=397a5bb7-a502-4d6a-bb80-54bc96b2ba7a.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
7,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_3_2&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=b1c731d7-3e85-4d19-9af2-c9adf69f1d00.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
8,Micromax Fantabulet F666 8 GB 6.98 inch with Wi-Fi+3G Tablet,"₹4,599",https://www.flipkart.com/micromax-fantabuletf666-8-gb-6-98-inch-wi-fi-3g-tablet/p/itmeev7x5efyjnhb?pid=TABEHHRGXECHBNVT&srno=b_2_3&otracker=browse&lid=LSTTABEHHRGXECHBNVT38OTLJ&fm=organic&iid=bcb92359-29b2-464f-8605-eb67e570730e.TABEHHRGXECHBNVT.SEARCH,F666
9,Lenovo Tab 4 8 Plus 16 GB 8 inch with Wi-Fi+4G Tablet,"₹16,990",https://www.flipkart.com/lenovo-tab-4-8-plus-16-gb-inch-wi-fi-4g-tablet/p/itmewguegk3b7cgf?pid=TABEWGUEWGCAYRBK&srno=b_1_5&otracker=browse&lid=LSTTABEWGUEWGCAYRBK8XZM3V&fm=organic&iid=866f1837-a476-440b-aa74-db0cb8b05d5e.TABEWGUEWGCAYRBK.SEARCH,TB-8704X
10,Datawind Education Classes 1 to 4 4 GB 7 inch with Wi-Fi+2G Tablet,"₹3,999",https://www.flipkart.com/datawind-education-classes-1-4-gb-7-inch-wi-fi-2g-tablet/p/itmeshgpe9hf5buc?pid=TABESHGPHJPZCFTT&srno=b_5_1&otracker=browse&lid=LSTTABESHGPHJPZCFTTHQOX7K&fm=organic&iid=4c14de1b-ab49-4492-833a-d84564fa9d39.TABESHGPHJPZCFTT.SEARCH,Classes 1 to 4
11,Alcatel PIXI 4 16 GB 7 inch with Wi-Fi+4G Tablet,"₹5,999",https://www.flipkart.com/alcatel-pixi-4-16-gb-7-inch-wi-fi-4g-tablet/p/itmesbwatxxcqzrt?pid=TABESBWAAAEMPGH3&srno=b_3_3&otracker=browse&lid=LSTTABESBWAAAEMPGH3Q85UWH&fm=organic&iid=af7eb3e2-ffae-49f7-8b5b-683e0e174c39.TABESBWAAAEMPGH3.SEARCH,9015Q
12,Micromax Fantabulet F666 8 GB 6.98 inch with Wi-Fi+3G Tablet,"₹4,599",https://www.flipkart.com/micromax-fantabuletf666-8-gb-6-98-inch-wi-fi-3g-tablet/p/itmeev7x5efyjnhb?pid=TABEEV7XH2FVKGVX&srno=b_2_4&otracker=browse&lid=LSTTABEEV7XH2FVKGVXMQAQH0&fm=organic&iid=92269a8f-f424-4ec8-a59d-247676a69cbe.TABEEV7XH2FVKGVX.SEARCH,F666
13,"Lenovo Phab 2 (Gunmetal Gray, 32 GB)","₹8,999",https://www.flipkart.com/lenovo-phab-2-gunmetal-gray-32-gb/p/itmep4bhwqtfmpdd?pid=MOBEZPVENHEVMQDZ&srno=b_4_2&otracker=browse&lid=LSTMOBEZPVENHEVMQDZISYRRI&fm=organic&iid=44b9cadf-f85c-43f3-9286-c934f68df4c6.MOBEZPVENHEVMQDZ.SEARCH,PB2-650M
14,Digiflip Pro XT 712 Tablet,"₹10,999",https://www.flipkart.com/digiflip-pro-xt-712-tablet/p/itme93hkz7ytvph4?pid=TABDTP4STQJ3R8ZT&srno=b_6_1&otracker=browse&lid=LSTTABDTP4STQJ3R8ZTZ8DXPV&fm=organic&iid=ea5eca28-7e64-4598-9377-83d3698b1ea1.TABDTP4STQJ3R8ZT.SEARCH,XT 712
15,Lenovo Yoga 3 (2 GB RAM) 16 GB 8 inch with Wi-Fi+4G Tablet,"₹12,990",https://www.flipkart.com/lenovo-yoga-3-2-gb-ram-16-8-inch-wi-fi-4g-tablet/p/itmefuygsnmuzfgs?pid=TABEFUYGFC5BVGWK&srno=b_1_6&otracker=browse&lid=LSTTABEFUYGFC5BVGWKA4WANT&fm=organic&iid=a6d1153f-181c-4465-83ef-74ada78b9047.TABEFUYGFC5BVGWK.SEARCH,Yt3-850m
16,Apple iPad Pro 128 GB 9.7 inch with Wi-Fi Only,"₹51,755",https://www.flipkart.com/apple-ipad-pro-128-gb-9-7-inch-wi-fi-only/p/itmeexczgzr9yhfj?pid=TABEEXCZAFUVWSMU&srno=b_5_2&otracker=browse&lid=LSTTABEEXCZAFUVWSMUJFIUYS&fm=organic&iid=fa29c4b0-4975-4576-b8db-95d6a55ee595.TABEEXCZAFUVWSMU.SEARCH,MLMX2HN/A
17,Apple iPad Pro 64 GB 10.5 inch with Wi-Fi+4G,"₹60,990",https://www.flipkart.com/apple-ipad-pro-64-gb-10-5-inch-wi-fi-4g/p/itmeuqasfmj8sghf?pid=TABEUQASE2A64HMH&srno=b_3_4&otracker=browse&lid=LSTTABEUQASE2A64HMHRXL07A&fm=organic&iid=47094492-aed8-4627-8b06-02dbf12f5b86.TABEUQASE2A64HMH.SEARCH,MQF12HN/A
