modelNumber,idNumber,Rating
X7E2-P775DM3-127,"['bestbuy', 915L]",1
X555DA-WB11,"['bestbuy', 15L, 'newEgg', 1580L]",3
Q200E-BSI3T08,"['newEgg', 280L]",1
MLHF2LL/A,"['bestbuy', 142L]",1
M780,"['newEgg', 2427L]",1
V551LB-DB71T,"['newEgg', 742L]",1
X2CGN,"['bestbuy', 1463L]",1
"GIGABYTE P55Wv7-KL2 15.6"" FHD Gaming Laptop Intel Core i7-7700HQ, Nvidia GTX 1060, 16GB DDR4 RAM, 1TB HDD + 128GB SSD Win 10 + Gaming Bundle","['amazon', 204L]",1
E5-552-T6R6,"['source', 42L]",1
C202SA-YS01,"['amazon', 37L]",1
1UG18UA#ABL,"['amazon', 25L]",1
C202SA-YS02,"['bestbuy', 568L, 'newEgg', 2099L]",3
PRT12C-05Q01H,"['bestbuy', 1464L]",1
20JD0015US,"['bestbuy', 686L]",1
AST031USZ,"['newEgg', 254L]",1
"Ematic EWT144WH Chromebooks Intel Atom 1.30 GHz 2 GB Memory 32 GB Flash memory 14.1"" 1280 x 800 Windows 10 Home","['newEgg', 1227L]",1
i7559-5637BLK,"['bestbuy', 102L]",1
NX.MQPAA.001,"['amazon', 798L]",1
G701VI-XS72K,"['amazon', 195L]",1
MLHA2LL/A,"['newEgg', 103L]",1
ab005TU,"['snapdeal', 16L]",1
E5-575-38UM,"['bestbuy', 114L]",1
15-BW006CA,"['source', 10L]",1
MPTU2LL/A,"['bestbuy', 521L, 'amazon', 977L]",3
80T700ACUS,"['bestbuy', 308L]",1
"HP EliteBook 8560w 15.6"" Workstation Laptop, Intel Core i7 2.3-3.4GHz, 16GB DDR3, 128GB SSD, Win-7 Pro","['amazon', 1078L]",1
MNYK2C/A,"['bestbuy', 882L]",1
"DELL 14"" I5 7440H 8GB 256GB","['newEgg', 1124L]",1
E5-575G-56GY,"['snapdeal', 24L]",1
X540LA-XX440T,"['snapdeal', 11L]",1
GX-792-703D,"['amazon', 96L]",1
"MSI GE62 APACHE GE62VR 7RF-430CA 15.6"" VR Ready Gaming Laptop","['walmart', 88L]",1
Delphi,"['amazon', 439L]",1
NX.GK9AA.011,"['amazon', 258L]",1
PT461C-02P019,"['bestbuy', 1588L]",1
HP 15-f272wm,"['amazon', 161L]",1
"PlayStation Move Motion Controllers - Two Pack(US Version, Imported)","['amazon', 640L]",1
C301SA-E01-CB,"['bestbuy', 116L]",1
MC373LL/A,"['amazon', 944L]",1
"HP EliteBook 850 G2 (L4A23UT#ABA) Laptop - Intel Core i5 5300U (2.30 GHz) 8 GB DDR3L 180 GB SSD Intel HD Graphics 5500 15.6"" 1366 x 768 720p HD webcam Windows 7 Professional 64-Bit","['newEgg', 2475L]",1
LENOVO NOTEBOOK 20HF005HUS THINKPAD T470S 14 INCH CORE I7-7600U 8GB 256GB TOUCH,"['amazon', 1124L]",1
"ASUS 15.6"" Republic of Gamers Strix GL553VD Notebook (Intel i7 Quad Core, 16GB RAM, 1TB HDD, 15.6 Inch FHD (1920X1080), NVIDIA GeForce GTX 1050, DVD Burner, WiFi, Win 10 Pro)","['newEgg', 620L]",1
GL502VM-FY230T,"['flipkart', 27L]",1
NX.VAKAA.013,"['bestbuy', 1383L]",1
245 G5,"['snapdeal', 21L]",1
P2540UA-AB51,"['amazon', 9L]",1
80V50010US,"['bestbuy', 1168L]",1
HP SMART BUY ELITEBOOK 725 G4,"['newEgg', 1180L]",1
"DELL Latitude E6430: Intel Core i5 3rd Gen 3320M 2.6GHz / 8G DDR3 RAM / 500G HDD / Nvidia NVS 5200M 1G video card / WIFI / HDMI / DVDRW/ 14"" / Windows 7 Professional","['amazon', 589L]",1
MPTV2C/A,"['bestbuy', 604L]",1
PT363C-0XQ05H,"['newEgg', 1598L, 'source', 93L]",3
"Dell Latitude E6430:14-inch, Intel Core i5 (3rd Gen), 2.90Ghz, 4GB RAM, 500GB Hard Drive, HDMI, wifi, Bluetooth, Webcam, Win 7 Pro","['amazon', 610L]",1
DAHD14955,"['bestbuy', 1111L]",1
X555BA-DS94,"['bestbuy', 118L, 'bestbuy', 247L, 'amazon', 184L, 'staples', 29L, 'newEgg', 362L, 'source', 44L]",3
"Artistic Weavers MRG6008-2310 Marigold Catherine Rug, 2'3  x 10'","['newEgg', 605L]",1
Refurbished HP Elitebook 8470P i5 Processor,"['walmart', 57L, 'walmart', 74L, 'walmart', 87L, 'walmart', 97L, 'walmart', 148L, 'walmart', 152L, 'walmart', 160L, 'walmart', 176L]",2
"HIDevolution ASUS ROG Strix GL703VD-WB71-HID12 w/ FREE IC Diamond on CPU+GPU - Optimal System Temperatures 17.3"" Ultimate Gaming Laptop (PCIE 1T+2T SSD/32G RAM/FHD/7700HQ/1050)","['amazon', 1152L]",1
NEW 2016 MTL1008 Notebook 1GB DDR3 8GB VIA WM8880 CPU 10 Inch Android 5.0 HD Screen - Pink,"['amazon', 838L]",1
"DELL Latitude E6420: i5 2.5 Ghz / 4 Gb / 250 Gb / WIFI / Webcam / DVDRW / 14"" / Windows 10 Professional","['amazon', 332L]",1
"13.3"" i7 7500U 8GB 256GB","['newEgg', 925L]",1
"Lenovo ThinkPad E570 20H50047US 15.6"" 16:9 Notebook - 1920 x 1080 - In-plane Switching (IPS) Technology - Intel Core i7 (7th Gen) i7-7500U Dual-core (2 Core) 2.70 GHz - 8 GB DDR4 SDRAM - 256 GB SSD...","['newEgg', 257L]",1
5552031SSFX-CB,"['staples', 105L]",1
C710-2487,"['newEgg', 80L]",1
"ASUS 15.6"" Republic of Gamers Strix GL553VD Notebook (Intel i7 Quad Core, 16GB RAM, 4TB SSD, 15.6 Inch FHD (1920X1080), NVIDIA GeForce GTX 1050, DVD Burner, WiFi, Win 10 Pro)","['newEgg', 1739L]",1
450 G3 (W0S83UT#ABA),"['newEgg', 182L]",1
GS73VR6RF-005CA,"['staples', 272L]",1
X540LA-XX596T,"['flipkart', 288L]",1
X9-P870DM-107,"['bestbuy', 722L]",1
"HIDevolution ASUS ROG Strix GL503VD-DB71-HID14 w/ FREE IC Diamond on CPU+GPU - Optimal System Temperatures 15.6"" Ultimate Gaming Laptop (PCIE 2T+1T SSD/32G RAM/FHD/7700HQ/1050)","['amazon', 1151L]",1
"Apple MacBook Pro 13"", 2.3 GHz Intel Core i5, 128 GB SSD, 8 GB LPDDR3, MacOS Sierra","['staples', 181L, 'staples', 316L, 'staples', 340L, 'staples', 389L]",2
T410,"['bestbuy', 235L, 'bestbuy', 263L, 'bestbuy', 321L]",2
T101HA-RH01-CB,"['walmart', 27L]",1
"HP Pavilion 15.6"" HD Touchscreen Notebook, Intel Core i5-6200U Upto 2.8GHz, 8GB DDR4, 256GB SSD, DVD-RW, Wifi, Bluetooth, HDMI, Windows 10 Professional 64Bit (8GB Ram + 256GB SSD)","['amazon', 952L, 'amazon', 955L]",2
80XL0377IN,"['snapdeal', 78L]",1
R7-372T-75LX,"['amazon', 741L]",1
X540LA-XX596D,"['flipkart', 309L]",1
20EN001SUS,"['source', 81L]",1
WE727RJ1037CA,"['staples', 365L]",1
"Dell Latitude E5430 - 14"" - Intel Core I5 3210m @ 2.50ghz - 8 GB RAM - 500 GB HDD DVDRW Webcam - Windows 10 Pro - MAR loaded - 90 Day Warranty","['newEgg', 2162L, 'newEgg', 2317L]",2
"Newest Lenovo Ideapad 110 Flagship High Performance 15.6 inch HD Laptop PC, Intel Pentium 4405U Dual-Core, 6GB DDR4, 1TB HDD, DVD RW, WIFI, Bluetooth, Windows 10 (Black)","['amazon', 178L]",1
X751LX-BB71-CB,"['bestbuy', 197L]",1
80UD001RUS,"['source', 187L]",1
"HP V4G46A8 Elitedisplay S340C - Led Monitor - Curved - 34 Inch (34 Inch Viewable) - 3440 X 1440 - 300 Cd/M2 - 3000:1 - 6.1 Ms - Hdmi, Displayport, Usb-C - Speakers - Black, Silver - Promo","['newEgg', 1131L]",1
NX.MUNAA.001,"['amazon', 658L]",1
Asus NB K556UA-Q52K-CB 15.6 i5-7200U 8G 1TB Intel HD W10 Retail,"['newEgg', 1373L]",1
"Dell Latitude E6220 - 12.5"" - Intel Core i5 2520M @ 2.50Ghz - 4 GB RAM - 250 GB HDD   - HDMI Win10 Home MAR Loaded- 90 Day Warranty","['newEgg', 2103L, 'newEgg', 2464L]",2
T304UA-P72S-CA,"['bestbuy', 198L, 'source', 63L]",3
NX.VDKAA.005,"['bestbuy', 1169L]",1
80SG001FUS,"['amazon', 90L]",1
X541UA-RS31-CB,"['source', 48L]",1
"ASUS ROG Strix GL702VM (VR Ready) Premium 17.3'' Business and Gaming Laptop PC ( Intel i7 Quad Core, 32GB RAM, 2TB SSD, 17.3 Inch FHD (1920X1080) G-SYNC, NVIDIA GeForce 1060, Win 10)","['newEgg', 1455L]",1
LENOVO FR NOTEBOOK TP P50S 16G 512 W10D,"['newEgg', 1605L]",1
"Dell Precision 15 3000 M3510 15.6"" (In-plane Switching (IPS) Technology) Mobile Workstation - Intel Core i5 (6th Gen) i5-6440HQ Quad-core (4 Core) 2.60 GHz","['newEgg', 843L]",1
E5-573T-P1LS,"['bestbuy', 304L]",1
17-BS008CA,"['bestbuy', 32L]",1
"Acer TravelMate P645-S TMP645-S-753L 14"" LCD Notebook - Intel Core i7 (5th Gen) i7-5500U Dual-core (2 Core) 2.40 GHz - 8 GB DDR3L SDRAM - 256 GB SSD - Windows 7 Professional 64-bit upgradable to ...","['newEgg', 2315L]",1
GL702VS-DS74,"['amazon', 18L]",1
WT70 2OK-2277US,"['bestbuy', 1022L]",1
TP200SA-RH91-CB,"['source', 23L]",1
"Refurbished Dell Latitude E6420 14.0"" Intel Core i5-2410M 2.3GHz 8GB DDR3 240GB SSD DVD Windows 10 Professional 64 Bits 1 Year Warranty","['newEgg', 2438L, 'newEgg', 2441L, 'newEgg', 2460L]",2
ISTR25707,"['bestbuy', 819L]",1
10-p010nr,"['amazon', 982L, 'amazon', 735L]",2
X751SA-DS21Q,"['newEgg', 685L]",1
"Acer Notebooks TravelMate TMP449-M-507B Intel Core i5 6th Gen 6200U (2.30 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0"" Windows 7 Professional 64-Bit (Upgradeable to Windows 10 Pro)","['newEgg', 2477L]",1
HTC VIVE - Virtual Reality System,"['amazon', 20L]",1
"Dell Inspiron 15-3000 15-3552 15.6"" Notebook - Intel Pentium N3710 Quad-core (4 Core) 1.60 GHz","['newEgg', 124L]",1
"ThinkPad Laptop T Series T460 (20FN002JUS) Intel Core i5 6th Gen 6300U (2.40 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 520 14.0\"" Windows 7 Professional 64-Bit / Windows 10 Pro Downgrade","['newEgg', 1623L]",1
G701VO-CS74K,"['staples', 313L]",1
DAHD24030,"['bestbuy', 801L, 'newEgg', 397L]",3
