ID,Name,Price,Link,ModelNumber
0,Apple iPad 2 16GB Wi-Fi (Refurbished),146.99,https://www.overstock.com/Electronics/Apple-iPad-2-16GB-Wi-Fi-Refurbished/10238869/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=0&keywords=&refinement=,MC769LL/A
1,Samsung Galaxy Tab E 9.6-inch 8GB Black Tablet,217.81,https://www.overstock.com/Electronics/Samsung-Galaxy-Tab-E-9.6-inch-8GB-Black-Tablet/11367947/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=1&keywords=&refinement=,SM-T560NZKUXAR
2,Urban Factory SUR03UF Urban Factory Elegant Carrying Case (Folio) for Tablet - Black - Simili Leather,46.95,https://www.overstock.com/Electronics/Urban-Factory-SUR03UF-Urban-Factory-Elegant-Carrying-Case-Folio-for-Tablet-Black-Simili-Leather/15144436/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=60&keywords=&refinement=,none
3,Samsill 35026 Samsill Vintage Carrying Case for 10.1 Tablet - Brown - Polyvinyl Chloride (PVC),32.95,https://www.overstock.com/Electronics/Samsill-35026-Samsill-Vintage-Carrying-Case-for-10.1-Tablet-Brown-Polyvinyl-Chloride-PVC/15132227/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=61&keywords=&refinement=,none
4,"Codi C2300 Codi UltraLite 15.6 Hybrid Messenger - Nylon - Handle, Shoulder Strap, Trolley Strap",73.95,https://www.overstock.com/Electronics/Codi-C2300-Codi-UltraLite-15.6-Hybrid-Messenger-Nylon-Handle-Shoulder-Strap-Trolley-Strap/15161326/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=120&keywords=&refinement=,none
5,"Samsung Galaxy Tab A SM-T550 16 GB Tablet - 9.7"" Bundle",269.99,https://www.overstock.com/Electronics/Samsung-Galaxy-Tab-A-SM-T550-16-GB-Tablet-9.7-Bundle/12494602/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=2&keywords=&refinement=,SM-T550NZAAXAR
6,Seal Shield SBUMPERIA Seal Shield Silicone Bumper Case for iPad Air Black Antimicrobial - iPad Air - Black - Silicone,26.95,https://www.overstock.com/Electronics/Seal-Shield-SBUMPERIA-Seal-Shield-Silicone-Bumper-Case-for-iPad-Air-Black-Antimicrobial-iPad-Air-Black-Silicone/15131764/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=62&keywords=&refinement=,none
7,"HP H5M90UTM Carrying Case (Backpack) for 17.3"" Notebook Tablet PC Ultrabook",50.86,https://www.overstock.com/Electronics/HP-H5M90UTM-Carrying-Case-Backpack-for-17.3-Notebook-Tablet-PC-Ultrabook/15143648/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=121&keywords=&refinement=,none
8,"Ematic 7"" HD Quad-Core Multi-Touch Tablet with Android 5.0, Lollipop",68.99,https://www.overstock.com/Electronics/Ematic-7-HD-Quad-Core-Multi-Touch-Tablet-with-Android-5.0-Lollipop/10075814/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=3&keywords=&refinement=,none
9,Samsung Book Cover for Tab A 10.1 with S Pen - White Book Cover,38.22,https://www.overstock.com/Electronics/Samsung-Book-Cover-for-Tab-A-10.1-with-S-Pen-White-Book-Cover/15155711/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=63&keywords=&refinement=,none
10,Motorola ET1 Series ET1N2-7G2V12US Enterprise Tablet PC - OMAP 4 (Refurbished),499.97,https://www.overstock.com/Electronics/Motorola-ET1-Series-ET1N2-7G2V12US-Enterprise-Tablet-PC-OMAP-4-Refurbished/16956241/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=122&keywords=&refinement=,none
11,Monster M7 M71BL HD Tablet PC - 1.5 GHz Dual-Core Processor - 1 (Refurbished),38.97,https://www.overstock.com/Electronics/Monster-M7-M71BL-HD-Tablet-PC-1.5-GHz-Dual-Core-Processor-1-Refurbished/16994496/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=4&keywords=&refinement=,none
12,Gear Head BC4000BLK Gear Head Duraflex Back Cover for iPad 2 and iPad Gen 3/4 - iPad - Black,11.95,https://www.overstock.com/Electronics/Gear-Head-BC4000BLK-Gear-Head-Duraflex-Back-Cover-for-iPad-2-and-iPad-Gen-3-4-iPad-Black/15161453/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=64&keywords=&refinement=,none
13,Samsill 35024 Samsill Vintage Carrying Case for 7.9 Tablet - Brown - Polyvinyl Chloride (PVC),29.95,https://www.overstock.com/Electronics/Samsill-35024-Samsill-Vintage-Carrying-Case-for-7.9-Tablet-Brown-Polyvinyl-Chloride-PVC/15128749/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=123&keywords=&refinement=,none
14,"Samsung Galaxy Tab A SM-T350 Tablet - 8"" - 1.50 GB - Qualcomm Snapdra",197.99,https://www.overstock.com/Electronics/Samsung-Galaxy-Tab-A-SM-T350-Tablet-8-1.50-GB-Qualcomm-Snapdra/10121265/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=5&keywords=&refinement=,none
15,Asus VersaSleeve 7 inch Tablet Carrying Case - Silver Asus VersaSleeve Carrying Case (Sleeve) for 7 Tablet - Silver -,43.95,https://www.overstock.com/Electronics/Asus-VersaSleeve-7-inch-Tablet-Carrying-Case-Silver-Asus-VersaSleeve-Carrying-Case-Sleeve-for-7-Tablet-Silver/15158271/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=65&keywords=&refinement=,none
16,Gear Head LFS3800BRN Gear Head Slim LFS3800BRN Carrying Case (Portfolio) for iPad mini - Brown - Leather,15.95,https://www.overstock.com/Electronics/Gear-Head-LFS3800BRN-Gear-Head-Slim-LFS3800BRN-Carrying-Case-Portfolio-for-iPad-mini-Brown-Leather/15147909/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=124&keywords=&refinement=,none
17,Apple - 9.7-Inch iPad Pro with WiFi - 32GB,602.30,https://www.overstock.com/Electronics/Apple-9.7-Inch-iPad-Pro-with-WiFi-32GB/11663046/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=6&keywords=&refinement=,MLMN2LL/A
18,"Targus THZ590US Targus Fit N' Grip THZ590US Carrying Case for 8 Tablet - Black - Shock Absorbing Corner, Drop Resistant",40.95,https://www.overstock.com/Electronics/Targus-THZ590US-Targus-Fit-N-Grip-THZ590US-Carrying-Case-for-8-Tablet-Black-Shock-Absorbing-Corner-Drop-Resistant/15133324/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=66&keywords=&refinement=,none
19,"Urban Factory NFO02UF Urban Factory Carrying Case (Folio) for 7 Tablet - Blue - Simili Leather, Felt",28.95,https://www.overstock.com/Electronics/Urban-Factory-NFO02UF-Urban-Factory-Carrying-Case-Folio-for-7-Tablet-Blue-Simili-Leather-Felt/15163655/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=125&keywords=&refinement=,none
20,"Blackberry PlayBook 64GB 7"" Multi-Touch Tablet PC 1 GHz Dual-Core Processor",64.70,https://www.overstock.com/Electronics/Blackberry-PlayBook-64GB-7-Multi-Touch-Tablet-PC-1-GHz-Dual-Core-Processor/7324943/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=7&keywords=&refinement=,PlayBook 64GB
21,"WIB FWC7BKDALLAS WIB Dallas Carrying Case for up-to 7 Tablet, eReader - Black - Twill Polyester - Shoulder Strap",38.95,https://www.overstock.com/Electronics/WIB-FWC7BKDALLAS-WIB-Dallas-Carrying-Case-for-up-to-7-Tablet-eReader-Black-Twill-Polyester-Shoulder-Strap/15143935/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=67&keywords=&refinement=,none
22,I/OMagic I015C04BK I/OMagic iPad Case - iPad - Black - Glossy,23.95,https://www.overstock.com/Electronics/I-OMagic-I015C04BK-I-OMagic-iPad-Case-iPad-Black-Glossy/15157316/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=126&keywords=&refinement=,none
23,"Maroo MM-400 Maroo Pango mini Carrying Case (Portfolio) for iPad mini, iPad mini 2, iPad mini 3, Business Card, Stylus - Black -",39.95,https://www.overstock.com/Electronics/Maroo-MM-400-Maroo-Pango-mini-Carrying-Case-Portfolio-for-iPad-mini-iPad-mini-2-iPad-mini-3-Business-Card-Stylus-Black/15132828/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=68&keywords=&refinement=,none
24,"Kensington K97907WW Kensington SecureBack K97907WW Carrying Case for iPad Air, iPad Air 2 - Black - Drop Resistant, Scratch",104.95,https://www.overstock.com/Electronics/Kensington-K97907WW-Kensington-SecureBack-K97907WW-Carrying-Case-for-iPad-Air-iPad-Air-2-Black-Drop-Resistant-Scratch/15157426/product.html?refccid=XCC7BDERDXPKOZCMFXQPO2YT2I&searchidx=127&keywords=&refinement=,none
25,"Samsung Galaxy Tab A SM-T350 Tablet - 8"" - 1.50 GB - Qualcomm Snapdra",191.99,https://www.overstock.com/Electronics/Samsung-Galaxy-Tab-A-SM-T350-Tablet-8-1.50-GB-Qualcomm-Snapdra/10112826/product.html?refccid=JY7KFXKJRCCYHKSCOFQRJUJ6KI&searchidx=8&keywords=&refinement=,none
26,Seal Shield SBUMPERIM Seal Shield Bumper Case iPad Mini - Antimicrobial Product Protection - iPad mini - Black - Silicone,27.95,https://www.overstock.com/Electronics/Seal-Shield-SBUMPERIM-Seal-Shield-Bumper-Case-iPad-Mini-Antimicrobial-Product-Protection-iPad-mini-Black-Silicone/15921808/product.html?refccid=VZGG2ZCYRYKKIJKLG2SPAHGPB4&searchidx=69&keywords=&refinement=,none
