ID,Name,Price,Link,ModelNumber,Images
0,Infomaster M118 Assemble Desktop ( Intel Pentium Dual Core 4 GB 500 GB DOS 39.62 cm (15.6) ),14999,https://www.snapdeal.com/product/infomaster-m118-assemble-desktop-intel/647203419771#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/f/j/r/230X258_sharpened/SDL887004662_1-b9cb7.jpg
1,HP 20-C102IL All In One Desktop ( Intel Celeron - 4 GB 1 TB DOS 49.53 cm (19.5) Black ),32999,https://www.snapdeal.com/product/hp-20c102il-all-in-one/625351261509#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/e/h/j/230X258_sharpened/HP-20-C102IL-All-In-SDL663680698-1-74537.jpg
2,Dell Dell Inspiron 3252 Desktop PC Tower Desktop ( Intel Pentium Quad Core 4 GB 500 GB Linux/Ubuntu ),21990,https://www.snapdeal.com/product/dell-inspiron-3252-desktop-pc/667134512470#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/c/f/e/230X258_sharpened/Dell-Inspiron-3252-Desktop-PC-SDL800761257-1-5afaa.JPG
3,AFT Info m331 Assemble Desktop ( Intel Core2Duo GB 160 GB DOS),7600,https://www.snapdeal.com/product/aft-info-m331-assemble-desktop/681507624872#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/c/e/i/230X258_sharpened/Iball_Cabinet_Elegance_With_Smps_SDL194151257_1_0029e-269c9.jpg
4,Lenovo C2000 All In One Desktop ( Intel Celeron - 2 GB 500 GB Windows 10 49.53 cm (19.5) Black ),27990,https://www.snapdeal.com/product/lenovo-c2000-all-in-one/659805190610#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/d/a/q/230X258_sharpened/Lenovo-C2000-All-In-One-SDL999893494-1-44fda.jpg
5,BBC BBC250RED Assemble Desktop ( Intel Pentium Dual Core 2 GB 250 GB DOS WITHOUT LCD) ),6999,https://www.snapdeal.com/product/bbc-bbc250red-assemble-desktop-intel/622664844607#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/c/o/l/230X258_sharpened/BBC-BBC250RED-Assemble-Desktop-Intel-SDL174741398-1-ca6f1.jpg
6,iBall Splendo PC Stick (Atom-2 GB RAM-32 GB HDD-Windows10) (Black),7099,https://www.snapdeal.com/product/iball-splendo-pc-on-stick/663499599739#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/a/6/m/230X258_sharpened/iBall-Splendo-PC-on-Stick-SDL603108718-1-a6d9b.jpg
7,HP Hp AIo 20-C003IN All In One Desktop ( AMD - 4 GB 500 GB Windows 10 49.53 cm (19.5) Black ),34000,https://www.snapdeal.com/product/hp-hp-aio-20c003in-all/659706737190#bcrumbLabelId:55,none,
8,AFT Info M240 Assemble Desktop ( Intel Pentium Dual Core 4 GB 1 TB DOS 39.62 cm (15.6) ),14999,https://www.snapdeal.com/product/aft-info-m240-assemble-desktop/658992592430#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/d/c/2/230X258_sharpened/combine_images_bebc3-4a8c2.jpg
9,Apple iMac Retina 5K Display All In One Desktop ( Core i5 (5th Generation) - 8 GB 1 TB Mac OS 68.58 cm (27) Silver ),187805,https://www.snapdeal.com/product/apple-imac-retina-5k-display/650704292961#bcrumbLabelId:55,none,https://n2.sdlcdn.com/imgs/b/2/f/230X258_sharpened/Apple-iMac-Retina-5K-Display-SDL163831808-1-734ce.jpg
