ID,Name,Price,Link,ModelNumber,Images
0,"Xolo Era 2 (8GB, 4G)",4499,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5764608162399421840#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/e/j/v/230X258_sharpened/Xolo-Era-2-8GB-Nile-SDL756379054-4-4b772.png
1,Micromax Spark Vdeo (8GB) 4G VoLTE,4499,https://www.snapdeal.com/product/micromax-spark-vdeo-q15-8gb/636218001907#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/f/d/o/230X258_sharpened/Micromax-Spark-Vdeo-Q15-8GB-SDL092310467-1-f434c.jpg
2,"Xolo Era 2 (8GB, 4G)",4499,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6917529667006268816#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/d/f/7/230X258_sharpened/Xolo-b8107.jpg
3,"OPPO A37 (16GB, Gray)",9990,https://www.snapdeal.com/product/oppo-a37-16gb-gray/662623821571#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/d/t/n/230X258_sharpened/41thskyt96l_1_1-e18b7.jpg
4,"Xolo Era 2 (8GB, 4G)",4555,https://www.snapdeal.com/product/xolo-era-2-8gb-black/8070451171613115792#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/e/j/v/230X258_sharpened/Xolo-Era-2-8GB-Pyramid-SDL767901306-3-fdb10.png
5,Panasonic P75 (8GB),4698,https://www.snapdeal.com/product/panasonic-p75-8gb/5764608192217230529#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/b/0/1/230X258_sharpened/Panasonic-P75-8GB-SDL247147700-1-1c91c.jpg
6,Intex Aqua 4.0 4G 4GB,3839,https://www.snapdeal.com/product/intex-aqua-40-4g-4gb/5764608204762335520#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/e/6/6/230X258_sharpened/Intex-Aqua-4-0-4G-SDL129974986-1-46387.jpg
7,Micromax BOLT Q300 4GB and Below Champagne Gold,2499,https://www.snapdeal.com/product/micromax-bolt-q300-4gb-and/651776541057#bcrumbLabelId:175,none,https://n2.sdlcdn.com/imgs/c/h/h/230X258_sharpened/Micromax-BOLT-Q300-4GB-and-SDL652402028-1-ad7c0.jpg
8,Zen X47 Fire 32 MB Black Blue,,"http://clk.snapdeal.biz/rtb/clickTracker/0/29006672?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=685512&websiteId=1&position=&trackerId=10.65.96.22:e4dd9d50-c788-49e8-a677-3b1d6ed940e7:1&category=mobiles-mobile-phones&supcCat=mobiles-mobile-phones&page=clp&accId=7176&siteId=101&sdId=150195296905992451&eId=&dId=&sellerCode=Se1bd2&supc=SDL005127255&pogId=651068260561&brand=Zen&metricsType=CPC&fp=100.0&type=product&acos=0.0&exp=MLF,SSF,SCF&as=1400000&pr=979999&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fzen-x47-fire-4gb-and%2F651068260561%3FvendorCode%3DSe1bd2%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL005127255%26isSellerPage%3Dtrue",none,//n1.sdlcdn.com/imgs/c/y/t/large/Zen-X47-Fire-4GB-and-SDL005127255-1-75364.jpg
9,iPhone 6s Plus (64GB),,"http://clk.snapdeal.biz/rtb/clickTracker/0/29721878?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=688005&websiteId=1&position=&trackerId=10.65.96.22:e4dd9d50-c788-49e8-a677-3b1d6ed940e7:2&category=mobiles-mobile-phones&supcCat=mobiles-mobile-phones&page=clp&accId=46421&siteId=101&sdId=150195296905992451&eId=&dId=&sellerCode=Se9a62&supc=SDL837249992&pogId=643312949011&brand=Apple&metricsType=CPC&fp=100.0&type=product&acos=0.0&exp=MLF,SSF,SCF&as=1400000&pr=979999&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fiphone-6s-plus-64gb%2F643312949011%3FvendorCode%3DSe9a62%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL837249992%26isSellerPage%3Dtrue",none,//n1.sdlcdn.com/imgs/a/9/c/large/iPhone-6s-Plus-64GB-SDL837249992-1-8ecb0.jpg
