ID,Name,Price,Link,ModelNumber,Images
0,"Ricoh SP 210SU Multifunction Laser Printer (Print, Scan and Copy)",7489,https://www.snapdeal.com/product/ricoh-sp-210su-multifunction-pcs/1255299156#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/a/u/3/230X258_sharpened/Ricoh-SP-210SU-Multifunction-P-SDL430527166-1-f4bae.jpg
1,HP DeskJet 1112 Printer,2298,https://www.snapdeal.com/product/hp-deskjet-1112-printer/669488040689#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/a/3/l/230X258_sharpened/HP-DeskJet-1112-Printer-SDL377090887-1-619ff.jpg
2,"Ricoh SP 111SU Multifunction Laser Printer (Print, Scan and Copy)",6490,https://www.snapdeal.com/product/ricoh-sp111su-laserjet-multifunction-printer/676991252412#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/b/g/x/230X258_sharpened/Ricoh-SP111SU-Laserjet-Multi-function-SDL003542982-1-33165.jpg
3,Canon ImageClass MF3010 MFC Printer,12711,https://www.snapdeal.com/product/canon-lasershot-mono-mfc-printermf/1974466555#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/a/l/o/230X258_sharpened/Canon-Lasershot-Mono-MFC-Printer-SDL195967094-1-37535.jpeg
4,HP Deskjet GT 5820 Wireless Printer,14187,https://www.snapdeal.com/product/hp-deskjet-gt-5820-wireless/658766718336#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/c/z/l/230X258_sharpened/16050149_DJGT5820Printer-23c82.jpg
5,Ricoh SP111 Single Function (Jam Free) Laser Printer,3479,https://www.snapdeal.com/product/ricoh-sp111-single-function-jam/645671777648#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/e/v/n/230X258_sharpened/SDL816121180_2-2324c.jpg
6,Canon iP2870S Single Function Color Printer,2400,https://www.snapdeal.com/product/canon-ip2870s-single-function-inkjet/677595805010#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/c/v/b/230X258_sharpened/pixma_ip2870s_1_1_-13aae.jpg
7,HP All-in-one Printer For Laserjet M1136 Pro-black,14790,https://www.snapdeal.com/product/hp-allinone-printer-for-laserjet/674493904865#bcrumbLabelId:46106299,none,https://n2.sdlcdn.com/imgs/b/m/7/230X258_sharpened/HP-All-in-one-Printer-SDL548903633-1-95b91.jpg
8,Samsung MultiXpress SL-K2200ND Multi Function B/W Laserjet Printer,,http://clk.snapdeal.biz/rtb/clickTracker/0/29761824?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=686961&websiteId=1&position=&trackerId=10.70.96.27:4b35c666-3904-49f8-84a4-4916ae7c2ad7:1&category=computers-printers&supcCat=laserjet-printers&page=clp&accId=63851&siteId=101&sdId=150212121775802257&eId=&dId=&sellerCode=S37517&supc=SDL602488648&pogId=649883982652&brand=Samsung&metricsType=CPC&fp=100.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3100000&pr=2170000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fsamsung-multixpress-slk2200nd-multi-function%2F649883982652%3FvendorCode%3DS37517%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL602488648%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/5/8/large/Samsung-MultiXpress-SL-K2200ND-Multi-SDL602488648-1-95c4e.jpg
9,Kyocera FS-1120 Multi Function B/W Laserjet Printer,,http://clk.snapdeal.biz/rtb/clickTracker/0/29761822?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=686961&websiteId=1&position=&trackerId=10.70.96.27:4b35c666-3904-49f8-84a4-4916ae7c2ad7:2&category=computers-printers&supcCat=laserjet-printers&page=clp&accId=63851&siteId=101&sdId=150212121775802257&eId=&dId=&sellerCode=S37517&supc=SDL530252964&pogId=681165325476&brand=Kyocera&metricsType=CPC&fp=100.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3100000&pr=2170000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fkyocera-fs1120-multi-function-bw%2F681165325476%3FvendorCode%3DS37517%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL530252964%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/5/8/large/Kyocera-FS-1120-Multi-Function-SDL530252964-1-e973e.jpg
