ID,Name,Price,Link,ModelNumber,Images
0,JBL Go Wireless Portable Speaker - Black,2449,https://www.snapdeal.com/product/jbl-go-wireless-bluetooth-speaker/657241269209#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/a/s/t/230X258_sharpened/Jbl-Go-Wireless-Bluetooth-Speaker-SDL456284043-3-eabd3.jpg
1,F&D T-400X Tower Speaker (with Bluetooth),13880,https://www.snapdeal.com/product/fd-t400x-21-floorstanding-speaker/681781586450#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/a/s/z/230X258_sharpened/F-d-T-400x-2-SDL090336640-1-ad330.jpg
2,F&D W4 Bluetooth Speaker - Black,2390,https://www.snapdeal.com/product/fd-w4-bluetooth-speaker-red/618786676413#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/c/v/1/230X258_sharpened/P87A8798-c25f4.jpg
3,JBL Flip 3 Splashproof Wireless Portable Speaker,9892,https://www.snapdeal.com/product/jbl-flip-3-portable-bluetooth/623670073407#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/a/8/t/230X258_sharpened/JBL-Flip-3-Portable-Bluetooth-SDL805959214-5-da735.jpg
4,HP S6500  Mini Bluetooth Speakers - Black,1689,https://www.snapdeal.com/product/hp-s6500-bluetooth-speakers-black/639942642612#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/b/s/2/230X258_sharpened/HP-S6500-Bluetooth-Speakers-Black-SDL354331461-1-fadd1.jpg
5,iBall Musi Cube BT20 Bluetooth Speaker,948,https://www.snapdeal.com/product/iball-musi-cube-bt20-bluetooth/664166332007#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/f/g/5/230X258_sharpened/iBall-Musi-Cube-BT20-Bluetooth-SDL469073489-1-17b13.png
6,Akira Sony Xperia T3 Bluetooth Speaker,699,https://www.snapdeal.com/product/akira-sony-xperia-t3-bluetooth/686586106632#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/e/w/c/230X258_sharpened/Akira-Sony-Xperia-T3-Bluetooth-SDL353148807-1-666cb.jpg
7,Philips SBA3010GRN/00 Sound Shooter Speaker-Green,1249,https://www.snapdeal.com/product/philips-sba3010grn00-sound-shooter-speakergreen/1521243447#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/a/i/t/230X258_sharpened/Philips-SBA3010GRN-00-Sound-Shooter-SDL507017189-1-e270f.jpg
8,PH Artistic LED Smart Bulb Bluetooth Speaker,,http://clk.snapdeal.biz/rtb/clickTracker/0/25987868?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=672724&websiteId=1&position=&trackerId=10.70.96.21:a84b162b-4dec-445d-b457-e8fb8cade53d:1&category=electronics-speakers&supcCat=electronics-bluetooth-speakers&page=clp&accId=10055&siteId=101&sdId=150208231037685263&eId=&dId=&sellerCode=S2808d&supc=SDL328727683&pogId=642865185099&brand=PH+Artistic&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=2700000&pr=1889999&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fph-artistic-leb-smart-bulb%2F642865185099%3FvendorCode%3DS2808d%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL328727683%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/d/p/large/PH-Artistic-LEB-Smart-Bulb-SDL328727683-1-7b688.jpg
9,Intex IT-10500 SUF Plus Tower Speakers - Black and Brown,,http://clk.snapdeal.biz/rtb/clickTracker/0/29768559?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=651638&websiteId=1&position=&trackerId=10.70.96.21:a84b162b-4dec-445d-b457-e8fb8cade53d:2&category=electronics-speakers&supcCat=electronics-tower-speakers&page=clp&accId=52518&siteId=101&sdId=150208231037685263&eId=&dId=&sellerCode=Sf96c3&supc=SDL492605388&pogId=639490851455&brand=Intex&metricsType=CSM&fp=100.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=0&pr=0&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fintex-it10500-suf-plus-floorstanding%2F639490851455%3FvendorCode%3DSf96c3%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL492605388%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/b/x/w/large/Intex-IT-10500-SUF-Plus-SDL492605388-1-dab2f.jpg
10,Estar PadFone X mini Bluetooth Speaker,,http://clk.snapdeal.biz/rtb/clickTracker/0/29011370?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=672888&websiteId=1&position=&trackerId=10.70.96.21:a84b162b-4dec-445d-b457-e8fb8cade53d:3&category=electronics-speakers&supcCat=electronics-bluetooth-speakers&page=clp&accId=25416&siteId=101&sdId=150208231037685263&eId=&dId=&sellerCode=S2b697&supc=SDL109157667&pogId=637593153834&brand=Estar&metricsType=CSM&fp=100.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=0&pr=0&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Festar-padfone-x-mini-bluetooth%2F637593153834%3FvendorCode%3DS2b697%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL109157667%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/r/k/large/Estar-PadFone-X-mini-Bluetooth-SDL109157667-1-351d1.jpg
11,Zoook Rocker Prism Bluetooth Speaker - (7 Colour Changing LED Lights) with TF Card,,http://clk.snapdeal.biz/rtb/clickTracker/0/21989086?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=651638&websiteId=1&position=&trackerId=10.70.96.21:a84b162b-4dec-445d-b457-e8fb8cade53d:4&category=electronics-speakers&supcCat=electronics-bluetooth-speakers&page=clp&accId=52518&siteId=101&sdId=150208231037685263&eId=&dId=&sellerCode=Sf96c3&supc=SDL342773508&pogId=655163103573&brand=Zoook&metricsType=CSM&fp=100.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=0&pr=0&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fzoook-rocker-prism-bluetooth-speaker%2F655163103573%3FvendorCode%3DSf96c3%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL342773508%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/e/c/k/large/Zoook-Rocker-Prism-Bluetooth-Speaker-SDL342773508-1-ce2c4.jpg
12,Portronics Pure Sound Multimedia Speaker,1349,https://www.snapdeal.com/product/portronics-pure-sound-speaker/213586#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/b/x/1/230X258_sharpened/1286064-3af29.jpg
13,Sonilex BS - 113 FM Portable Bluetooth Speaker - Black,695,https://www.snapdeal.com/product/sonilex-bs-113-fm-portable/639893235292#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/d/4/s/230X258_sharpened/Sonilex-BS-113-FM-Portable-SDL595830337-1-d4f06.jpg
14,MI Mini Bluetooth Speaker,1299,https://www.snapdeal.com/product/mi-mini-bluetooth-speaker/683918864959#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/e/4/f/230X258_sharpened/MI-Mini-Bluetooth-Speaker-SDL065376903-1-84bbc.JPG
15,F&D W3 Bluetooth Speaker,1199,https://www.snapdeal.com/product/fd-w3-bluetooth-speaker/646494648977#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/f/4/j/230X258_sharpened/F-D-W3-Bluetooth-Speaker-SDL316520744-1-26bf2.jpg
16,JBL Flip 2 Portable Bluetooth Speaker (New Black Edition),7779,https://www.snapdeal.com/product/jbl-flip-2-portable-bluetooth/671896835995#bcrumbLabelId:631,none,https://n1.sdlcdn.com/imgs/b/3/y/230X258_sharpened/143513_91DDcJa_QBL_M_1_3x-98967.jpg
