ID,Name,Price,Link,ModelNumber,Images
0,Weston WEL3200S 80 cm (32) HD Ready SMART LED Television,16490,https://www.snapdeal.com/product/weston-wel3200b-81-cm-32/637647327302#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/d/n/230X258_sharpened/637647327302_1-713e1.jpg
1,Samsung UA 32FH4003 R 80 cm (32) HD Ready LED Television,19399,https://www.snapdeal.com/product/samsung-32fh4003-81-cm-32/684565649387#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/h/7/230X258_sharpened/Samsung-UA-32FH4003-R-81-SDL656490386-1-7a5eb.jpg
2,Activa 32D60 80 cm ( 32 ) Full HD (FHD) LED Television,11990,https://www.snapdeal.com/product/activa-sd75led3i6-80-cm-315/618953333749#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/5/j/230X258_sharpened/SDL32576473_2_-97c35.jpg
3,Micromax 32AIPS900HD_I 81.28 cm ( 32 ) HD Ready (HDR) LED Television,15554,https://www.snapdeal.com/product/micromax-32aips900hdi-8128-cm-32/670260810489#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/8/l/230X258_sharpened/Micromax-32AIPS900HD-I-81-28-SDL958131233-1-1bdc8.jpg
4,Sony KLV-32R302E 80 cm ( 32 ) HD Ready (HDR) LED Television,25103,https://www.snapdeal.com/product/sony-klv32r302e-80-cm-32/624565633628#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/t/2/230X258_sharpened/Sony-KLV-32R302E-80-cm-SDL407367746-1-42b83.jpg
5,Weston WEL-4000S 101 cm ( 40 ) Smart Full HD (FHD) LED Television,24990,https://www.snapdeal.com/product/weston-wel4000s-101-cm-40/647118025522#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/y/7/230X258_sharpened/647118025522-2b4e7.jpg
6,Intex LED-2208 FHD 55 cm ( 22 ) Full HD (FHD) LED Television,10800,https://www.snapdeal.com/product/intex-led2208-fhd-55-cm/663650645730#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/4/k/230X258_sharpened/Intex-LED-2208-FHD-55-SDL187549689-1-ecdb9.jpg
7,Samsung UA 24H4003 AR 59 cm (24) HD Ready LED Television,12499,https://www.snapdeal.com/product/samsung-24h4003-24-inches-hd/146399905#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/a/l/c/230X258_sharpened/Samsung-24H4003-24-Inches-HD-SDL822350027-1-48ad8.jpg
8,Micromax 20B22HD-TP / 20B22HD-A 50 cm (20) HD Ready LED Television,,http://clk.snapdeal.biz/rtb/clickTracker/0/27714049?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=681181&websiteId=1&position=&trackerId=10.70.96.26:254a6af9-453a-4ba9-b2cb-254744f9df22:1&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=41144&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S264d5&supc=SDL636796165&pogId=1988760252&brand=Micromax&metricsType=CPC&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fmicromax-20b22hdv-20-inches-hd%2F1988760252%3FvendorCode%3DS264d5%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL636796165%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/a/n/f/large/Micromax-20B22HD-V-20-Inches-SDL636796165-1-d8971.jpg
9,Micromax 43Z7550FHD 108 cm ( 43 ) Full HD (FHD) LED Television,,http://clk.snapdeal.biz/rtb/clickTracker/0/29278408?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=681181&websiteId=1&position=&trackerId=10.70.96.26:254a6af9-453a-4ba9-b2cb-254744f9df22:2&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=41144&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S264d5&supc=SDL861069402&pogId=685210245041&brand=Micromax&metricsType=CPC&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fmicromax-43z7550fhd-108-cm-43%2F685210245041%3FvendorCode%3DS264d5%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL861069402%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/3/t/large/Micromax-43Z7550FHD-108-cm-43-SDL861069402-1-f2533.jpg
10,Micromax 50Z7550FHD/50Z5130FHD 127 cm ( 50 ) Full HD LED Television With 1+2 Year Extended Warranty,,http://clk.snapdeal.biz/rtb/clickTracker/0/28905375?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=681181&websiteId=1&position=&trackerId=10.70.96.26:254a6af9-453a-4ba9-b2cb-254744f9df22:3&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=41144&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S264d5&supc=SDL873368117&pogId=665150412082&brand=Micromax&metricsType=CPC&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fmicromax-50z3600fhd-127-cm-50%2F665150412082%3FvendorCode%3DS264d5%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL873368117%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/e/t/9/large/SDL873368117_1-83041.jpg
11,Nacson NS2616 60 cm ( 24 ) HD Ready (HDR) LED Television With 1+2 Year Extended Warranty,,http://clk.snapdeal.biz/rtb/clickTracker/0/27892053?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=678100&websiteId=1&position=&trackerId=10.70.96.26:254a6af9-453a-4ba9-b2cb-254744f9df22:4&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=13149&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S61e80&supc=SDL668589089&pogId=684446357870&brand=Nacson&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fnacson-ns2616-61-cm-24%2F684446357870%3FvendorCode%3DS61e80%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL668589089%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/s/a/large/Nacson-NS2616-60-cm-24-SDL668589089-1-93fc9.jpg
12,Micromax 40Z9999HD / 40Z1206HD 98 cm ( 39 ) HD Ready (HDR) LED Television,23490,https://www.snapdeal.com/product/micromax-40z9999hd-100-cm-39/627557651239#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/3/t/230X258_sharpened/Micromax-40Z9999HD-100-cm-39-SDL419625989-1-a0216.jpg
13,Weston WEL-5100 122 cm ( 48 ) Smart Full HD (FHD) LED Television,31990,https://www.snapdeal.com/product/weston-wel5100-122-cm-48/654184549681#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/y/7/230X258_sharpened/654184549681-61a39.jpg
14,Wybor W22-55-DAS 55 cm (22)  Full HD LED Television,8690,https://www.snapdeal.com/product/wybor-w2255das-55-cm-22/634152492389#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/b/f/e/230X258_sharpened/wybor-W22-55-DAS-55-SDL326205420-1-77ea6.jpg
15,Micromax 32T8260HD/32GRAND_i/32GRAND_r/32T8280HD 81 cm (32) HD Ready LED Television With 1+2 Year Extended Warranty,15013,https://www.snapdeal.com/product/micromax-32t6175hd-8128-cm-32/654872041826#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/u/9/230X258_sharpened/SDL1708665218_1-9284c.jpg
16,Samsung 24K4100 59 cm  HD Ready (HDR) LED Television,12667,https://www.snapdeal.com/product/samsung-24k4100-59-cm-24/631655585656#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/o/f/230X258_sharpened/24K4100_M_1_3x-432ee.jpg
17,Sony KLV-40R352E 102 cm ( 40 ) Full HD (FHD) LED Television,45600,https://www.snapdeal.com/product/sony-klv40r352e-102-cm-40/630507002415#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/t/2/230X258_sharpened/Sony-KLV-40R352E-102-cm-SDL933528598-1-778ee.jpg
18,Weston WEL-3200 80 cm (32) HD Ready LED TV,12990,https://www.snapdeal.com/product/weston-led-smart-tv-32/1875404081#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/l/p/230X258_sharpened/weston-e2af4.jpg
19,Activa 6003 80 cm ( 32 ) FULL HD (FHD) LED Television,12490,https://www.snapdeal.com/product/activa-al32l22-80-cm-32/651406370209#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/b/r/230X258_sharpened/SDL006453173_1-a60a9.jpg
20,Sony Bravia KLV-24P413D 59.9 cm (24) WXGA LED Television,14590,https://www.snapdeal.com/product/sony-bravia-klv24p413d-60-cm/636480746986#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/b/d/e/230X258_sharpened/Sony-Bravia-KLV-24P413D-60-SDL778226353-1-3cc4f.jpg
21,Weston WEL-2400 59 cm (24) HD LED TV,8790,https://www.snapdeal.com/product/weston-led-smart-tv-24/1827537440#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/4/0/230X258_sharpened/SDL952957995_1-83a1e.jpg
22,Samsung UA55J5500 138 cm ( 55 ) Full HD (FHD) LED Television,86999,https://www.snapdeal.com/product/samsung-ua55j5500-138-cm-55/680063199644#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/e/n/j/230X258_sharpened/Samsung-UA55J5500-138-cm-55-SDL241220537-1-605d3.jpg
23,Micromax 43Z7550FHD 108 cm ( 43 ) Full HD (FHD) LED Television,29990,https://www.snapdeal.com/product/micromax-43z7550fhd-108-cm-43/685210245041#bcrumbLabelId:64,none,https://n4.sdlcdn.com/imgs/f/3/t/230X258_sharpened/Micromax-43Z7550FHD-108-cm-43-SDL861069402-1-f2533.jpg
24,ITH ith 32 80 cm ( 32 ) Full HD (FHD) LED Television,12499,https://www.snapdeal.com/product/ith-ith-32-led-television/622672858701,none,
25,Yug V87 55 cm (22) LCD Television,6490,https://www.snapdeal.com/product/yug-55-cm-22-v87/622577005854,none,
26,Wybor 65WUS-01 165 cm ( 65 ) Smart Ultra HD (4K) LED Television With 1+2 Year Extended Warranty,110000,https://www.snapdeal.com/product/wybor-65wus01-165-cm-65/653230651124,none,
27,Onida LEO32HB 81 cm ( 32 ) HD Ready (HDR) LED Television,17999,https://www.snapdeal.com/product/onida-leo32hb-81-cm-32/640158501439,none,
28,Micromax 32 Canvas-s 81 cm ( 32 ) HD Ready (HDR) LED Television With 1+2 Year Extended Warranty,,http://clk.snapdeal.biz/rtb/clickTracker/0/28905374?slotId=19&slotName=sd-cr-198X232-2-7&campaignId=681181&websiteId=1&position=&trackerId=10.70.96.26:7c302c26-78ca-4e71-a919-e066cf1f3261:1&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=41144&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S264d5&supc=SDL797687478&pogId=684784737079&brand=Micromax&metricsType=CPC&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fmicromax-32-canvass-81-cm%2F684784737079%3FvendorCode%3DS264d5%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL797687478%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/c/3/4/large/Micromax-32-Canvas-s-81-SDL797687478-1-66c6c.jpeg
29,Nacson NS4215smart 102 cm ( 40 ) Smart Full HD (FHD) LED Television With 1+2 Year Extended Warranty,,http://clk.snapdeal.biz/rtb/clickTracker/0/27892057?slotId=19&slotName=sd-cr-198X232-2-7&campaignId=678100&websiteId=1&position=&trackerId=10.70.96.26:7c302c26-78ca-4e71-a919-e066cf1f3261:2&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=13149&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S61e80&supc=SDL137274427&pogId=670762508306&brand=Nacson&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fnacson-ns4215smart-99-cm-39%2F670762508306%3FvendorCode%3DS61e80%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL137274427%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/c/w/x/large/Nacson-NS4215smart-102cm-40-Smart-SDL137274427-1-f1ee8.JPG
30,Yug V87 55 cm (22) LCD Television,,http://clk.snapdeal.biz/rtb/clickTracker/0/25972905?slotId=19&slotName=sd-cr-198X232-2-7&campaignId=672584&websiteId=1&position=&trackerId=10.70.96.26:7c302c26-78ca-4e71-a919-e066cf1f3261:3&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=48144&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S8441b&supc=SDL764725053&pogId=622577005854&brand=YUG&metricsType=CPC&fp=0.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=5200000&pr=3640000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fyug-55-cm-22-v87%2F622577005854%3FvendorCode%3DS8441b%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL764725053%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/c/5/c/large/1-4cb69.jpg
31,Micromax 40Z9999HD / 40Z1206HD 98 cm ( 39 ) HD Ready (HDR) LED Television,,http://clk.snapdeal.biz/rtb/clickTracker/0/29278407?slotId=19&slotName=sd-cr-198X232-2-7&campaignId=681181&websiteId=1&position=&trackerId=10.70.96.26:7c302c26-78ca-4e71-a919-e066cf1f3261:4&category=electronic-tv-accessories&supcCat=electronic-tv-accessories&page=clp&accId=41144&siteId=101&sdId=150191670767529616&eId=&dId=&sellerCode=S264d5&supc=SDL419625989&pogId=627557651239&brand=Micromax&metricsType=CPC&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=3400000&pr=2380000&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fmicromax-40z9999hd-100-cm-39%2F627557651239%3FvendorCode%3DS264d5%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL419625989%26isSellerPage%3Dtrue,none,//n1.sdlcdn.com/imgs/f/3/t/large/Micromax-40Z9999HD-100-cm-39-SDL419625989-1-a0216.jpg
32,Wybor F1-W32N06 80 cm (32) HD Ready LED Television,12990,https://www.snapdeal.com/product/wybor-w32-n06-80cm-hd/676305819256,none,
33,Sony KLV-40W672E 102 cm ( 40 ) Full HD (FHD) LED Television,49990,https://www.snapdeal.com/product/sony-klv40w672e-102-cm-40/649132621982,none,
34,WLD HD32DL400Xi 80 CM (32) HD Ready LED Television,11990,https://www.snapdeal.com/product/wld-hd32dl400xi-80-cm-315/656759763829,none,
35,Sony BRAVIA KLV-32R302D/E 80 cm (32) HD Ready LED Television,24999,https://www.snapdeal.com/product/sony-bravia-klv-32R302d-hd-ready-led-tv/675995711308,none,
36,Nacson NS2616 60 cm ( 24 ) HD Ready (HDR) LED Television With 1+2 Year Extended Warranty,9190,https://www.snapdeal.com/product/nacson-ns2616-61-cm-24/684446357870,none,
37,Haier LE42B9000 106 cm ( 42 ) Full HD (FHD) LED Television,27390,https://www.snapdeal.com/product/haier-le42b9000-106-cm-42/624988511785,none,
38,Intex 3201 Smart 80 cm ( 32 ) HD Ready (HDR) LED Television,22499,https://www.snapdeal.com/product/intex-3201-smt-80-cm/652141993485,none,
39,Sony KLV-32W622E 80 cm ( 32 ) HD Ready (HDR) LED Television,33350,https://www.snapdeal.com/product/sony-klv32w622e-80-cm-32/621607644920,none,
40,Wybor W2460 N06 60cm (24) HD LED Television,9190,https://www.snapdeal.com/product/wybor-w2460n06-60cm-full-hd/627484425947,none,
41,Sony Sony 43X8200E 108 cm ( 43 ) Smart Ultra HD (4K) LED Television,83990,https://www.snapdeal.com/product/sony-sony-43x8200e-108-cm/666838932549,none,
42,Samsung UA 32J4100 ARMXL 80 cm (32) HD Ready LED Television,21399,https://www.snapdeal.com/product/samsung-32j4100-81-cm-32/622782960182,none,
43,Daiwa D-32D4GL 80 cm ( 32 ) HD Ready (HDR) LED Television,13390,https://www.snapdeal.com/product/daiwa-d32d4gl-80-cm-32/629800612568,none,
44,Activa 6003 98 cm ( 40 ) Full HD (FHD) LED Television,19460,https://www.snapdeal.com/product/activa-6003-98-cm-40/621264382327,none,https://n4.sdlcdn.com/imgs/f/j/q/230X258_sharpened/Activa-6003-98-cm-40-SDL047538599-1-6f232.webp
45,Micromax 32 Canvas-s 81 cm ( 32 ) HD Ready (HDR) LED Television With 1+2 Year Extended Warranty,20500,https://www.snapdeal.com/product/micromax-32-canvass-81-cm/684784737079,none,https://n4.sdlcdn.com/imgs/c/3/4/230X258_sharpened/Micromax-32-Canvas-s-81-SDL797687478-1-66c6c.jpeg
46,Philips 22PFL3758 55 cm (22) Full HD LED Television,11314,https://www.snapdeal.com/product/philips-22pfl3758-22-inches-full/450660335,none,https://n4.sdlcdn.com/imgs/a/l/b/230X258_sharpened/Philips-22PFL3758-22-Inches-Full-SDL328501802-1-abb98.webp
47,Samsung 40K5000 100 cm (40) Full HD (FHD) LED Television,36400,https://www.snapdeal.com/product/samsung-k5000-100-cm-40/640694907325,none,https://n4.sdlcdn.com/imgs/d/m/h/230X258_sharpened/Samsung-K5000-100-cm-40-SDL186550243-1-da014.webp
48,Sony KLV-49W672E 123 cm ( 49 ) Full HD (FHD) LED Television,68490,https://www.snapdeal.com/product/sony-klv49w672e-123-cm-49/641418156595,none,https://n4.sdlcdn.com/imgs/f/t/3/230X258_sharpened/Sony-KLV-49W672E-123-cm-SDL377134186-1-e6b3b.webp
49,Wybor 40MS16SM/15SM 102 cm ( 40 ) Smart Full HD (FHD) LED Television,24990,https://www.snapdeal.com/product/wybor-40ms16sm-102-cm-40/678802762730,none,https://n4.sdlcdn.com/imgs/c/l/5/230X258_sharpened/Wybor-40MS16SM-102-cm-40-SDL610076444-1-87f32.webp
