ID,Name,Price,Link,ModelNumber,Images
0,I Kall N4 White ( 4G + Wifi Voice calling ),5299,https://www.snapdeal.com/product/i-kall-n4-white-4g/619552471485#bcrumbLabelId:133,N4 ,https://n4.sdlcdn.com/imgs/c/n/o/230X258_sharpened/I-Kall-N4-White-4G-SDL623237654-1-93936.jpg
1,"iBall Brisk 4G2 Blue ( 4G + Wifi , 3GB Ram ,Voice calling )",8995,https://www.snapdeal.com/product/iball-brisk-4g2-blue-4g/656746845633#bcrumbLabelId:133,Brisk 4G2 ,https://n4.sdlcdn.com/imgs/e/y/q/230X258_sharpened/iBall-Brisk-4G2-Blue-4G-SDL647848728-1-28e53.jpg
2,UNIC N1 White ( 3G + Wifi Voice calling ),2999,https://www.snapdeal.com/product/unic-n1-white-3g-wifi/639175600427#bcrumbLabelId:133,N1 ,https://n4.sdlcdn.com/imgs/c/m/x/230X258_sharpened/UNIC-N1-White-3G-Wifi-SDL480777511-1-c5a5f.jpg
3,I Kall IK 1 4GB 3G Calling White,3899,https://www.snapdeal.com/product/i-kall-ik-1-4gb/671258890961#bcrumbLabelId:133,IK 1 ,https://n4.sdlcdn.com/imgs/b/x/w/230X258_sharpened/I-Kall-IK-1-4GB-SDL398008053-1-e4079.jpg
4,"I Kall IK 1 (3G + Wifi, 3G Calling, White)",3699,https://www.snapdeal.com/product/i-kall-ik-1-4gb/686377004976#bcrumbLabelId:133,IK 1 ,https://n4.sdlcdn.com/imgs/b/x/w/230X258_sharpened/I-Kall-IK-1-4GB-SDL397810268-1-3f0f5.jpg
5,UNIC N3 Big Speaker & Cover White ( 3G + Wifi Voice calling ),3999,https://www.snapdeal.com/product/unic-n3-big-speaker-cover/687072985546#bcrumbLabelId:133,N3 Big Speaker & Cover ,https://n4.sdlcdn.com/imgs/c/n/o/230X258_sharpened/UNIC-N3-Big-Speaker-Cover-SDL347548015-1-560da.jpg
6,"Samsung Tab 3V (3G + Wifi, Calling, Cream White)",8590,https://www.snapdeal.com/product/samsung-t116-8gb-3g-calling/651155377909#bcrumbLabelId:133,Galaxy Tab 3 V T116 ,https://n4.sdlcdn.com/imgs/a/0/v/230X258_sharpened/Samsung-T116-8GB-3G-Calling-SDL359335962-1-76e9d.jpg
7,"UNI N2 (3G + Wifi, Calling, White)",3699,https://www.snapdeal.com/product/uni-uni-n2-white-4gb/642212247828#bcrumbLabelId:133,N2 ,https://n4.sdlcdn.com/imgs/b/d/s/230X258_sharpened/N2_1_M_1_2x-567d9.jpg
8,UNIC N3 Big Speaker & Cover White ( 3G + Wifi Voice calling ),,http://clk.snapdeal.biz/rtb/clickTracker/0/26440976?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=493844&websiteId=1&position=&trackerId=10.70.96.17:a88d8359-3278-4e8e-bb46-8300d6160a5c:1&category=mobiles-tablets&supcCat=mobiles-tablets&page=clp&accId=41671&siteId=101&sdId=150144674714471284&eId=&dId=&sellerCode=Sdb4fd&supc=SDL347548015&pogId=687072985546&brand=UNIC&metricsType=CSM&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=0&pr=0&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Funic-n3-big-speaker-cover%2F687072985546%3FvendorCode%3DSdb4fd%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL347548015%26isSellerPage%3Dtrue,N3 Big Speaker & Cover ,//n1.sdlcdn.com/imgs/c/n/o/large/UNIC-N3-Big-Speaker-Cover-SDL347548015-1-560da.jpg
9,I Kall N3 White ( 3G + Wifi Voice calling ),,http://clk.snapdeal.biz/rtb/clickTracker/0/27718676?slotId=19&slotName=sd-cr-198X232-1-3&campaignId=493844&websiteId=1&position=&trackerId=10.70.96.17:a88d8359-3278-4e8e-bb46-8300d6160a5c:2&category=mobiles-tablets&supcCat=mobiles-tablets&page=clp&accId=41671&siteId=101&sdId=150144674714471284&eId=&dId=&sellerCode=Sdb4fd&supc=SDL933622852&pogId=657995278320&brand=I+Kall&metricsType=CSM&fp=1.0&type=product&acos=0.0&exp=SSF&refTag=search_ad&as=0&pr=0&ct=http%3A%2F%2Fwww.snapdeal.com%2Fproduct%2Fi-kall-n3-white-3g%2F657995278320%3FvendorCode%3DSdb4fd%26pa%3Dtrue%26fv%3Dtrue%26supc%3DSDL933622852%26isSellerPage%3Dtrue,N3 ,//n1.sdlcdn.com/imgs/c/m/x/large/I-Kall-N3-White-3G-SDL933622852-1-12bab.jpg
