ID,Name,Price,Link,ModelNumber,Images
0,Olympus V207040BU000 OMD E-M5 Mark II 16MP CMOS Digital Camera - Black Body,"$1,099.99",http://www.thesource.ca/en-ca/cameras-and-camcorders/mirrorless-cameras/bodies/olympus-v207040bu000-omd-e-m5-mark-ii-16mp-cmos-digital-camera---black-body/p/108032998,V207040BU000,http://www.thesource.ca/medias/8032998-A-mediaConversion-original-2-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMzY5MnxpbWFnZS9qcGVnfGltYWdlcy9oY2UvaDViLzg4MjUzNzExOTc0NzAuanBnfGVkYzc4Y2FmNjFlNTQxNzE3MWUyMjk3NzBhMDBhNTZlM2E5YWY4YzAwMzg0ZDkzOGEyYWYzNmQyYmEzYjI1MDQ
1,Olympus V207040SU000 OMD E-M5 Mark II 16MP CMOS Digital Camera - Silver Body,$899.99,http://www.thesource.ca/en-ca/cameras-and-camcorders/mirrorless-cameras/bodies/olympus-v207040su000-omd-e-m5-mark-ii-16mp-cmos-digital-camera---silver-body/p/108033000,V207040SU000,http://www.thesource.ca/medias/8033000-A-mediaConversion-original-2-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNjIyOXxpbWFnZS9qcGVnfGltYWdlcy9oOWEvaGQyLzg4MjUzNzEwOTkxNjYuanBnfDMwZTk4MGExZWJkOWY1MjcxOGYxZmI3MjJhM2Q2OGU4Y2NkZTRiYTViZjVmNGJjMWE5NjM0ZWQ2Nzc3YmFkNmU
2,Olympus PEN-F Mirrorless Digital Camera Body Only -  Silver,"$1,499.99",http://www.thesource.ca/en-ca/cameras-and-camcorders/mirrorless-cameras/bodies/olympus-pen-f-mirrorless-digital-camera-body-only---silver/p/108061196,V204060SU000,http://www.thesource.ca/medias/20160929083625-108061196-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5NDc0fGltYWdlL2pwZWd8aW1hZ2VzL2gzMS9oMTEvODg5NDM5NTcxMTUxOC5qcGd8NWVmNjYyOWRlNDZiZjg4ODBiMDAwNjRmYWY0OGZjNmNhYzc4Y2JmMjUxMWE1YTk3ZWY4YjZlZDJmODQyOWI2ZA
3,Olympus PEN-F Mirrorless Digital Camera Body Only - Black,"$1,499.99",http://www.thesource.ca/en-ca/cameras-and-camcorders/mirrorless-cameras/bodies/olympus-pen-f-mirrorless-digital-camera-body-only---black/p/108061195,V204060BU000,http://www.thesource.ca/medias/20160929083625-108061195-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w5MjMyfGltYWdlL2pwZWd8aW1hZ2VzL2hjYy9oOTIvODg5NDM5NTQ0OTM3NC5qcGd8NTMxN2Y5N2VlODg1ODE2YjcyNGIzMjIzYzUyNmNlM2U3YzAyZjFmYzllZjYyMDhiOTk5NTkxZDljMDFjZDk4Yw
4,Nikon D5300 24.2MP DSLR Camera - Body Only - Black,$719.99,http://www.thesource.ca/en-ca/cameras-and-camcorders/digital-slr-cameras/dslr-bodies/nikon-d5300-24-2mp-dslr-camera---body-only---black/p/108036580,42703Y,http://www.thesource.ca/medias/8036580-A-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyODY0MXxpbWFnZS9qcGVnfGltYWdlcy9oOGYvaDg2Lzg4MjY1ODYzNjU5ODIuanBnfDU4YWE1ZmUwYmI5NDA2MDVhMDdmOTdlYjdmOWYxMWE4MWVlNGVlNDZmNWQxNmQ3NzIwODU5MWVhZjRmMmU0Njg
5,Canon 8595B002 EOS Rebel T5i 18MP DSLR Camera - Body Only,$510.96,http://www.thesource.ca/en-ca/cameras-and-camcorders/digital-slr-cameras/dslr-bodies/canon-8595b002-eos-rebel-t5i-18mp-dslr-camera---body-only/p/108012388,8595B002,http://www.thesource.ca/medias/8012388-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w0MTEzNnxpbWFnZS9qcGVnfGltYWdlcy9oNTQvaDcwLzg4MjgyNDkwNDcwNzAuanBnfGMyNTJlOTUyNGViMWI0NTM3MWNiZWQwMzViOGQyYTA4ODQ4YTk5ZDE4NzQ4MGYxNzdlNGE1M2NkMDkzNDU3ZGI
6,Nikon D7100 24.1MP DSLR Camera (Body Only),$650.96,http://www.thesource.ca/en-ca/cameras-and-camcorders/digital-slr-cameras/dslr-bodies/nikon-d7100-24-1mp-dslr-camera-%28body-only%29/p/108009697,33869,http://www.thesource.ca/medias/8009697-A-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNjUwN3xpbWFnZS9qcGVnfGltYWdlcy9oZDEvaGEyLzg4MjczMzMzNzgwNzguanBnfGI2NWQ4ZDcyM2M3ZjAyYjJjNmFkNDkxOTM5YjQ0MGY1NjYxMTFhM2U4ZDY1MzIwMmNhZTYyNjQ0NzYzNWI5YmY
7,Canon EOS Rebel T7i 24.2MP DSLR Camera with EF-S 18-55mm f/4-5.6 IS STM Lens - Black,"$1,049.99",http://www.thesource.ca/en-ca/cameras-and-camcorders/digital-slr-cameras/dslr-bundles/canon-eos-rebel-t7i-24-2mp-dslr-camera-with-ef-s-18-55mm-f-4-5-6-is-stm-lens---black/p/108071107,1894C002,http://www.thesource.ca/medias/20170920135143-108071107-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMjYzNHxpbWFnZS9qcGVnfGltYWdlcy9oMjkvaDlmLzkwMDQ3NTAwMTI0NDYuanBnfGMyYzI1OWJmMmYxOTkyNmQ2NTFjZGRlNGFjOTM2Mzg5NWM3YTg3MmU4YjQyYjQzYjJhMjg0ZmY2ODBmNGNhNDg
8,Canon EOS Rebel T6 18MP DSLR with EF-S 18-55MM f/3.5-5.6 IS II Lens Kit - Black,$599.99,http://www.thesource.ca/en-ca/cameras-and-camcorders/digital-slr-cameras/dslr-bundles/canon-eos-rebel-t6-18mp-dslr-with-ef-s-18-55mm-f-3-5-5-6-is-ii-lens-kit---black/p/108060945,1159C003,http://www.thesource.ca/medias/20160908141939-108060945-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w4OTE3fGltYWdlL2pwZWd8aW1hZ2VzL2g1ZC9oNTcvODg4ODQyODIzMjczNC5qcGd8NTQ3NmQ2MTQ3M2I3NzhmNjkwMWViMjE3OTMwNDE4MzA5NGRlMGNhODdlNDFiYTkzNzk4ZjVjMjFmMDRlN2I2Yw
9,Canon Rebel T6i 24.2MP DSLR Camera with EF-S 18-55mm f/3.5-5.6 IS STM lens - Black,$869.99,http://www.thesource.ca/en-ca/cameras-and-camcorders/digital-slr-cameras/dslr-bundles/canon-rebel-t6i-24-2mp-dslr-camera-with-ef-s-18-55mm-f-3-5-5-6-is-stm-lens---black/p/108033995,0591C004,http://www.thesource.ca/medias/8033995-A-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNDgzNXxpbWFnZS9qcGVnfGltYWdlcy9oZDUvaGZiLzg4MjY4ODc5NjI2NTQuanBnfGZiMzlkN2JmNDVlOTU0YjhlNTY2NGYwMGJmMDMxZGM3N2VlZWE3NjFlZjljNzYzNzY4MjQ3MmYzM2QxNjIyZTI
