ID,Name,Price,Link,ModelNumber,Images
0,"Acer Aspire T ATC-115-ERA2 Tower Desktop with AMD A6-6310, 1TB HDD, 4GB RAM & Windows 8.1 with Bing - Refurbished",$219.98,http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/acer-aspire-t-atc-115-era2-tower-desktop-with-amd-a6-6310%2c-1tb-hdd%2c-4gb-ram-and-windows-8-1-with-bing---refurbished/p/108043625,ATC-115-ERA2,http://www.thesource.ca/medias/8035440-A2.jpg?context=bWFzdGVyfGltYWdlc3wyMzMxMnxpbWFnZS9qcGVnfGltYWdlcy9oY2YvaGFmLzg4NDk2NTI4NDI1MjYuanBnfDE5OTkxNmQwYjk1MjEzYWQ5ZjI2MzcxNjZkMGEzOGQ3ZThlYmQxZmFjYTNjM2VlZDRmNDY0OTBiMTkzM2UzNTk
1,"Acer Aspire AXC-217-ER61 Desktop with AMD A6-7310, 1TB HDD, 4GB RAM & Windows 10 - Open Box",$339.96,http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/acer-aspire-axc-217-er61-desktop-with-amd-a6-7310%2c-1tb-hdd%2c-4gb-ram-and-windows-10---open-box/p/108064046,AXC-217-ER61,http://www.thesource.ca/medias/8044910l-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMTY3NHxpbWFnZS9qcGVnfGltYWdlcy9oYzkvaDAwLzg4Mzg0MTY2Mjk3OTAuanBnfGQ1NzBiYjU4Njc0ZmNiY2U4YzJlYzk4MjVkNGRmMjE3OTc5NzA4ZThkZjNjN2QwNDQ1MWIzNDQ4OGY3NDUxNjQ
2,"Lenovo ThinkCentre M90 Desktop PC with Intel® i5-650, 500GB HDD, 4GB RAM & Windows 7 Professional - English - Refurbished",$344.99,http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/lenovo-thinkcentre-m90-desktop-pc-with-intel%c2%ae-i5-650%2c-500gb-hdd%2c-4gb-ram-and-windows-7-professional---english---refurbished/p/108038355,M90,http://www.thesource.ca/medias/8038355-A-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMDM1M3xpbWFnZS9qcGVnfGltYWdlcy9oYTUvaDFhLzg4MjYyNzQxODUyNDYuanBnfGIyNWM5ZmEwZjlmM2Y1NGE0MDViMjg3OWE4YWU5NGZhYjcxOTk2YmYxM2QzMjk5NWMyOWVmYjBjY2YzYWJjOGM
3," HP Z240 L9K12UT#ABA Desktop with Intel® Xeon® E3-1270v5, 512GB SSD, 16GB RAM & Windows 7","$2,399.99",http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/-hp-z240-l9k12ut%23aba-desktop-with-intel%c2%ae-xeon%c2%ae-e3-1270v5%2c-512gb-ssd%2c-16gb-ram-and-windows-7/p/108060056,L9K12UT#ABA,http://www.thesource.ca/medias/20160817142651-108060056-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMTk3fGltYWdlL2pwZWd8aW1hZ2VzL2gwNy9oZjUvODg4MjM0NTQ3NjEyNi5qcGd8MWI3MjY0OWZjMDYwYmFlYzAwZDE2Y2M0ZGRkZTk1ZTA3NjY1ZjBmOWI4ZGM4ODMzN2U3OGFkNDhkNmVlZWRkNw
4,"HP Z240 L9K19UT#ABA Desktop with Intel® Core i7-6700, 1TB HDD, 8GB RAM & Windows 7","$1,319.99",http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/hp-z240-l9k19ut%23aba-desktop-with-intel%c2%ae-core%e2%84%a2-i7-6700%2c-1tb-hdd%2c-8gb-ram-and-windows-7/p/108060048,L9K19UT#ABA,http://www.thesource.ca/medias/20160817142651-108060048-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w0MDU5fGltYWdlL2pwZWd8aW1hZ2VzL2g5NC9oNmMvODg4MjMzOTE4NDY3MC5qcGd8YzlhMWVjMTllOTgwMzUzNjMyOWIzMTkzYmYzN2RlZDNkMGRiYjRiNDg3NTI5YTEwZWM2NDNlZWFjMjhhZmIyZA
5,"HP Z240 L9K20UT#ABA Desktop with Intel® Core i7-6700, 256 GB SSD, 16GB RAM & Windows 7","$1,739.99",http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/hp-z240-l9k20ut%23aba-desktop-with-intel%c2%ae-core%e2%84%a2-i7-6700%2c-256-gb-ssd%2c-16gb-ram-and-windows-7/p/108060054,L9K20UT#ABA,http://www.thesource.ca/medias/20160817142651-108060054-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNjk0fGltYWdlL2pwZWd8aW1hZ2VzL2g0MS9oMmUvODg4MjM0MzkwMzI2Mi5qcGd8ODhiNzRjYzZmNjE1OTFkYjgxMGI2MzJlYmE0ZDU2MDA5NjIwOTc2NTZlMDljNWFhMzFmNDRlMzU3NzQ5MTU0Zg
6," HP Z240 L9K17UT#ABA Desktop withIntel® Xeon® E3-1240v5, 256GB SSD, 16GB RAM & Windows 7","$1,879.99",http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/-hp-z240-l9k17ut%23aba-desktop-withintel%c2%ae-xeon%c2%ae-e3-1240v5%2c-256gb-ssd%2c-16gb-ram-and-windows-7/p/108060055,L9K17UT#ABA,http://www.thesource.ca/medias/20160817142651-108060055-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMzUzfGltYWdlL2pwZWd8aW1hZ2VzL2gzMS9oOGQvODg4MjM0NDY4OTY5NC5qcGd8YWVkYWRiOGQxZTI3MjYzM2VmM2QzMzlmZTMwZWYxZjkzYjNkNGFmOTkwMTQ1NzJiY2RhZmQzMDkzMTMwNTBiNA
7,"HP Z240 L9K23UT#ABA Desktop with Intel® Core i7-6700, 1TB HDD, 8GB RAM & Windows 7","$1,289.99",http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/hp-z240-l9k23ut%23aba-desktop-with-intel%c2%ae-core%e2%84%a2-i7-6700%2c-1tb-hdd%2c-8gb-ram-and-windows-7/p/108060050,L9K23UT#ABA,http://www.thesource.ca/medias/20160817142651-108060050-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNzI2fGltYWdlL2pwZWd8aW1hZ2VzL2gyYS9oZTMvODg4MjM0MDc1NzUzNC5qcGd8NWUzZWU2NmZiOWE3YTFjM2M0ODAxNzgwMTgyMDM1NjA2YmQxZjI3YjBkMzRkM2RlNDJkM2FjMGZjOWFlZTRiMg
8,"HP 8300 Elite SFF Desktop PC with Intel® i7-3770, 500GB HDD,  8GB RAM & Windows 10 - Refurbished",$459.99,http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/hp-8300-elite-sff-desktop-pc-with-intel%c2%ae-i7-3770%2c-500gb-hdd%2c-8gb-ram-and-windows-10---refurbished/p/108069904,8300,http://www.thesource.ca/medias/20170627090553-108069904-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w2MTgwfGltYWdlL2pwZWd8aW1hZ2VzL2g4MS9oMDkvODk4NzM2MjUyNTIxNC5qcGd8ZmI3ZTA4MDE0YjEwMmE2MjdlM2E3NDIwYTdmNmJlN2EwYmE3Y2ZlMjA3YWZkZTJhZmM5MmZlZjQzMjkxZWZlNw
9,"HP Compaq 6200 Desktop PC with Intel® i5-2400, 500GB HDD, 4GB RAM & Windows 10 Pro - Refurbished",$299.99,http://www.thesource.ca/en-ca/computers-and-tablets/desktops/all-desktops/hp-compaq-6200-desktop-pc-with-intel%c2%ae-i5-2400%2c-500gb-hdd%2c-4gb-ram-and-windows-10-pro---refurbished/p/108065244,Compaq 6200,http://www.thesource.ca/medias/20170316150852-108065244-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMDQzNnxpbWFnZS9qcGVnfGltYWdlcy9oMDEvaDlmLzg5NTc5ODM2MjExNTAuanBnfDFiM2Y0MTM2YjFhM2ZiN2U4NmJkOWE0ZTQzODk5NTY1OTM5MDNjZDFlNjkyYjQ4NTk2ODI1MjU4NTNjNjEzNmI
