ID,Name,Price,Link,ModelNumber,Images
0,"Acer Aspire E5-573-58ZF 15.6” Laptop with Intel® i5-4210U, 1TB HDD, 8GB RAM & Windows 10 64-bit - Iron - Refurbished",$489.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/acer-aspire-e5-573-58zf-15-6%e2%80%9d-laptop-with-intel%c2%ae-i5-4210u%2c-1tb-hdd%2c-8gb-ram-and-windows-10-64-bit---iron---refurbished/p/108068421,E5-573-58ZF,http://www.thesource.ca/medias/8042933xl-mediaConversion-original-2-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNTU4MnxpbWFnZS9qcGVnfGltYWdlcy9oNjMvaGJhLzg4MjQwMzk1Mzg3MTguanBnfDgwZWIyNmI3OGIxN2VmNGI5OWU1OGNhZjA2MDVjMTQzYWRlYTc3N2UxODE5MWM4ODUxYjBhZTk4NTYwNjkyNjk
1,"HP Pavilion 15-ay016ca 15.6” Laptop with Intel® N3060, 500GB HDD, 4GB RAM & Windows 10 - Silver - Refurbished",$309.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/hp-pavilion-15-ay016ca-15-6%e2%80%9d-laptop-with-intel%c2%ae-n3060%2c-500gb-hdd%2c-4gb-ram-and-windows-10---silver---refurbished/p/108067056,15-AY016CA,http://www.thesource.ca/medias/base-2119405184720600-108061954-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyMjgwM3xpbWFnZS9qcGVnfGltYWdlcy9oMDcvaDQ4Lzg5MjA5NzY4MTgyMDYuanBnfGI3YzM4N2VmMTYzMDQzM2ZjNWM1OWEzYWZmODg1MTg3NDkzM2I2ZmVlMTRmYmE2YzE5YzQyZmZkNmI3MmQ1ODc
2,"Acer Aspire Switch S1002-12V2 10.1"" 2-in-1 Notebook with Intel® Z3735F, 32GB SSD, 2GB RAM, & Win 10 - Refurbished",$229.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/acer-aspire-switch-s1002-12v2-10-1%22-2-in-1-notebook-with-intel%c2%ae-z3735f%2c-32gb-ssd%2c-2gb-ram%2c-and-win-10---refurbished/p/108055328,S1002-12V2,http://www.thesource.ca/medias/base-1000652789263800-108038158-mediaConversion-original-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w1MzA2N3xpbWFnZS9qcGVnfGltYWdlcy9oOGUvaGJjLzg4NTEzNDYwMzA2MjIuanBnfDAxNDc2MmUwN2EyYzdiMDZiMWI4ZGMxNzVlMGJmMDdhMDVhNjc1OGQ5ODk2NDc2MzliNzk4YjI5MWEyZGFlYmU
3,"Acer Aspire E5-552-T6R6 15.6” laptop with AMD A10-8700P, 1TB HDD, 12GB RAM, & Windows 10 - Grey - Refurbished",$499.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/acer-aspire-e5-552-t6r6-15-6%e2%80%9d-laptop-with-amd-a10-8700p%2c-1tb-hdd%2c-12gb-ram%2c-and-windows-10---grey---refurbished/p/108067491,E5-552-T6R6,http://www.thesource.ca/medias/20170424153445-108067491-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w0MzYxNnxpbWFnZS9qcGVnfGltYWdlcy9oOWUvaGNjLzg5NjkwMTY5OTk5NjYuanBnfDkzY2Y3N2VkNDE4MjllYWM5Njk0NDRiMDBlMjcxNGE3MDM5M2Y0NzIyN2NlNzQxYzRkNGU2NTc3MDM5YjRkOTc
4,"Acer Aspire E5-532-P874 15.6"" Laptop with Intel® N3700, 1TB HDD, 4GB RAM & Windows 10 - Red & Black - Refurbished",$309.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/acer-aspire-e5-532-p874-15-6%22-laptop-with-intel%c2%ae-n3700%2c-1tb-hdd%2c-4gb-ram-and-windows-10---red-and-black---refurbished/p/108045728,E5-532-P874,http://www.thesource.ca/medias/8040070-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w3MTE3OHxpbWFnZS9qcGVnfGltYWdlcy9oYmYvaDZjLzg4MjgxNDcwNzMwNTQuanBnfDc2NThlNTU1ZjhiNGVkYWQzNjRjNDEzNzJkZTYyNzcxYjliMjkwZDdjMWQ0ZDVkMmY5ZGU2YWRlYzAzNWQwOGY
5,"ASUS X552WA-DH41 15.6” Laptop with AMD A4-6210, 500GB HDD, 4GB RAM & Windows 10 64-bit - Refurbished",$299.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/asus-x552wa-dh41-15-6%e2%80%9d-laptop-with-amd-a4-6210%2c-500gb-hdd%2c-4gb-ram-and-windows-10-64-bit---refurbished/p/108065104,X552WA-DH41,http://www.thesource.ca/medias/8050217-A3.jpg?context=bWFzdGVyfGltYWdlc3wyMTIxOHxpbWFnZS9qcGVnfGltYWdlcy9oM2MvaDQwLzg4NjQyMzA3Njg2NzAuanBnfGU1NmJhMTBlMDU5YWE0NGIzY2RiMjFmY2Y2NmI4ZmYxNzRmZmRlZGZmZTdlMDdkYTM3MmRkYjA0YTZiMzg2NTg
6,"Acer Aspire R14 R3-431T-P2F9 14"" Touchscreen Convertible Laptop with Intel® 3556U, 4GB RAM, and 500GB HDD - Iron - Refurbished",$409.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/acer-aspire-r14-r3-431t-p2f9-14%22-touchscreen-convertible-laptop-with-intel%c2%ae-3556u%2c-4gb-ram%2c-and-500gb-hdd---iron---refurbished/p/108068406,R3-431T-P2F9,http://www.thesource.ca/medias/8032041-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzNzIwNHxpbWFnZS9qcGVnfGltYWdlcy9oYmMvaGY4Lzg4Mjc2MzI2MTU0NTQuanBnfGYxMjEzMzljNWY2MzFkNjZiOWJlZGZhZGQxNjlkZmE0MmE5NTdmZWRiZGI2Y2I2ODM5Njg0MWQzMTBhMTM1ODg
7,"Acer Aspire ES1-523-68NA 15.6” Laptop with AMD A6-7310, 1TB HDD, 4GB RAM & Windows 10 - Red - Refurbished",$369.98,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/acer-aspire-es1-523-68na-15-6%e2%80%9d-laptop-with-amd-a6-7310%2c-1tb-hdd%2c-4gb-ram-and-windows-10---red---refurbished/p/108068427,ES1-523-68NA,http://www.thesource.ca/medias/20161019093226-108061475-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxODcwN3xpbWFnZS9qcGVnfGltYWdlcy9oZjUvaGRlLzg4OTk5NTk3MTc5MTguanBnfDE4ZGE2Y2UwN2Q0NGFjYjM1MGY3ZDJiMjdkNTZmMGFlOWU5NzAzMDI3YjUwYTAyMTRlNThmYjc2M2E3YWM0ZWY
8,"ASUS VivoBook X541NA-RS01-CB 15.6” Laptop with Intel® N3350, 500GB HDD, 4GB RAM & Windows 10 - Black & Gold",$349.99,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/asus-vivobook-x541na-rs01-cb-15-6%e2%80%9d-laptop-with-intel%c2%ae-n3350%2c-500gb-hdd%2c-4gb-ram-and-windows-10---black-and-gold/p/108063865,X541NA-RS01-CB,http://www.thesource.ca/medias/20170116094702-108063865-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMjIwMHxpbWFnZS9qcGVnfGltYWdlcy9oNDIvaDQxLzg5Mzk5ODgwNTgxNDIuanBnfDAyYWIwOGExOWI3OWQ5MWMxMDFlOWU3OGY5YzhkYzI3YTJmZTA0YjU3OGExZmZiOTQ3YjdkNGZhZjY0MzZlMzc
9,"ASUS VivoBook E403NA-RS91-CB 14"" Laptop with Intel® N4200, 64GB eMMC, 4GB RAM & Windows 10 - Grey",$379.99,http://www.thesource.ca/en-ca/computers-and-tablets/laptops/all-laptops/asus-vivobook-e403na-rs91-cb-14%22-laptop-with-intel%c2%ae-n4200%2c-64gb-emmc%2c-4gb-ram-and-windows-10---grey/p/108063866,X403NA-RS91-CB,http://www.thesource.ca/medias/20170116101715-108063866-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyNDEwNnxpbWFnZS9qcGVnfGltYWdlcy9oMmUvaDQ2Lzg5Mzk5OTA4NDM0MjIuanBnfDYwOWI3OWFmOGQ1NmUzMGIzZjI4NWUxMjQ1MzQxM2NiNzk3NzAyMzM2MWU2ZDBhMzI2ZjExMzY1MzVlNjAwYjY
