ID,Name,Price,Link,ModelNumber,Images
0,HeadRush Portable Bluetooth® Boombox - Beat Box,$129.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/headrush-portable-bluetooth%c2%ae-boombox---beat-box/p/108016806,IB120,http://www.thesource.ca/medias/8016806-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyODU5MHxpbWFnZS9qcGVnfGltYWdlcy9oODgvaDY3Lzg4Mjg0MTE4Mzg0OTQuanBnfDY5NDUzMzU0YmZlM2I0NTE0ZDM1NWJjYWNlMjc2OGQyMDE3NGFlMjNjMWZhN2FmZTg1YmI3MGIwYTFiMTNmNWQ
1,HeadRush Aluminum Bluetooth Speaker - Blast,$99.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/headrush-aluminum-bluetooth-speaker---blast/p/108016809,BT1130CUS,http://www.thesource.ca/medias/8016809a-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wyODc4MnxpbWFnZS9qcGVnfGltYWdlcy9oZDUvaDM3Lzg4Mjg0MTM2NzM1MDIuanBnfDBlMjMyMWQ0OTgzZGUyM2MxOTk4YjIxZTYwZjZkMTM1ZTY1ODkwYjA1YTdiOTljODI3MzAxMWVjOWZjOWNiNmM
2,Bose Companion 5 Multimedia Speaker System,$449.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/bose-companion-5-multimedia-speaker-system/p/108014920,40326,http://www.thesource.ca/medias/8014920-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxNDA1NDR8aW1hZ2UvanBlZ3xpbWFnZXMvaDJiL2hhNS84ODI4NzA2OTQ3MTAyLmpwZ3xkNTM4NTI1MzM1M2E1YmNmYjVlMGM4MzFlOGFhOWU3MWY4NWMzM2FmYWE4N2JjMzdlMDM4ZGQ4MTE0MjJjZjc2
3,HeadRush Rugged Bluetooth® Speaker with NFC – Small,$23.96,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/headrush-rugged-bluetooth%c2%ae-speaker-with-nfc-%e2%80%93-small/p/108016807,BS1370,http://www.thesource.ca/medias/8016807-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w0MTg2NXxpbWFnZS9qcGVnfGltYWdlcy9oNmIvaDg3Lzg4Mjg0MTMzNDU4MjIuanBnfGE3NDM0ZWQ0MGU5ZGFmZTA4YWM4MjFmYzUzYTliZmRiY2M2ZmE4MDc2YWI4OTk4ZjljOWE5MGFkODExNWQ5ZWY
4,FUGOO Style Portable Wireless Bluetooth Speaker,$209.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/fugoo-style-portable-wireless-bluetooth-speaker/p/108025273,F6STSS01CA,http://www.thesource.ca/medias/8025273-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMDE3NnxpbWFnZS9qcGVnfGltYWdlcy9oZWUvaDcxLzg4Mjc3NTU1NjA5OTAuanBnfDExODAxMWM2MjgxMGY4N2ZmNjQxZTk0YTUwY2YxNWYwMWZkOTEzNWQxMDY3M2UwM2ZjMDZmODM5NDY1M2VlNzY
5,FUGOO Sport Portable Wireless Bluetooth Speaker,$219.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/fugoo-sport-portable-wireless-bluetooth-speaker/p/108025276,F6SPKG01CA,http://www.thesource.ca/medias/8025276-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMzkwNnxpbWFnZS9qcGVnfGltYWdlcy9oN2YvaDkzLzg4Mjc3NTY5NzAwMTQuanBnfDBiZWNmOWZiMmIwMGI0NGQ2NTBhMjI5NjYxODY1NTUxNzU3ZjlmYzI2MDI2MzA2NTMxMTRlZDBiYjdhYzY4YTA
6,Pyle Audio Pro PDIC80 300W 20.32cm 2-Way in-Ceiling Speaker System with 70V Transformer (Pair),$79.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/pyle-audio-pro-pdic80-300w-20-32cm-2-way-in-ceiling-speaker-system-with-70v-transformer-%28pair%29/p/108014833,SP PDIC80,http://www.thesource.ca/medias/8014833-A-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxNDUyM3xpbWFnZS9qcGVnfGltYWdlcy9oYmIvaDNiLzg4MjcwNjc1MzEyOTQuanBnfGMwNmIwZTFhMWJkNTlmMGQwNjNhYzBjZDM5ODUzYTgyODY2Njc5NDU4OTVhZmVlYTk5NTFkZWExODMyOTEwNTg
7,Bose Companion 20 Multimedia Speaker System,$269.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/bose-companion-20-multimedia-speaker-system/p/108014921,329509-1300,http://www.thesource.ca/medias/8014921-mediaConversion-original-1-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wzMDc2M3xpbWFnZS9qcGVnfGltYWdlcy9oMTAvaDEyLzg4Mjg5MjgwNjU1NjYuanBnfDg3YmY3YjcxNDc5ZmIxZTdiZGVhMTE3YWRlMzA1NzgwZjFlZDFiMjNkN2MwZTQ3NTYyMjI1MzQyNjQzZjU3ZTY
8,HeadRush 2.1 Multimedia Speaker System with Wired Volume Control,$49.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/headrush-2-1-multimedia-speaker-system-with-wired-volume-control/p/108019448,IS-9884,http://www.thesource.ca/medias/20170303121604-108019448-AA.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3w0MjkwfGltYWdlL2pwZWd8aW1hZ2VzL2g3Mi9oM2QvODk1MzQ3OTAzNjk1OC5qcGd8NTA4OWQwNjIxYjU5YjY0YWJhMWYxMGM1NzY2Zjc3MmVhYTVjMzRhYTgzMWI0MTM5YWVlNjhhYjNiMTBhYjNjOA
9,Monster® SuperStar High Definition Bluetooth® Speaker - Neon Pink,$109.99,http://www.thesource.ca/en-ca/tvs-and-home-theatre/audio-and-speakers/home-audio-speakers/monster%c2%ae-superstar%e2%84%a2-high-definition-bluetooth%c2%ae-speaker---neon-pink/p/108019150,MSP SPSTR BT BK N-PNK WW,http://www.thesource.ca/medias/20170202101012-108019150-A.jpg-mediaConversion-640-x-480-mediaConversion-400-x-300-mediaConversion-200-x-150-0?context=bWFzdGVyfGltYWdlc3wxMTg3M3xpbWFnZS9qcGVnfGltYWdlcy9oMGQvaGUzLzg5NDQ4MDY0OTQyMzguanBnfDQyNjIyNmI2ZWMzYmZhYTI2OGQyNTZkNGQ5NGFiN2IwZDg5MjcwYWUzYTY5ZTU3ODA0Zjc1YmJiMzA0ZTdmMmM
