IDValues,Name,Price,link,ModelNumber,Image
0,"Asus X555QG-SH12-CB 15.6"" Notebook, 2.5 GHz AMD Quad Core A12-9700P, 1 TB HDD, 12 GB DDR4 SDRAM, Windows 10 (64-bit)",$599.99,https://www.staples.ca/en/Asus-X555QG-SH12-CB-15-6-Notebook-2-5-GHz-AMD-Quad-Core-A12-9700P-1-TB-HDD-12-GB-DDR4-SDRAM-Windows-10-64-bit-/product_2483709_2-CA_1_20001,X555QG-SH12-CB,
1,"ASUS VivoBook X441UA-SB51-CB 14"" Notebook, 2.5 GHz Intel Core i5-7200U, 1 TB HDD, 8 GB DDR4, Windows 10",$599.99,https://www.staples.ca/en/ASUS-VivoBook-X441UA-SB51-CB-14-Notebook-2-5-GHz-Intel-Core-i5-7200U-1-TB-HDD-8-GB-DDR4-Windows-10/product_2723175_2-CA_1_20001,X441UA-SB51-CB,
2,"Acer E5-523G-94NQ 15.6"" Notebook, 2.9 GHz AMD A9-9410, 1 TB HDD, 8 GB DDR4, Windows 10 Home",$599.99,https://www.staples.ca/en/Acer-E5-523G-94NQ-15-6-Notebook-2-9-GHz-AMD-A9-9410-1-TB-HDD-8-GB-DDR4-Windows-10-Home/product_2453995_2-CA_1_20001,E5-523G-94NQ,
3,"HP Stream 14-AX010CA 14"" Notebook, 1.6 GHz Intel Celeron N3060, 32 GB SSD, 4 GB DDR3L, Windows 10 Home",$299.99,https://www.staples.ca/en/HP-Stream-14-AX010CA-14-Notebook-1-6-GHz-Intel-Celeron-N3060-32-GB-SSD-4-GB-DDR3L-Windows-10-Home/product_2454861_2-CA_1_20001,14-AX010CA,
4,"Acer Aspire F5-573G-58XS NX.GD8AA.002 15.6"" Notebook, 2.5 GHz Intel Core i5-7200U, 256 GB SSD, 8 GB, NVIDIA GeForce 940MX, Win10",$729.99,https://www.staples.ca/en/Acer-Aspire-F5-573G-58XS-NX-GD8AA-002-15-6-Notebook-2-5-GHz-Intel-Core-i5-7200U-256-GB-SSD-8-GB-NVIDIA-GeForce-940MX-Win10/product_2716356_2-CA_1_20001,NX.GD8AA.002,
5,"ASUS VivoBook Max X541NA-RS91-CB 15.6"" Notebook, 1.1 GHz Intel Pentium N4200, 1 TB HDD, 8 GB DDR3L, Windows 10",$449.99,https://www.staples.ca/en/ASUS-VivoBook-Max-X541NA-RS91-CB-15-6-Notebook-1-1-GHz-Intel-Pentium-N4200-1-TB-HDD-8-GB-DDR3L-Windows-10/product_2723093_2-CA_1_20001,X541NA-RS91-CB,
6,"ASUS 5552031SSFX-CB 15.6"" Notebook, 1.8 GHz AMD A10-8700P, 1 TB HDD, 8 GB DDR3L, Windows 10",$449.97,https://www.staples.ca/en/ASUS-5552031SSFX-CB-15-6-Notebook-1-8-GHz-AMD-A10-8700P-1-TB-HDD-8-GB-DDR3L-Windows-10/product_2087629_2-CA_1_20001,5552031SSFX-CB,
7,"Acer NX.GD7AA.005 Aspire F 15.6"" Notebook, 2.7 GHz Intel Core i7-7500U, 1 TB HDD, 12 GB DDR4 SDRAM, Windows 10 Home",$999.99,https://www.staples.ca/en/Acer-NX-GD7AA-005-Aspire-F-15-6-Notebook-2-7-GHz-Intel-Core-i7-7500U-1-TB-HDD-12-GB-DDR4-SDRAM-Windows-10-Home/product_2626220_2-CA_1_20001,F5-573-725L,
8,"Acer NX.GDBAA.009 Aspire F 15.6"" Notebook, 2.5 GHz Intel Core i5-7200U, 1 TB HDD, 8 GB DDR4 SDRAM, Windows 10 Home",$649.99,https://www.staples.ca/en/Acer-NX-GDBAA-009-Aspire-F-15-6-Notebook-2-5-GHz-Intel-Core-i5-7200U-1-TB-HDD-8-GB-DDR4-SDRAM-Windows-10-Home/product_2626219_2-CA_1_20001,F5-573T-53X7,
9,"MSI Apache GE62 7RD-471CA 15.6"" Gaming Laptop, 2.8 GHz Core i7-7700HQ, 1 TB HDD + 256 GB SSD, 16 GB RAM, GeForce GTX 1050, Win10","$1,499.00",https://www.staples.ca/en/MSI-Apache-GE62-7RD-471CA-15-6-Gaming-Laptop-2-8-GHz-Core-i7-7700HQ-1-TB-HDD-256-GB-SSD-16-GB-RAM-GeForce-GTX-1050-Win10/product_2681663_2-CA_1_20001,GE62 7RD-471CA,
10,"Acer Aspire S 13 NX.GM6AA.001 13.3"" Touch Screen Notebook, 2.5 GHz Intel Core i5-7200U, 256 GB SSD, 8 GB LPDDR3, Windows 10 Home",$899.99,https://www.staples.ca/en/Acer-Aspire-S-13-NX-GM6AA-001-13-3-Touch-Screen-Notebook-2-5-GHz-Intel-Core-i5-7200U-256-GB-SSD-8-GB-LPDDR3-Windows-10-Home/product_2453980_2-CA_1_20001,S5-371T-56Q1,
11,"HP 15-BW007CA 15.6"" Touch Screen Notebook, 2.5 GHz AMD A10-9620P, 1 TB HDD, 8 GB DDR4, Windows 10 Home, Smokey Grey",$699.99,https://www.staples.ca/en/HP-15-BW007CA-15-6-Touch-Screen-Notebook-2-5-GHz-AMD-A10-9620P-1-TB-HDD-8-GB-DDR4-Windows-10-Home-Smokey-Grey/product_2722000_2-CA_1_20001,15-BW007CA,
12,"Lenovo IdeaPad 320 80XL02MRCF 15.6"" Notebook, 2.5 GHz Intel Core i5-7200U, 1 TB HDD, 8 GB DDR4, Windows 10 Home",$699.99,https://www.staples.ca/en/Lenovo-IdeaPad-320-80XL02MRCF-15-6-Notebook-2-5-GHz-Intel-Core-i5-7200U-1-TB-HDD-8-GB-DDR4-Windows-10-Home/product_2735504_2-CA_1_20001,LEN-80XL02MRCF,
