IDValues,Name,Price,link,ModelNumber,Image
0,"Canon PowerShot SX540 HS Digital Camera, 20.3 MP, 50x Optical Zoom, Black",$399.94,https://www.staples.ca/en/Canon-PowerShot-SX540-HS-Digital-Camera-20-3-MP-50x-Optical-Zoom-Black/product_2125935_2-CA_1_20001,1067C001,
1,Fujifilm FinePix XP120 16.4 MP Digital Point-and-Shoot Camera,$199.93,https://www.staples.ca/en/Fujifilm-FinePix-XP120-16-4-MP-Digital-Point-and-Shoot-Camera/product_SS6160995_2-CA_1_20001,none,
2,"Nikon COOLPIX A300 Compact Digital Camera, 20.1MP, 8X Optical Zoom, Black (32199)",$179.95,https://www.staples.ca/en/Nikon-COOLPIX-A300-Compact-Digital-Camera-20-1MP-8X-Optical-Zoom-Black-32199-/product_2624258_2-CA_1_20001,32199,
3,"Canon PowerShot ELPH190 IS Digital Camera, 20.0 MP, 10x Optical Zoom, Black",$209.96,https://www.staples.ca/en/Canon-PowerShot-ELPH190-IS-Digital-Camera-20-0-MP-10x-Optical-Zoom-Black/product_2070234_2-CA_1_20001,1084C001,
4,"Canon PowerShot ELPH 180 Digital Camera, 20.0 MP, 8x Optical Zoom",$159.99,https://www.staples.ca/en/Canon-PowerShot-ELPH-180-Digital-Camera-20-0-MP-8x-Optical-Zoom/product_SS5018950_2-CA_1_20001,none,
5,"Sony® Cyber-shot DSCW800B Digital Camera, 20.1MP, 5x Optical Zoom, 720 HD Video, 2.7"" LCD Screen, Black",$119.99,https://www.staples.ca/en/Sony-Cyber-shot-DSCW800B-Digital-Camera-20-1MP-5x-Optical-Zoom-720-HD-Video-2-7-LCD-Screen-Black/product_238062_2-CA_1_20001,DSCW800B,
6,"Canon PowerShot ELPH360 HS Digital Camera, 20.2 MP, 12x Optical Zoom, Black",$269.96,https://www.staples.ca/en/Canon-PowerShot-ELPH360-HS-Digital-Camera-20-2-MP-12x-Optical-Zoom-Black/product_2070233_2-CA_1_20001,1075C001,
7,"Sony® Cyber-shot DSCH300B Digital Camera, 20.1MP, 35x Optical Zoom, 720 HD Video, 3"" LCD Screen, Black",$249.99,https://www.staples.ca/en/Sony-Cyber-shot-DSCH300B-Digital-Camera-20-1MP-35x-Optical-Zoom-720-HD-Video-3-LCD-Screen-Black/product_238059_2-CA_1_20001,DSCH300B,
8,"Canon PowerShot SX620 HS Digital Camera, 20.2 MP, 25x Optical Zoom, Black (1072C001)",$369.93,https://www.staples.ca/en/Canon-PowerShot-SX620-HS-Digital-Camera-20-2-MP-25x-Optical-Zoom-Black-1072C001-/product_2398957_2-CA_1_20001,1072C001,
9,"Nikon COOLPIX B500 Compact Digital Camera, 16 MP, 40x Optical Zoom, 3.0"" LCD, 1080P, Wi-Fi, NFC, Bluetooth",$339.95,https://www.staples.ca/en/Nikon-COOLPIX-B500-Compact-Digital-Camera-16-MP-40x-Optical-Zoom-3-0-LCD-1080P-Wi-Fi-NFC-Bluetooth/product_2126048_2-CA_1_20001,32430,
