IDValues,Name,Price,link,ModelNumber,Image
0,"HP Pavilion 570-P019 Z5N41AA#ABL Tower Desktop Computer, 3.8 GHz AMD A12-9800, 1 TB HDD, 12 GB DDR4 SDRAM, Windows 10",$599.96,https://www.staples.ca/en/HP-Pavilion-570-P019-Z5N41AA-ABL-Tower-Desktop-Computer-3-8-GHz-AMD-A12-9800-1-TB-HDD-12-GB-DDR4-SDRAM-Windows-10/product_2719527_2-CA_1_20001,Z5N41AA#ABL,
1,"HP Refurbished Pro 6300 Tower Desktop Computer, 3.2 GHz Intel Core i5-3470, 2 TB HDD, 16 GB DDR3, Windows 10 Pro",$399.00,https://www.staples.ca/en/HP-Refurbished-Pro-6300-Tower-Desktop-Computer-3-2-GHz-Intel-Core-i5-3470-2-TB-HDD-16-GB-DDR3-Windows-10-Pro/product_2727102_2-CA_1_20001,6300PROTOWER,
2,"HP Pavilion 570-P029 Z5M93AA#ABL Tower Desktop Computer, 3.5 GHz AMD A10-9700, 1 TB HDD, 12 GB DDR4 SDRAM, Windows 10",$649.96,https://www.staples.ca/en/HP-Pavilion-570-P029-Z5M93AA-ABL-Tower-Desktop-Computer-3-5-GHz-AMD-A10-9700-1-TB-HDD-12-GB-DDR4-SDRAM-Windows-10/product_2719520_2-CA_1_20001,Z5M93AA#ABL,
3,"HP Slimline 270-A029 Z5N40AA#ABL Tower Desktop Computer, 3.2 GHz AMD A9-9430, 1 TB HDD, 8 GB DDR4 SDRAM, Windows 10",$499.96,https://www.staples.ca/en/HP-Slimline-270-A029-Z5N40AA-ABL-Tower-Desktop-Computer-3-2-GHz-AMD-A9-9430-1-TB-HDD-8-GB-DDR4-SDRAM-Windows-10/product_2719507_2-CA_1_20001,Z5N40AA#ABL,
4,"ASUS (M32BF-RS1-CB) Desktop Computer, 3.9GHz AMD A10-7800, 8GB RAM, 1TB HDD, Windows 10",$479.93,https://www.staples.ca/en/ASUS-M32BF-RS1-CB-Desktop-Computer-3-9GHz-AMD-A10-7800-8GB-RAM-1TB-HDD-Windows-10/product_2075131_2-CA_1_20001,M32BF-RS1-CB,
5,"HP Refurbished HP 6200 Pro Tower Desktop Computer, 3.4 GHz Intel Core i7, 12 GB DDR3, 2TB HDD, Windows 10 Pro",$489.72,https://www.staples.ca/en/HP-Refurbished-HP-6200-Pro-Tower-Desktop-Computer-3-4-GHz-Intel-Core-i7-12-GB-DDR3-2TB-HDD-Windows-10-Pro/product_2571765_2-CA_1_20001,HP 6200 PRO,
6,"Dell Refurbished OptiPlex 330 Desktop Computer, 2.2 GHz Intel Core 2 Duo E4500, 160 GB HDD, 2 GB DDR2, Windows 10 Home",$119.92,https://www.staples.ca/en/Dell-Refurbished-OptiPlex-330-Desktop-Computer-2-2-GHz-Intel-Core-2-Duo-E4500-160-GB-HDD-2-GB-DDR2-Windows-10-Home/product_2699658_2-CA_1_20001,OPTIPLEX 330,
7,"Acer Aspire TC-780-ES11 Tower Desktop Computer, 3.0GHz Intel Core i5-7400, 1 TB HDD, 8 GB RAM, Windows 10",$699.99,https://www.staples.ca/en/Acer-Aspire-TC-780-ES11-Tower-Desktop-Computer-3-0GHz-Intel-Core-i5-7400-1-TB-HDD-8-GB-RAM-Windows-10/product_2705603_2-CA_1_20001,DT.B89AA.018,
8,"HP Pavilion 570-P039 Z5N44AA#ABL Desktop PC, 3.0 GHz Intel Core i5-7400, 1 TB HDD, 12 GB RAM, NVIDIA GeForce GTX 1050, Win10",$899.96,https://www.staples.ca/en/HP-Pavilion-570-P039-Z5N44AA-ABL-Desktop-PC-3-0-GHz-Intel-Core-i5-7400-1-TB-HDD-12-GB-RAM-NVIDIA-GeForce-GTX-1050-Win10/product_2719532_2-CA_1_20001,Z5N44AA#ABL,
9,"Acer Aspire AXC-780-ES11 Desktop Computer, 3.9 GHz Intel Core i3-7100, 1 TB HDD, 8 GB RAM, Windows 10",$499.99,https://www.staples.ca/en/Acer-Aspire-AXC-780-ES11-Desktop-Computer-3-9-GHz-Intel-Core-i3-7100-1-TB-HDD-8-GB-RAM-Windows-10/product_2705599_2-CA_1_20001,DT.B8AAA.005,
