IDValues,Name,Price,link,ModelNumber,Image
0,HP Officejet Pro 8710 All-in-One Wireless Duplex Colour Inkjet Printer,$229.65,https://www.staples.ca/en/HP-Officejet-Pro-8710-All-in-One-Wireless-Duplex-Colour-Inkjet-Printer/product_2091478_2-CA_1_20001,M9L66A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m003944655_sc7?$std$
1,Canon imageCLASS Wireless Laser Multifunction Printer (MF414dw),$249.99,https://www.staples.ca/en/Canon-imageCLASS-Wireless-Laser-Multifunction-Printer-MF414dw-/product_2093555_2-CA_1_20001,0291C020,https://www.staples-3p.com/s7/is/image/Staples/m005844429_sc7?$std$
2,HP Deskjet 2655 All-in-One Printer,$29.98,https://www.staples.ca/en/HP-Deskjet-2655-All-in-One-Printer/product_2708802_2-CA_1_20001,V1N04A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m006013426_sc7?$std$
3,Canon PIXMA (MX532) Wireless Colour All-in-One Inkjet Printer,$129.92,https://www.staples.ca/en/Canon-PIXMA-MX532-Wireless-Colour-All-in-One-Inkjet-Printer/product_577808_2-CA_1_20001,8750B003,https://www.staples-3p.com/s7/is/image/Staples/s0816060_sc7?$std$
4,HP Officejet Pro 7740 Wide Format All-In-One Printer,$249.65,https://www.staples.ca/en/HP-Officejet-Pro-7740-Wide-Format-All-In-One-Printer/product_2424949_2-CA_1_20001,G5J38A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m004958052_sc7?$std$
5,Epson Expression Home XP-340 Small-in-One All-in-One Printer,$89.99,https://www.staples.ca/en/Epson-Expression-Home-XP-340-Small-in-One-All-in-One-Printer/product_2708368_2-CA_1_20001,C11CF28201,https://www.staples-3p.com/s7/is/image/Staples/m006074435_sc7?$std$
6,HP Officejet 7510 Wide Format All-In-One Printer,$199.99,https://www.staples.ca/en/HP-Officejet-7510-Wide-Format-All-In-One-Printer/product_2228981_2-CA_1_20001,G3J47A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m004958047_sc7?$std$
7,HP Officejet Pro 8720 All-in-One Wireless Duplex Colour Inkjet Printer (M9L75A#B1H),$329.74,https://www.staples.ca/en/HP-Officejet-Pro-8720-All-in-One-Wireless-Duplex-Colour-Inkjet-Printer-M9L75A-B1H-/product_2093156_2-CA_1_20001,M9L75A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m003944656_sc7?$std$
8,HP OfficeJet Pro 6978 Colour All-in-One Printer (T0F29A#B1H),$189.99,https://www.staples.ca/en/HP-OfficeJet-Pro-6978-Colour-All-in-One-Printer-T0F29A-B1H-/product_2256786_2-CA_1_20001,T0F29A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m004517010_sc7?$std$
9,HP OfficeJet 3830 All-in-One Printer,$79.96,https://www.staples.ca/en/HP-OfficeJet-3830-All-in-One-Printer/product_1775790_2-CA_1_20001,K7V40A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m002947173_sc7?$std$
10,Epson Expression Home XP-440 Small-in-One All-in-One Printer,$49.96,https://www.staples.ca/en/Epson-Expression-Home-XP-440-Small-in-One-All-in-One-Printer/product_2618613_2-CA_1_20001,C11CF27201,https://www.staples-3p.com/s7/is/image/Staples/m006074436_sc7?$std$
11,HP LaserJet Pro M26nw Printer (T0L50A #BGJ),$179.99,https://www.staples.ca/en/HP-LaserJet-Pro-M26nw-Printer-T0L50A-BGJ-/product_2477924_2-CA_1_20001,T0L50A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/m005035374_sc7?$std$
12,Lexmark CX317dn Multifunction Colour Laser Printer (28CC550),$479.00,https://www.staples.ca/en/Lexmark-CX317dn-Multifunction-Colour-Laser-Printer-28CC550-/product_2716170_2-CA_1_20001,28CC550,https://www.staples-3p.com/s7/is/image/Staples/m006148370_sc7?$std$
13,"Canon PIXMA MG3020 Inkjet Printer, White",$99.98,https://www.staples.ca/en/Canon-PIXMA-MG3020-Inkjet-Printer-White/product_2497891_2-CA_1_20001,1346C023,https://www.staples-3p.com/s7/is/image/Staples/m005721141_sc7?$std$
14,Canon imageCLASS MF244dw Black and White Laser Multifunction Printer (1418C021),$149.92,https://www.staples.ca/en/Canon-imageCLASS-MF244dw-Black-and-White-Laser-Multifunction-Printer-1418C021-/product_2420558_2-CA_1_20001,1418C021,https://www.staples-3p.com/s7/is/image/Staples/m005012766_sc7?$std$
15,Brother MFC-J6930DW Business Smart Pro Colour Inkjet Printer (MFCJ6930DW),$329.99,https://www.staples.ca/en/Brother-MFC-J6930DW-Business-Smart-Pro-Colour-Inkjet-Printer-MFCJ6930DW-/product_2496294_2-CA_1_20001,MFCJ6930DW,https://www.staples-3p.com/s7/is/image/Staples/m005917673_sc7?$std$
16,HP Officejet Pro 8210 Printer (D9L64A#B1H),$149.99,https://www.staples.ca/en/HP-Officejet-Pro-8210-Printer-D9L64A-B1H-/product_2419949_2-CA_1_20001,D9L64A#B1H,https://www.staples-3p.com/s7/is/image/Staples/m004767552_sc7?$std$
17,Epson WorkForce Pro WF-4740 Colour Inkjet All-in-One Printer (C11CF75201),$299.83,https://www.staples.ca/en/Epson-WorkForce-Pro-WF-4740-Colour-Inkjet-All-in-One-Printer-C11CF75201-/product_2618615_2-CA_1_20001,C11CF75201,https://www.staples-3p.com/s7/is/image/Staples/s1086723_sc7?$std$
18,HP® LaserJet Pro (MFP M177fw) Wireless All-in-One Colour Laser Printer with AirPrint and ePrint,$289.94,https://www.staples.ca/en/HP-LaserJet-Pro-MFP-M177fw-Wireless-All-in-One-Colour-Laser-Printer-with-AirPrint-and-ePrint/product_285008_2-CA_1_20001,CZ165A#BGJ,https://www.staples-3p.com/s7/is/image/Staples/s0790228_sc7?$std$
19,Brother DCP-L2540DW All-in-One Wireless Laser Printer (DCPL2540DW),$169.64,https://www.staples.ca/en/Brother-DCP-L2540DW-All-in-One-Wireless-Laser-Printer-DCPL2540DW-/product_1171087_2-CA_1_20001,DCP-L2540DW,https://www.staples-3p.com/s7/is/image/Staples/m004075304_sc7?$std$
