IDValues,Name,Price,link,ModelNumber,Image
0,HP® Officejet Pro 8710 All-in-One Wireless Duplex Colour Inkjet Printer (M9L66A#B1H),$119.65,https://www.staples.ca/en/HP-Officejet-Pro-8710-All-in-One-Wireless-Duplex-Colour-Inkjet-Printer-M9L66A-B1H-/product_2091478_2-CA_1_20001,M9L66A#B1H,
1,Brother MFC-J6930DW Business Smart Pro Colour Inkjet Printer (MFCJ6930DW),$379.99,https://www.staples.ca/en/Brother-MFC-J6930DW-Business-Smart-Pro-Colour-Inkjet-Printer-MFCJ6930DW-/product_2496294_2-CA_1_20001,MFCJ6930DW,
2,Canon imageCLASS MF414dw Wireless Laser Multifunction Printer (0291C020),$499.99,https://www.staples.ca/en/Canon-imageCLASS-MF414dw-Wireless-Laser-Multifunction-Printer-0291C020-/product_2093555_2-CA_1_20001,0291C020,
3,HP® OfficeJet 3830 All-in-One Inkjet Printer (K7V40A#B1H),$79.96,https://www.staples.ca/en/HP-OfficeJet-3830-All-in-One-Inkjet-Printer-K7V40A-B1H-/product_1775790_2-CA_1_20001,K7V40A#B1H,
4,Brother HL-L5000D Duplex Monochrome Laser Printer,$149.99,https://www.staples.ca/en/Brother-HL-L5000D-Duplex-Monochrome-Laser-Printer/product_2129327_2-CA_1_20001,HL-L5000D,
5,Canon PIXMA MX532 Wireless Colour All-in-One Inkjet Printer (8750B003),$129.92,https://www.staples.ca/en/Canon-PIXMA-MX532-Wireless-Colour-All-in-One-Inkjet-Printer-8750B003-/product_577808_2-CA_1_20001,8750B003,
6,Brother HL-L2320D Monochrome Laser Printer (HLL2320D),$159.83,https://www.staples.ca/en/Brother-HL-L2320D-Monochrome-Laser-Printer-HLL2320D-/product_1074269_2-CA_1_20001,HL-L2320D,
7,Brother MFC-J6530DW Business Smart Pro Colour Inkjet Printer (MFCJ6530DW),$299.99,https://www.staples.ca/en/Brother-MFC-J6530DW-Business-Smart-Pro-Colour-Inkjet-Printer-MFCJ6530DW-/product_2496246_2-CA_1_20001,MFCJ6530DW,
8,Canon MAXIFY MB2720 Small Office/Home Office All-in-One Inkjet Printer (0958C003),$99.92,https://www.staples.ca/en/Canon-MAXIFY-MB2720-Small-Office-Home-Office-All-in-One-Inkjet-Printer-0958C003-/product_2432868_2-CA_1_20001,0958C003,
9,HP® Officejet 7510 Wide Format All-In-One Printer (G3J47A#B1H),$99.99,https://www.staples.ca/en/HP-Officejet-7510-Wide-Format-All-In-One-Printer-G3J47A-B1H-/product_2228981_2-CA_1_20001,G3J47A#B1H,
10,Epson® WorkForce Pro WF-3720 Colour All-in-One Inkjet Printer (C11CF24201),$99.96,https://www.staples.ca/en/Epson-WorkForce-Pro-WF-3720-Colour-All-in-One-Inkjet-Printer-C11CF24201-/product_2618614_2-CA_1_20001,C11CF24201,
11,HP® Officejet Pro 8210 Business Ink Printer (D9L64A#B1H),$149.99,https://www.staples.ca/en/HP-Officejet-Pro-8210-Business-Ink-Printer-D9L64A-B1H-/product_2419949_2-CA_1_20001,D9L64A#B1H,
12,HP® Deskjet 2655 All-in-One Inkjet Printer (V1N04A#B1H),$59.98,https://www.staples.ca/en/HP-Deskjet-2655-All-in-One-Inkjet-Printer-V1N04A-B1H-/product_2708802_2-CA_1_20001,V1N04A#B1H,
