IDValues,Name,Price,link,ModelNumber,Image
0,Seiki SE42UMS 42” 4K Ultra HD LED TV,$264.92,https://www.staples.ca/en/Seiki-SE42UMS-42-4K-Ultra-HD-LED-TV/product_2773819_2-CA_1_20001,SE42UMS,https://www.staples-3p.com/s7/is/image/Staples/m006616575_sc7?$std$
1,"Samsung 478 Series Direct-Lit 50"" LED Hospitality TV for Guest Engagement (HG50NE478SFXZA)",$929.99,https://www.staples.ca/en/Samsung-478-Series-Direct-Lit-50-LED-Hospitality-TV-for-Guest-Engagement-HG50NE478SFXZA-/product_2630804_2-CA_1_20001,HG50NE478SFXZA,https://www.staples-3p.com/s7/is/image/Staples/m005684212_sc7?$std$
2,RCA TR3202 32IN LED HD TV,$229.99,https://www.staples.ca/en/RCA-TR3202-32IN-LED-HD-TV/product_2709980_2-CA_1_20001,TR3202,https://www.staples-3p.com/s7/is/image/Staples/m006244985_sc7?$std$
3,"Samsung 470 Series Direct-Lit 43"" LED Hospitality TV for Guest Engagement (HG43NE470SFXZA)",$699.99,https://www.staples.ca/en/Samsung-470-Series-Direct-Lit-43-LED-Hospitality-TV-for-Guest-Engagement-HG43NE470SFXZA-/product_2630805_2-CA_1_20001,HG43NE470SFXZA,https://www.staples-3p.com/s7/is/image/Staples/m005684212_sc7?$std$
4,"VIZIO M Series 55"" HDR UHD XLED Home Theater Display (M55-E0)",$999.99,https://www.staples.ca/en/VIZIO-M-Series-55-HDR-UHD-XLED-Home-Theater-Display-M55-E0-/product_2797762_2-CA_1_20001,M55-E0,https://www.staples-3p.com/s7/is/image/Staples/m006750200_sc7?$std$
5,"VIZIO M Series 50"" Class UHD SmartCast Home Theater Display (M50-D1)",$899.99,https://www.staples.ca/en/VIZIO-M-Series-50-Class-UHD-SmartCast-Home-Theater-Display-M50-D1-/product_2797746_2-CA_1_20001,M50-D1,https://www.staples-3p.com/s7/is/image/Staples/m006750197_sc7?$std$
6,Sylvania DVD Player (SDVD1041),$34.99,https://www.staples.ca/en/Sylvania-DVD-Player-SDVD1041-/product_2722510_2-CA_1_20001,SDVD1041,https://www.staples-3p.com/s7/is/image/Staples/m006288991_sc7?$std$
7,Sylvania 1080P DVD Player (SDVD1096),$44.99,https://www.staples.ca/en/Sylvania-1080P-DVD-Player-SDVD1096-/product_2423899_2-CA_1_20001,SDVD1096,https://www.staples-3p.com/s7/is/image/Staples/m006288985_sc7?$std$
8,Proscan ATSC Digital Converter with HDMI & PVR Ready (PAT102),$59.99,https://www.staples.ca/en/Proscan-ATSC-Digital-Converter-with-HDMI-PVR-Ready-PAT102-/product_1104747_2-CA_1_20001,PAT102,https://www.staples-3p.com/s7/is/image/Staples/m006288978_sc7?$std$
9,"Samsung DB55E 55"" Widescreen Commercial TV (LH55DBEPLGA/GO)","$1,789.83",https://www.staples.ca/en/Samsung-DB55E-55-Widescreen-Commercial-TV-LH55DBEPLGA-GO-/product_1844633_2-CA_1_20001,LH55DBEPLGAGO,https://www.staples-3p.com/s7/is/image/Staples/m002969883_sc7?$std$
10,"Samsung DM55E 55"" Widescreen Commercial TV (LH55DMEPLGA/GO)","$2,089.99",https://www.staples.ca/en/Samsung-DM55E-55-Widescreen-Commercial-TV-LH55DMEPLGA-GO-/product_1841947_2-CA_1_20001,LH55DMEPLGA/GO,https://www.staples-3p.com/s7/is/image/Staples/m002969880_sc7?$std$
11,"GPX 720p 19"" LED HDTV/DVD Combination, Black (GPXTDE1982B)",$289.99,https://www.staples.ca/en/GPX-720p-19-LED-HDTV-DVD-Combination-Black-GPXTDE1982B-/product_210581_2-CA_1_20001,GPXTDE1982B,https://www.staples-3p.com/s7/is/image/Staples/m000037469_sc7?$std$
12,"Samsung DM40E 40"" Slim Widescren Commercial TV (LH40DMEPLGA/GO)","$1,194.36",https://www.staples.ca/en/Samsung-DM40E-40-Slim-Widescren-Commercial-TV-LH40DMEPLGA-GO-/product_1844537_2-CA_1_20001,LH40DMEPLGA/GO,https://www.staples-3p.com/s7/is/image/Staples/m002969880_sc7?$std$
13,"Supersonic 15.6"" LED TV (SSCSC1511)",$209.99,https://www.staples.ca/en/Supersonic-15-6-LED-TV-SSCSC1511-/product_2141673_2-CA_1_20001,SSCSC1511,https://www.staples-3p.com/s7/is/image/Staples/m004083081_sc7?$std$
14,"VIZIO P Series 55"" Class UHD HDR XLED SmartCast Pro Display (P55-E1)","$1,799.99",https://www.staples.ca/en/VIZIO-P-Series-55-Class-UHD-HDR-XLED-SmartCast-Pro-Display-P55-E1-/product_2797750_2-CA_1_20001,P55-E1,https://www.staples-3p.com/s7/is/image/Staples/m006750198_sc7?$std$
15,"RCA 32"" LED 1080P HD Roku Smart TV (RTR3261)",$299.99,https://www.staples.ca/en/RCA-32-LED-1080P-HD-Roku-Smart-TV-RTR3261-/product_2795773_2-CA_1_20001,RTR3261,https://www.staples-3p.com/s7/is/image/Staples/m006764411_sc7?$std$
16,"Quasar 39.5"" LED 1080p HDTV (QUASQ4004)",$499.99,https://www.staples.ca/en/Quasar-39-5-LED-1080p-HDTV-QUASQ4004-/product_2141681_2-CA_1_20001,QUASQ4004,https://www.staples-3p.com/s7/is/image/Staples/m004082940_sc7?$std$
17,"Sylvania 10.2"" Under-Counter Bluetooth Kitchen TV With Built-in DVD Player And HDMI (CURSKCR2706BT)",$279.99,https://www.staples.ca/en/Sylvania-10-2-Under-Counter-Bluetooth-Kitchen-TV-With-Built-in-DVD-Player-And-HDMI-CURSKCR2706BT-/product_2758973_2-CA_1_20001,CURSKCR2706BT,https://www.staples-3p.com/s7/is/image/Staples/m004083091_sc7?$std$
18,"Proscan 55"" 4K Ultra HD LED TV (CURPLDED5515UHD)","$1,199.99",https://www.staples.ca/en/Proscan-55-4K-Ultra-HD-LED-TV-CURPLDED5515UHD-/product_2141692_2-CA_1_20001,CURPLDED5515UHD,https://www.staples-3p.com/s7/is/image/Staples/m004082828_sc7?$std$
19,"Supersonic 31.5"" LED TV (SSCSC3210)",$419.99,https://www.staples.ca/en/Supersonic-31-5-LED-TV-SSCSC3210-/product_2141672_2-CA_1_20001,SSCSC3210,https://www.staples-3p.com/s7/is/image/Staples/m004083082_sc7?$std$
20,"Proscan 39"" 1080p D-LED TV (CURPLDED3996A)",$479.99,https://www.staples.ca/en/Proscan-39-1080p-D-LED-TV-CURPLDED3996A-/product_2141695_2-CA_1_20001,CURPLDED3996A,https://www.staples-3p.com/s7/is/image/Staples/m004082825_sc7?$std$
21,"Proscan 48"" 1080p D-LED TV (CURPLDED4897A)",$749.99,https://www.staples.ca/en/Proscan-48-1080p-D-LED-TV-CURPLDED4897A-/product_2141693_2-CA_1_20001,CURPLDED4897A,https://www.staples-3p.com/s7/is/image/Staples/m004082827_sc7?$std$
22,"VIZIO P Series 55"" Class UHD LED Home Theater Display (P55-C1)","$1,699.99",https://www.staples.ca/en/VIZIO-P-Series-55-Class-UHD-LED-Home-Theater-Display-P55-C1-/product_2797761_2-CA_1_20001,P55-C1,https://www.staples-3p.com/s7/is/image/Staples/m006750199_sc7?$std$
23,"Haier 55"" Slim 4K UHD LED TV with dbx Audio (55UGX3500)",$649.99,https://www.staples.ca/en/Haier-55-Slim-4K-UHD-LED-TV-with-dbx-Audio-55UGX3500-/product_2802350_2-CA_1_20001,55UGX3500,https://www.staples-3p.com/s7/is/image/Staples/m006841869_sc7?$std$
24,"Haier 43"" 4K Ultra HD LED TV  (43UF2500)",$429.99,https://www.staples.ca/en/Haier-43-4K-Ultra-HD-LED-TV-43UF2500-/product_2802348_2-CA_1_20001,43UF2500,https://www.staples-3p.com/s7/is/image/Staples/m006841868_sc7?$std$
25,"Haier 75"" 4K Ultra HD LED TV (75UF2500)","$2,199.99",https://www.staples.ca/en/Haier-75-4K-Ultra-HD-LED-TV-75UF2500-/product_2802353_2-CA_1_20001,75UF2500,https://www.staples-3p.com/s7/is/image/Staples/m006841871_sc7?$std$
26,"Haier 32"" 720p LED HD TV (32F2000)",$239.99,https://www.staples.ca/en/Haier-32-720p-LED-HD-TV-32F2000-/product_2802347_2-CA_1_20001,32F2000,https://www.staples-3p.com/s7/is/image/Staples/m006841867_sc7?$std$
27,"Haier 65"" 4K Ultra HD LED TV (65UF2505)","$1,129.99",https://www.staples.ca/en/Haier-65-4K-Ultra-HD-LED-TV-65UF2505-/product_2802351_2-CA_1_20001,65UF2505,https://www.staples-3p.com/s7/is/image/Staples/m006841870_sc7?$std$
28,"Haier 65"" Slim 4K UHD LED TV with dbx Audio (65UGX3500)","$1,179.99",https://www.staples.ca/en/Haier-65-Slim-4K-UHD-LED-TV-with-dbx-Audio-65UGX3500-/product_2802352_2-CA_1_20001,65UGX3500,https://www.staples-3p.com/s7/is/image/Staples/m006841869_sc7?$std$
