IDValues,Name,Price,link,ModelNumber,Image
0,"Acer Iconia One 10 B3-A30-K6YL 10.1"" Tablet, 1.3 GHz MediaTek MT8163, 16 GB Flash, 1 GB DDR3L, Android 6.0, White",$179.99,https://www.staples.ca/en/Acer-Iconia-One-10-B3-A30-K6YL-10-1-Tablet-1-3-GHz-MediaTek-MT8163-16-GB-Flash-1-GB-DDR3L-Android-6-0-White/product_2676322_2-CA_1_20001,NT.LCMAA.001,https://www.staples-3p.com/s7/is/image/Staples/m005957169_sc7?$std$
1,"ASUS Z300M-A2-GR ZenPad 10 10.1"" IPS Tablet, 1.3 GHz MediaTek MT8163, 16 GB eMMC, 2 GB RAM, Android 6.0, Dark Grey",$219.99,https://www.staples.ca/en/ASUS-Z300M-A2-GR-ZenPad-10-10-1-IPS-Tablet-1-3-GHz-MediaTek-MT8163-16-GB-eMMC-2-GB-RAM-Android-6-0-Dark-Grey/product_2630812_2-CA_1_20001,Z300M-A2-GR,https://www.staples-3p.com/s7/is/image/Staples/m005687991_sc7?$std$
2,"Apple iPad 9.7"" Tablet, Wi-Fi, Apple A9 Chip, 32 GB Flash, iOS 10",$449.00,https://www.staples.ca/en/Apple-iPad-9-7-Tablet-Wi-Fi-Apple-A9-Chip-32-GB-Flash-iOS-10/product_SS6160610_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m005844723_sc7?$std$
3,"Samsung Galaxy Tab A (SM-T580NZKAXAC) 10.1"" Tablet, 1.6 GHz Octo-Core, 16 GB Storage, Black",$399.92,https://www.staples.ca/en/Samsung-Galaxy-Tab-A-SM-T580NZKAXAC-10-1-Tablet-1-6-GHz-Octo-Core-16-GB-Storage-Black/product_2435986_2-CA_1_20001,SM-T580NZKAXAC,https://www.staples-3p.com/s7/is/image/Staples/m004784011_sc7?$std$
4,"Apple iPad 9.7"" Tablet, Wi-Fi, Apple A9 Chip, 128 GB Flash, iOS 10",$579.00,https://www.staples.ca/en/Apple-iPad-9-7-Tablet-Wi-Fi-Apple-A9-Chip-128-GB-Flash-iOS-10/product_SS6160611_2-CA_1_20001,none,https://www.staples-3p.com/s7/is/image/Staples/m005844723_sc7?$std$
5,Galaxy Tab E Lite,$119.95,https://www.staples.ca/en/Galaxy-Tab-E-Lite/product_2093888_2-CA_1_20001,SM-T113NDWAXAC,https://www.staples-3p.com/s7/is/image/Staples/m003538127_sc7?$std$
6,"Samsung Galaxy Tab A (SM-T350NZWAXAC), 8"", 1.2 GHz Quadcore Android Lollipop, 1.5GB RAM, 16GB storage, White",$229.96,https://www.staples.ca/en/Samsung-Galaxy-Tab-A-SM-T350NZWAXAC-8-1-2-GHz-Quadcore-Android-Lollipop-1-5GB-RAM-16GB-storage-White/product_1619922_2-CA_1_20001,SM-T350NZWAXAC,https://www.staples-3p.com/s7/is/image/Staples/s0954757_sc7?$std$
7,"ASUS Z170C-A1-BK Zenpad 7 7"" IPS Touchscreen Tablet, Intel Atom x3-C3200 (1.2GHz) Quad Core, 1GB RAM, Android 5.0, Black",$129.92,https://www.staples.ca/en/ASUS-Z170C-A1-BK-Zenpad-7-7-IPS-Touchscreen-Tablet-Intel-Atom-x3-C3200-1-2GHz-Quad-Core-1GB-RAM-Android-5-0-Black/product_1960170_2-CA_1_20001,Z170CA1BK,https://www.staples-3p.com/s7/is/image/Staples/m003532119_sc7?$std$
8,"Samsung Galaxy Tab A (SM-T350NZAAXAC), 8"", 1.2 GHz Quadcore Android Lollipop, 1.5GB RAM, 16GB storage, Titanium Grey",$229.96,https://www.staples.ca/en/Samsung-Galaxy-Tab-A-SM-T350NZAAXAC-8-1-2-GHz-Quadcore-Android-Lollipop-1-5GB-RAM-16GB-storage-Titanium-Grey/product_1619923_2-CA_1_20001,SM-T350NZAAXAC,https://www.staples-3p.com/s7/is/image/Staples/s0954532_sc7?$std$
9,"ASUS ZenPad 3S 10 Z500M-C1-SL 9.7"" Tablet, 2.1 GHz MediaTek 8176 Turbo, 64 GB Flash, 4 GB LPDDR3, Android 6.0, Glacier Silver",$419.99,https://www.staples.ca/en/ASUS-ZenPad-3S-10-Z500M-C1-SL-9-7-Tablet-2-1-GHz-MediaTek-8176-Turbo-64-GB-Flash-4-GB-LPDDR3-Android-6-0-Glacier-Silver/product_2636474_2-CA_1_20001,Z500M-C1-SL,https://www.staples-3p.com/s7/is/image/Staples/m005699799_sc7?$std$
