ID,Name,Price,Link,ModelNumber,Images
0,CyberPowerPC Gamer Supreme SLC8460INC Liquid Cool Gaming Computer with Intel i7-7700K 4.2GHz Processor,"$2,279


",https://www.walmart.ca/en/ip/cyberpowerpc-gamer-supreme-slc8460inc-liquid-cool-gaming-computer-with-intel-i7-7700k-42ghz-processor/6000196769448,SLC8460INC,https://i5.walmartimages.ca/images/Thumbnails/044/905/999999-811842044905.jpg?odnBound=200
1,"CYBERPOWERPC Gamer Ultra GUA610 Gaming Computer with AMD FX-8320 3.5 GHz Processor, English","$1,039.88


",https://www.walmart.ca/en/ip/cyberpowerpc-gamer-ultra-gua610-gaming-computer-with-amd-fx-8320-35-ghz-processor-english/6000196531163,GUA610,https://i5.walmartimages.ca/images/Thumbnails/043/243/999999-811842043243.jpg?odnBound=200
2,"HP Refurbished DC5800 SFF Desktop with Intel Core 2 Duo 3.0GHz Processor + 19"" LCD Monitor","$217.55


",https://www.walmart.ca/en/ip/hp-refurbished-dc5800-sff-desktop-with-intel-core-2-duo-30ghz-processor-19-lcd-monitor/6000196571865,none,https://i5.walmartimages.ca/images/Thumbnails/557/183/999999-62805557183.jpg?odnBound=200
3,Refurbished Dell 745 USFF with C2D 1.8GHz Processor,"$148


",https://www.walmart.ca/en/ip/refurbished-dell-745-usff-with-c2d-18ghz-processor/6000197033746,none,https://i5.walmartimages.ca/images/Thumbnails/044/459/6000197044459.jpg?odnBound=200
4,Dell Refurbished 7010 SFF Desktop with Intel i5 3.2GHz Processor,"$510.78


",https://www.walmart.ca/en/ip/dell-refurbished-7010-sff-desktop-with-intel-i5-32ghz-processor/6000196572028,none,https://i5.walmartimages.ca/images/Thumbnails/557/245/999999-62805557245.jpg?odnBound=200
5,Lenovo M90 SFF Refurbished Desktop with Intel i5 3.2 GHz Processor,"$241.92


",https://www.walmart.ca/en/ip/lenovo-m90-sff-refurbished-desktop-with-intel-i5-32-ghz-processor/6000196151205,none,https://i5.walmartimages.ca/images/Thumbnails/557/128/999999-62805557128.jpg?odnBound=200
6,Refurbished Dell 760 DT/SFF with Intel C2D 2.8GHz Processor + 22'' LCD,"$298


",https://www.walmart.ca/en/ip/refurbished-dell-760-dtsff-with-intel-c2d-28ghz-processor-22-lcd/6000196984438,none,https://i5.walmartimages.ca/images/Thumbnails/012/824/6000197012824.jpg?odnBound=200
7,HP Refurbished DC5800 SFF Desktop with Intel Core 2 Duo 3.0GHz Processor,"$129.58


",https://www.walmart.ca/en/ip/hp-refurbished-dc5800-sff-desktop-with-intel-core-2-duo-30ghz-processor/6000196272736,none,https://i5.walmartimages.ca/images/Thumbnails/557/149/999999-62805557149.jpg?odnBound=200
8,Refurbished HP 5800 TWR with C2D 2.8GHz Processor,"$188


",https://www.walmart.ca/en/ip/refurbished-hp-5800-twr-with-c2d-28ghz-processor/6000197033920,none,https://i5.walmartimages.ca/images/Thumbnails/044/342/6000197044342.jpg?odnBound=200
9,Raspberry Pi™ 16GB NOOBS Operating System MicroSD Card - 83-17305,"$19.99


",https://www.walmart.ca/en/ip/raspberry-pi-16gb-noobs-operating-system-microsd-card-83-17305/6000196488113,none,https://i5.walmartimages.ca/images/Thumbnails/710/904/999999-640522710904.jpg?odnBound=200
10,Refurbished HP 5750 TWR with AMD 2.0GHz Processor,"$208


",https://www.walmart.ca/en/ip/refurbished-hp-5750-twr-with-amd-20ghz-processor/6000197033932,none,https://i5.walmartimages.ca/images/Thumbnails/044/393/6000197044393.jpg?odnBound=200
11,HP Refurbished 6200 SFF Desktop with Intel Pentium DC G620 2.7GHz Processor,"$368.90


",https://www.walmart.ca/en/ip/hp-refurbished-6200-sff-desktop-with-intel-pentium-dc-g620-27ghz-processor/6000196571921,none,https://i5.walmartimages.ca/images/Thumbnails/557/210/999999-62805557210.jpg?odnBound=200
12,Raspberry Pi™ Official Foundation Enclosure for 3 Model B 2 and B+ - 83-17306,"$14.99


",https://www.walmart.ca/en/ip/raspberry-pi-official-foundation-enclosure-for-3-model-b-2-and-b-83-17306/6000196488122,none,https://i5.walmartimages.ca/images/Thumbnails/710/874/999999-640522710874.jpg?odnBound=200
13,"Dell Optiplex 7010 SFF Refurbished Desktop with Intel Core i3-3220 3.3 GHz Processor, English","$299.88


",https://www.walmart.ca/en/ip/dell-optiplex-7010-sff-refurbished-desktop-with-intel-core-i3-3220-33-ghz-processor-english/6000196907702,Optiplex 7010,https://i5.walmartimages.ca/images/Thumbnails/041/843/999999-673983041843.jpg?odnBound=200
14,"Lenovo  Ideacentre Y720 Cube Gaming Desktop Gen Intel® Core™ i7-7700, GTX 1070 Graphics - 90H2000AUS","$2,229.98


",https://www.walmart.ca/en/ip/lenovo-ideacentre-y720-cube-gaming-desktop-gen-intel-core-i7-7700-gtx-1070-graphics-90h2000aus/6000197529772,none,https://i5.walmartimages.ca/images/Thumbnails/547/822/6000197547822.jpg?odnBound=200
15,Refurbished Dell 960 TWR with C2D 2.8GHz Processor,"$188


",https://www.walmart.ca/en/ip/refurbished-dell-960-twr-with-c2d-28ghz-processor/6000197033683,none,https://i5.walmartimages.ca/images/Thumbnails/044/346/6000197044346.jpg?odnBound=200
16,Refurbished HP 5850 SFF with AMD 64x2 3800+ 2.0GHz Processor + Wi-Fi,"$208


",https://www.walmart.ca/en/ip/refurbished-hp-5850-sff-with-amd-64x2-3800-20ghz-processor-wi-fi/6000197034117,none,https://i5.walmartimages.ca/images/Thumbnails/044/354/6000197044354.jpg?odnBound=200
17,"CYBERPOWERPC Gamer Supreme Liquid Cool SLC9900 with AMD Ryzen 7 1800X 3.6GHz Processor, English","$3,038


",https://www.walmart.ca/en/ip/cyberpowerpc-gamer-supreme-liquid-cool-slc9900-with-amd-ryzen-7-1800x-36ghz-processor-english/6000197013429,SLC9900,https://i5.walmartimages.ca/images/Thumbnails/049/295/6000197049295.jpg?odnBound=200
18,Refurbished HP 6305 SFF with AMD 3.4GHz Processor,"$198


",https://www.walmart.ca/en/ip/refurbished-hp-6305-sff-with-amd-34ghz-processor/6000197033884,none,https://i5.walmartimages.ca/images/Thumbnails/044/424/6000197044424.jpg?odnBound=200
19,HP 7800 SFF Refurbished Desktop with Intel Core 2 Duo 2.93 GHz Processor,"$139.52


",https://www.walmart.ca/en/ip/hp-7800-sff-refurbished-desktop-with-intel-core-2-duo-293-ghz-processor/6000196151152,none,https://i5.walmartimages.ca/images/Thumbnails/557/111/999999-62805557111.jpg?odnBound=200
