ID,Name,Price,Link,ModelNumber,Images
0,"Everki Lunar Laptop Briefcase - 15.6in, Black","$119.96


",https://www.walmart.ca/en/ip/everki-lunar-laptop-briefcase-156in-black/6000189478029,none,https://i5.walmartimages.ca/images/Thumbnails/002/093/62183-874933002093.jpg?odnBound=200
1,"Acer Aspire 11.6"" Notebook with C3L9 Intel Celeron N3160 Quad Core 2.24GHz Processor","$428
	

",https://www.walmart.ca/en/ip/acer-aspire-116-notebook-with-c3l9-intel-celeron-n3160-quad-core-224ghz-processor/6000196095309,none,https://i5.walmartimages.ca/images/Thumbnails/011/7_1/999999-888863730117_1.jpg?odnBound=200
2,Asus ZenBook UX330UA Laptop,"$1,299
	

",https://www.walmart.ca/en/ip/asus-zenbook-ux330ua-laptop/6000196820771,none,https://i5.walmartimages.ca/images/Thumbnails/751/6_1/999999-889349647516_1.jpg?odnBound=200
3,"Everki Versa Premium Laptop Bag - 17.3in, Black","$235
	

",https://www.walmart.ca/en/ip/everki-versa-premium-laptop-bag-173in-black/6000189478050,none,https://i5.walmartimages.ca/images/Thumbnails/002/147/62183-874933002147.jpg?odnBound=200
4,Dell Inspiron 15 5000 Series i5559-4681SLV Tulip Laptop,"$728
	

",https://www.walmart.ca/en/ip/dell-inspiron-15-5000-series-i5559-4681slv-tulip-laptop/6000196699368,i5559-4681SLV,https://i5.walmartimages.ca/images/Thumbnails/208/507/999999-884116208507.jpg?odnBound=200
5,"Lenovo N23 80YS000CUS 11.6"" Chromebook 1.6 GHz Intel N3060, 16 GB eMMC, 4 GB RAM","$319
	

",https://www.walmart.ca/en/ip/lenovo-n23-80ys000cus-116-chromebook-16-ghz-intel-n3060-16-gb-emmc-4-gb-ram/6000197029318,80YS000CUS,https://i5.walmartimages.ca/images/Thumbnails/068/458/6000197068458.jpg?odnBound=200
6,HP Chromebook - 14-ak010nr (ENERGY STAR) (N8J81UA),"$348
	

",https://www.walmart.ca/en/ip/hp-chromebook-14-ak010nr-energy-star-n8j81ua/6000197029294,none,https://i5.walmartimages.ca/images/Thumbnails/068/741/6000197068741.jpg?odnBound=200
7,"Acer E5-774G-503H 17.3"" Laptop with Intel Core i5 6200U 2.3 GHz Processor","$849.98


",https://www.walmart.ca/en/ip/acer-e5-774g-503h-173-laptop-with-intel-core-i5-6200u-23-ghz-processor/6000196275456,NX.GG7AA.003,https://i5.walmartimages.ca/images/Thumbnails/309/5_1/999999-888863733095_1.jpg?odnBound=200
8,"Tech Rite by Bond Street Black Prestige Computer Case, 468900BLK","$88
	

",https://www.walmart.ca/en/ip/tech-rite-by-bond-street-black-prestige-computer-case-468900blk/6000068877492,468900BLK,https://i5.walmartimages.ca/images/Thumbnails/217/061/1217061.jpg?odnBound=200
9,HP Spectre x360 13-ac050ca,"$1,789
	

",https://www.walmart.ca/en/ip/hp-spectre-x360-13-ac050ca/6000197138596,none,https://i5.walmartimages.ca/images/Thumbnails/207/806/6000197207806.jpg?odnBound=200
