ID,Name,Price,Link,ModelNumber,Images
0,Canon PIXMA Wireless Inkjet White Printer - MG3020,"$38.98


",https://www.walmart.ca/en/ip/canon-pixma-wireless-inkjet-white-printer-mg3020/6000196371829,none,https://i5.walmartimages.ca/images/Thumbnails/272/932/999999-13803272932.jpg?odnBound=200
1,HP DeskJet 2652 All-in-One Printer,"$59.48


",https://www.walmart.ca/en/ip/hp-deskjet-2652-all-in-one-printer/6000197202467,none,https://i5.walmartimages.ca/images/Thumbnails/235/762/6000197235762.jpg?odnBound=200
2,Canon PIXMA TS5020 Wireless Inkjet All-In-One Black Printer,"$108.98


",https://www.walmart.ca/en/ip/canon-pixma-ts5020-wireless-inkjet-all-in-one-black-printer/6000196750557,none,https://i5.walmartimages.ca/images/Thumbnails/275/681/999999-13803275681.jpg?odnBound=200
3,Samsung ProXpress M3370FD Monochrome All-in-One Laser Printer,"$421


",https://www.walmart.ca/en/ip/samsung-proxpress-m3370fd-monochrome-all-in-one-laser-printer/6000197259798,SL-M3370FD/XAA,https://i5.walmartimages.ca/images/Thumbnails/302/067/6000197302067.jpg?odnBound=200
4,Epson EcoTank Black 664 Replacement Ink Bottle - T664120,"$18.28


",https://www.walmart.ca/en/ip/epson-ecotank-black-664-replacement-ink-bottle-t664120/6000196089984,T664120,https://i5.walmartimages.ca/images/Thumbnails/920/484/999999-10343920484.jpg?odnBound=200
5,Samsung SL-M3870FW/XAA Monochrome Wireless Multifunction Laser Printer,"$461


",https://www.walmart.ca/en/ip/samsung-sl-m3870fwxaa-monochrome-wireless-multifunction-laser-printer/6000197259795,SL-M3870FW/XAA,https://i5.walmartimages.ca/images/Thumbnails/302/109/6000197302109.jpg?odnBound=200
6,Lexmark 35S5703 MX511de Multifunction Laser Printer,"$1,128


",https://www.walmart.ca/en/ip/lexmark-35s5703-mx511de-multifunction-laser-printer/6000197259786,35S5703,https://i5.walmartimages.ca/images/Thumbnails/302/087/6000197302087.jpg?odnBound=200
7,HP Color LaserJet Pro M477fdw All-in-One Laser Printer,"$699.98


",https://www.walmart.ca/en/ip/hp-color-laserjet-pro-m477fdw-all-in-one-laser-printer/6000197259783,CF379A#BGJ,https://i5.walmartimages.ca/images/Thumbnails/302/101/6000197302101.jpg?odnBound=200
8,Xerox WorkCentre 3225 Monochrome All-in-One Laser Printer,"$390.50


",https://www.walmart.ca/en/ip/xerox-workcentre-3225-monochrome-all-in-one-laser-printer/6000197259809,3225/DNI,https://i5.walmartimages.ca/images/Thumbnails/302/049/6000197302049.jpg?odnBound=200
9,HP LaserJet Pro M452NW Laser Printer - Color - Plain Paper Print - Desktop,"$329.99


",https://www.walmart.ca/en/ip/HP-LaserJet-Pro-M452NW-Laser-Printer-Color-Plain-Paper-Print-Desktop/PRD2CB4A4LRX8YU,0,https://i5.walmartimages.com/asr/209120f5-057d-460d-8010-b873bd406c1e_1.9c7c7c633646e1db233f769d97d8bb5a.jpeg?odnBg=ffffff&odnBound=200
10,Canon imageCLASS MF236n Laser Multifunction Printer - Monochrome - Plain Paper Print - Desktop,"$240.75


",https://www.walmart.ca/en/ip/Canon-imageCLASS-MF236n-Laser-Multifunction-Printer-Monochrome-Plain-Paper-Print-Desktop/PRD2U2BUOVDJ3HT,0,"https:data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
11,Brother IntelliFax 4100E Plain Paper Laser Fax/Copier,"$393.71


",https://www.walmart.ca/en/ip/Brother-IntelliFax-4100E-Plain-Paper-Laser-Fax-Copier/PRD5YZU3LB4K2DK,0,"https:data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
