ID,Name,Price,Link,ModelNumber,Images
0,"LG 43"" 4K UHD SMART LED TV - 43UJ6300","$898


",https://www.walmart.ca/en/ip/lg-43-4k-uhd-smart-led-tv-43uj6300/6000196916189,43UJ6300,https://i5.walmartimages.ca/images/Thumbnails/087/624/6000197087624.jpg?odnBound=200
1,"RCA 49"" 4K Ultra HD LED TV","$398


",https://www.walmart.ca/en/ip/rca-49-4k-ultra-hd-led-tv/6000196744049,RLED4945-UHD,https://i5.walmartimages.ca/images/Thumbnails/803/506/999999-058465803506.jpg?odnBound=200
2,"RCA 32"" LED HD TV","$198


",https://www.walmart.ca/en/ip/rca-32-led-hd-tv/6000197280858,RT3205,https://i5.walmartimages.ca/images/Thumbnails/298/613/6000197298613.jpg?odnBound=200
3,"LG 49"" 4K UHD Smart LED with WebOS 3.0 - 49UH6100","$698


",https://www.walmart.ca/en/ip/lg-49-4k-uhd-smart-led-with-webos-30-49uh6100/6000196062331,none,https://i5.walmartimages.ca/images/Thumbnails/245/999/6000197245999.jpg?odnBound=200
4,"Samsung 65"" UHD 4K TV - KU6290","$1,898


",https://www.walmart.ca/en/ip/samsung-65-uhd-4k-tv-ku6290/6000196461431,none,https://i5.walmartimages.ca/images/Thumbnails/756/_01/999999-887276167756_01.jpg?odnBound=200
5,"Samsung 55"" 4K UHD Smart TV - UN55MU6300FXZC","$1,098


",https://www.walmart.ca/en/ip/samsung-55-4k-uhd-smart-tv-un55mu6300fxzc/6000196978494,none,https://i5.walmartimages.ca/images/Thumbnails/142/658/6000197142658.jpg?odnBound=200
6,"RCA 55"" 4K ULTRA HD TV","$498


",https://www.walmart.ca/en/ip/rca-55-4k-ultra-hd-tv/6000197046433,RTU5540,https://i5.walmartimages.ca/images/Thumbnails/142/945/6000197142945.jpg?odnBound=200
7,"LG 65"" 4K Super UHD SMART LED TV, 65SJ8000","$1,998


",https://www.walmart.ca/en/ip/lg-65-4k-super-uhd-smart-led-tv-65sj8000/6000196916222,65SJ8000,https://i5.walmartimages.ca/images/Thumbnails/087/608/6000197087608.jpg?odnBound=200
8,KD-70X690E 70” class (69.5” diag) 4K HDR Ultra HD TV,"$2,198


",https://www.walmart.ca/en/ip/kd-70x690e-70-class-695-diag-4k-hdr-ultra-hd-tv/6000197300209,none,https://i5.walmartimages.ca/images/Thumbnails/334/226/6000197334226.jpg?odnBound=200
9,"RCA 32"" ROKU SMART TV","$238


",https://www.walmart.ca/en/ip/rca-32-roku-smart-tv/6000196957265,RTR3261-CA,https://i5.walmartimages.ca/images/Thumbnails/143/049/6000197143049.jpg?odnBound=200
10,"RCA 50"" LED HD TV","$378


",https://www.walmart.ca/en/ip/rca-50-led-hd-tv/6000197280861,RT5030,https://i5.walmartimages.ca/images/Thumbnails/298/615/6000197298615.jpg?odnBound=200
11,"RCA 20"" LED TV/DVD COMBO","$148


",https://www.walmart.ca/en/ip/rca-20-led-tvdvd-combo/6000197203912,RTDVD2005,https://i5.walmartimages.ca/images/Thumbnails/205/612/6000197205612.jpg?odnBound=200
12,"RCA 19"" LED HD TV","$98


",https://www.walmart.ca/en/ip/rca-19-led-hd-tv/6000197045450,RT1970,https://i5.walmartimages.ca/images/Thumbnails/235/538/6000197235538.jpg?odnBound=200
