ID,Name,Price,Link,ModelNumber,Images
0,Apple iPad mini 4 Wi-fi 128 GB Gold Tablet Silver,"$549
	

",https://www.walmart.ca/en/ip/apple-ipad-mini-4-wi-fi-128-gb-gold-tablet-gold/6000195392798,MK9Q2CL/A,https://i5.walmartimages.ca/images/Thumbnails/368/872/999999-888462368872.jpg?odnBound=200
1,Apple iPad Wi-fi 32 GB Tablet Silver,"$449
	

",https://www.walmart.ca/en/ip/apple-ipad-wi-fi-32-gb-tablet-space-grey/6000196990419,none,https://i5.walmartimages.ca/images/Thumbnails/991/506/6000196991506.jpg?odnBound=200
2,Apple iPad Wi-fi 128 GB Tablet Silver,"$579
	

",https://www.walmart.ca/en/ip/apple-ipad-wi-fi-128-gb-tablet-gold/6000196990425,none,https://i5.walmartimages.ca/images/Thumbnails/991/959/6000196991959.jpg?odnBound=200
3,Apple 10.5-inch iPad Pro 256gb Silver,"$999
	

",https://www.walmart.ca/en/ip/apple-105-inch-ipad-pro-256gb-space-grey/6000197249447,none,https://i5.walmartimages.ca/images/Thumbnails/263/912/6000197263912.jpg?odnBound=200
4,"Apple 9.7"" iPad Pro Tablet Rose Gold","$899
	

",https://www.walmart.ca/en/ip/apple-97-ipad-pro-tablet-gold/6000196045488,MLMX2CL/A,https://i5.walmartimages.ca/images/Thumbnails/809/085/999999-888462809085.jpg?odnBound=200
5,Apple iPad mini 4  WiFi + Cellular 32GB Tablet,"$639
	

",https://www.walmart.ca/en/ip/apple-ipad-mini-4-wifi-cellular-32gb-tablet/6000196717962,none,https://i5.walmartimages.ca/images/Thumbnails/166/753/999999-190198166753.jpg?odnBound=200
6,Apple 10.5-inch iPad Pro 64gb Space Grey Rose Gold,"$869
	

",https://www.walmart.ca/en/ip/apple-105-inch-ipad-pro-64gb-space-grey-space-grey/6000197249480,none,https://i5.walmartimages.ca/images/Thumbnails/257/059/6000197257059.jpg?odnBound=200
7,Apple 10.5 inch iPad Pro 512gb Space Grey,"$1,259
	

",https://www.walmart.ca/en/ip/apple-105-inch-ipad-pro-512gb-silver/6000197249459,none,https://i5.walmartimages.ca/images/Thumbnails/263/881/6000197263881.jpg?odnBound=200
8,"Samsung 7"" Galaxy Tab A Black","$199.99


",https://www.walmart.cahttp://cat.hlserve.com/beacon?fid=176&hl_qs=RA0Gf5D3yq%2fAbvDRgouIKWiG%2be%2b11b%2fQxieIr0gbmC2CJ86wVZL1WB3IYt1cCEKfSmn0BfaYtQuLjyHviOAmBMi3ElxQjvltKCHRQHABgHpjgNUkVESLmN%2bc%2b9USe3JAZmH2Kf4xyiY6a%2bfHIYhN7b4KBBzrlRQHKuK%2bUn7NQxQq%2bBvolN4LjmKw0cVRaVYB%2bG%2fyv3apJU1uy5yCuotqtxWEbT5n3wB0qtne6vI%2bfrrHIecSYwTZ5F28A%2faOs0iStpxBbuBlwJ5mUh37uFwMQV0h%2bYfPK0KV86Me7R%2bXoUT5svpyPHbIQUzrF%2bTJLWy8cNr0rn%2fO7vZCbfKy5ffTdifQvRMn1m8P4usByH6TQQRN6OEx%2bdnfp2tOc%2bO%2bk%2fZip2gJpQ8cz9bYhUZO3eljZKRMi8VjXS9%2bruF0%2bRZZi5kzstf%2fHCrRvMo%2fk45UzoJIE4u7vecP1jtLdFTjGGwou%2fiNMQakao8vnX%2febB12%2fEnIkemjwgHVg65uB0AYEU%2biS00MafFVA5nHBhuz24CVMWG1r6%2b%2fpm4Xl8SAYBTmbyK5QnY%2bVyI%2bqX4Rp3chTNSNQTdaO32hod5SOQDw%2b4BDU0F12sH2hyJK8mXt%2b89xASJIxo%2bAjSboaGcdxHLhbOfGLbI2DY%2fVP44uizVc6ggrXZye98CH69qQQGNCYONRwIcQsCdecSqDsP0i2dmFqPw9k%2b7OCngPVT%2ffHByR9mPn%2fbbVlz0n%2f08oDodvY2qKHjFbuxrjcC0guktUsMR7pberhN5ep%2b7jqkoJTyVQp8fHbn1Nq5p52MfqIGXHqjFmDBgme4wA8RlHvpaS6G1q%2fvkpEH7LRKTyHLLSmanPFyk9yFMEf%2bYcapIco3n0DN86eIJEepwNwTiQ1ihtmXnGJGAAO2LVwn0f%2f1IgyFvCsLFW8hZveTG%2br2yRDPLMuEIcK2J6p7VSBS2gqpvH9Kth%2bZwtJu7yJwTeETGLHtWIIrKzxSh8BVZv7EdsoOan8Mz7J3scerQGjhpCy6%2bsvKYEy4QxFCSUq%2b4BkT9ayHvp1UhElWw3VKucV8Pqct0PyT2NVBddmULiGvrS9a%2bxYqVbfxth&ev=1&action=click&impressionpid=fe160683-2cfc-41ea-93eb-d2511d99cf7f%3a0&rn=143053825&hmguid=5e7dda05-e989-49ce-a5a0-c2594d250e77&dest=http%3a%2f%2fwww.walmart.ca%2fen%2fip%2fsamsung-7-galaxy-tab-a-white%2f6000195967321,none,https://i5.walmartimages.ca/images/Thumbnails/149/578/887276149578.jpg?odnBound=200
9,"Samsung 9.6"" Galaxy E Tablet Black","$329.99


",https://www.walmart.cahttp://cat.hlserve.com/beacon?fid=176&hl_qs=RA0Gf5D3yq%2fAbvDRgouIKWiG%2be%2b11b%2fQxieIr0gbmC2CJ86wVZL1WB3IYt1cCEKfSmn0BfaYtQuLjyHviOAmBMi3ElxQjvltKCHRQHABgHpjgNUkVESLmN%2bc%2b9USe3JAZmH2Kf4xyiY6a%2bfHIYhN7b4KBBzrlRQHKuK%2bUn7NQxQq%2bBvolN4LjmKw0cVRaVYB%2bG%2fyv3apJU1uy5yCuotqtxWEbT5n3wB0qtne6vI%2bfrrHIecSYwTZ5F28A%2faOs0iStpxBbuBlwJ5mUh37uFwMQV0h%2bYfPK0KV86Me7R%2bXoUT5svpyPHbIQUzrF%2bTJLWy8cNr0rn%2fO7vZCbfKy5ffTdm%2btFV6MInjuTKSNwh%2bN5yfbT1SB%2f9FtMXZlyr26ZlIJnhO%2ftAU2yTFwaKzln%2fUcIwCUS7Pgq2YcyayTbO3TDn%2fuqJ0AH%2bCpFw0u%2fo6k3Y4KddDdF%2foBgrLhh9FjvTGQ9Iap0YTSIJYgHkawVojY10RP%2byACANKSiBw6HxjS3TXd55118CeDwnrpOWqWdOjb%2bh2YuwZZ5%2bls4prVhT91EyHDYobM25p9SET8XpfyOiEnvnirM2Fn9uoag0XtAcEPUI2C20uykxgHPwCXn%2bV2W7D7QEalNUfjt%2bOtx0wlbamF4a%2bC1akP1MDNhnYB7zV7du71LJaM50LFyTT9LMphuiOnhmPZzw%2f1T17DXltSX1q7AmGKwTEtL5%2fK34bUZnsO6STrBQOBE4NZsOaqjjH2utEwetmVmxkqXmb%2fG9zNInv0B8zsKq3uNQ8%2fB%2bQtw2KpoGDVLeVvPoaiYJqjervcBWmiji%2fwJ%2fJDJmhT24ug0ZyVBjjIswYXMJ8Xe0RRODXYkwERSiNDfb8JzCFaPr3yY9L7TitNsx4VcmQdXeFuTuhLR%2fd4c07S%2brSzdgA7k%2f1yVLRXyxQEs6ayqdvao3NchGBstF0J9AVtDzU6yU68FW8Y%2f1x11WN2lnIUhko%2fw6TSDGs6ob5Y65WkuhTTsfNxZXCU6xpcLb37w7NTXW67E6TfGYRpusFM5h594104lFmOB76mfD%2b4njEJQqrAf2HeeusJV3HBNKeydFDueUeSegA5&ev=1&action=click&impressionpid=fe160683-2cfc-41ea-93eb-d2511d99cf7f%3a1&rn=305808990&hmguid=5e7dda05-e989-49ce-a5a0-c2594d250e77&dest=http%3a%2f%2fwww.walmart.ca%2fen%2fip%2fsamsung-96-galaxy-e-tablet-black%2f6000195362680,none,https://i5.walmartimages.ca/images/Thumbnails/113/784/999999-887276113784.jpg?odnBound=200
