ID,Name,Price,Link,Images,Model
0,"Ematic EGD172BL Dual Core Processor 1.10 GHz 512 MB Memory 7.0"" 1024 x 600 Tablet Android 4.4 (KitKat) Leatherette texture back",70.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8CY2YH4381,https://images10.newegg.com/ProductImageCompressAll300/V01M_1_2014082814682257.jpg?ex=2,none
1,"Indigi® Phablet 7"" Android 4.4 Tablet Phone 3G GSM+WCDMA Unlocked AT&T T-Mobile",149.82,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0778,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014120799706707.jpg?ex=2,none
2,"iRULU eXpro X1 7"" Google Android 4.4 Tablet - GMS Certified by Google, 1024*600 HD Resolution, Quad Core, 8GB Nand Flash - Pink",65.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAA7M3S59222,https://images10.newegg.com/ProductImageCompressAll300/A4TX_130977526614692961LmxiPIfmdO.jpg?ex=2,X1783
3,Ematic EGQ223SKPR 10 Inch Andrd5.1 Lollipp Tblt Prp,114.99,https://www.newegg.ca/Product/Product.aspx?Item=2RC-00EH-00003CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/V00Y_1_20160902709447181.jpg?ex=2,none
4,"Indigi® 7"" Android 4.4 Tablet PC + 3G SmartPhone 2-in-1 UNLOCKED AT&T T-Mobile",149.76,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0820,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014120799706745.jpg?ex=2,none
5,"iRULU 7-Inch Quad Core Kids Tablet - GMS Certified by Google, Android 4.4 Kitkat, 1024*600 HD Resolution, 1GB RAM 8GB Nand Flash - Yellow",72.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAA7M3S59233,https://images10.newegg.com/ProductImageCompressAll300/A4TX_131018072103985453KRLdMKM02U.jpg?ex=2,Y1757
6,"Indigi® Slim 7"" WiFi Tablet PC w/ Sim Card Slot - Support 3G Wireless GSM AT&T T-Mobile",128.10,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948T0203,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20151027554341721.jpg?ex=2,none
7,"Indigi® 7.0"" Android 4.4 DualCore Tablet PC Phablet GSM 3G Phone FREE Bluetooth Unlocked",149.75,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0826,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014120799706750.jpg?ex=2,none
8,"iRULU eXpro X1 7"" Google Android 4.4 Tablet, GMS Certified by Google, 1024*600 HD Resolution, Quad Core, 16GB Nand Flash - Purple",49.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAA7M3S59225,https://images10.newegg.com/ProductImageCompressAll300/A4TX_130808250532893239zxPXWXWM1P.jpg?ex=2,none
9,"SAMSUNG Galaxy Tab A SM-T580-BLK Samsung Exynos 7870 (1.60 GHz) 2 GB Memory 16 GB Flash Storage 10.1"" 1920 x 1200 Tablet Android 6.0 (Marshmallow) Black",498.72,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5GR1635,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-132-087-01.jpg?ex=2,SM-T580-BLK
10,"ASUS ZenPad 3S Z500M-C1-SL MTK MT8176 (2.1 GHz) 4 GB LPDDR3 Memory 64 GB eMMC 9.7"" IPS 2048 x 1536 Tablet Android 6.0 (Marshmallow) Glacier Silver",469.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834234457,https://images10.newegg.com/ProductImageCompressAll300/34-234-457-V01.jpg?ex=2,Z500M-C1-SL
11,"Indigi® 3G Phablet 7"" Android 4.4 KK Tablet Phone - GSM Unlocked - AT&T T-Mobile",159.81,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0805,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014120799706795.jpg?ex=2,none
12,"Worry Free Gadgets 7DRK-Q Quad Core Processor 1.80 GHz 512 MB Memory 4 GB Flash Storage 7.0"" 800 x 480 Tablet Android 4.4 (KitKat) Pink",87.15,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5UK4209,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A00Y_1_20170611223616313.jpg?ex=2,7DRK-Q
13,Created Q9R best selling Bluetooth 4.0 IPS screen HD quad-core 9.7-inch dual card dual standby 3G phone tablet PC naked eye 3D 1024*768 IPS screen quad-core,256.45,https://www.newegg.ca/Product/Product.aspx?Item=9SIAB964U58964,https://images10.newegg.com/ProductImageCompressAll300/A6U4_130790075943216350wda2d2K42b.jpg?ex=2,none
14,"ASUS Zenpad 10 Z300M-A2-GR MTK MT8163 (1.30 GHz) 2 GB LPDDR3 Memory 16 GB 10.1"" IPS 1280 x 800 Tablet Android 6.0 (Marshmallow) Dark Gray",249.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834234103,https://images10.newegg.com/ProductImageCompressAll300/34-234-103-27.jpg?ex=2,Z300M-A2-GR
15,"Cube U25GT Android 4.1 Tablet PC 7"" RK2928 Cortex A9 512MB 8GB WiFi HDMI Camera",178.79,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9UP3HB7575,https://images10.newegg.com/ProductImageCompressAll300/A86V_1_20150704468867605.jpg?ex=2,none
16,"iRULU X1 Basics & Beyond 7-Inch Android 4.4 KitKat Tablet with GMS Certification,1024*600 HD Resolution, Quad Core RAM 512MB ROM 8GB - Black",65.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAA7M3S59217,https://images10.newegg.com/ProductImageCompressAll300/A4TX_130977506241927489qpLCOkqvWG.jpg?ex=2,X1781
17,"Huawei + Harman Kardon MediaPad M3 8.0 Octa Core 8.4"" Android (Marshmallow) + EMUI Tablet 4 GB Memory 32 GB Flash Storage, Moonlight Silver (US Warranty)",399.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834324016,https://images10.newegg.com/ProductImageCompressAll300/34-324-016-08.jpg?ex=2,BTV-W09A
18,Indigi® 7.0-inch Phablet Tablet PC 3G SmartPhone WiFi GSM Unlocked AT&T T-Mobile (Black),127.70,https://www.newegg.ca/Product/Product.aspx?Item=9SIA91948T0274,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_20151027554332033.jpg?ex=2,none
19,"Indigi® Phablet 7"" Android 4.4 Tablet 3G Phone - GSM Unlocked AT&T T-Mobile Straightalk",159.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9193CH0969,https://images10.newegg.com/ProductImageCompressAll300/A45W_1_2014120799706681.jpg?ex=2,none
