ID,Name,ModelNumber,Price,Link,Images
0,Nikon D5600 Digital SLR Camera with AF-P DX NIKKOR 18-55mm VR Lens,none,989.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C357T5802,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4C3_131291428348302426CcUa9eIcon.jpg?ex=2
1,FUJIFILM INSTAX SHARE SP-2 GOLD,600016189,227.61,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SC62J2020,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/0ZS-000D-001M1-S07.jpg?ex=2
2,Nikon D5600 24.2 MP DX-format CMOS Sensor Full HD Pro DSLR Camera - Body Only (D5600BODY),none,919.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0436,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170628772605644.jpg?ex=2
3,Leica SL (Typ 601) Mirrorless Digital Camera,none,"9,699.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C358P1709,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4C3_131304653015636829T1jL2dP3t1.jpg?ex=2
4,GARMIN BIKE MOUNT SMALL TUBE FOR VIRB,none,58.58,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48U7233,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170614593531116.jpg?ex=2
5,GARMIN BIKE MOUNT LARGE TUBE MOUNT FOR VIRB,none,64.17,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48S8205,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170509197528175.jpg?ex=2
6,GARMIN USB POWER ADAPTER FOR VIRB,none,64.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R4DY6942,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170504940609101.jpg?ex=2
7,"Bell & Howell Splash WP7 Waterproof Digital Camera, Black #WP7 BK",WP7-BK,103.79,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5HU4129,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4P0_1_20150423354769101.jpg?ex=2
8,Kodak 8617763 Black&Yellow&Red FUN SAVER Single Use Camera,8617763,19.58,https://www.newegg.ca/Product/Product.aspx?Item=9SIA66K5WB0372,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-170-351-02.jpg?ex=2
9,Shure SRH240A Professional Quality Headphones,none,79.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIACUK5CJ1982,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A1T5_1_20130827158726635.jpg?ex=2
10,CANON VIXIA HF R82 CAMCORDER BODY,1958C002,780.15,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5SV6112,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A3S2_131410815910637013ALxe8SfxLa.jpg?ex=2
11,Canon PowerShot 360 HS 20.2 Megapixel Compact Camera - Purple,1081C001,229.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC46N4872,https://images10.newegg.com/ProductImageCompressAll300/30-120-838-01.jpg?ex=2
12,WASPCAM CAMO ACTION CAMERA,none,385.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB5UY1495,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4M5_1_20170617327529043.jpg?ex=2
13,PYLE AUDIO - HOME A/V               PHTCM48              WATERPROOF NIGHT VISION WILD,PHTCM48,228.04,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R49T1050,https://images10.newegg.com/ProductImageCompressAll300/A98C_1_201707291328395222.jpg?ex=2
14,COLEMAN C9WP-Y 20.0-Megapixel Xtreme3 HD Video Waterproof Digital Camera (Yellow),C9WP-Y,158.96,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48T9839,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336544532.jpg?ex=2
15,Pocket Portable Hidden Mini 720p TrueHD Spy Camcorder Video + Photo Rechargeable Surveillance DVR w/ Integrated Mic + HDMI & USB Output + 32GB MicroSD,none,184.79,https://www.newegg.ca/Product/Product.aspx?Item=9SIA93C5070430,https://images10.newegg.com/ProductImageCompressAll300/A93C_1_201610211489681136.jpg?ex=2
16,Covert Desk Spy Camera High Compression 720p HD Audio Video Surveillance Recorder with Built-in Rechargeable Battery + HDMI Output Port +16GB MicroSD,none,171.59,https://www.newegg.ca/Product/Product.aspx?Item=9SIA93C5070431,https://images10.newegg.com/ProductImageCompressAll300/A93C_1_201610212035473606.jpg?ex=2
17,COLEMAN 2V9WP-Y 20.0 Megapixel Duo2 Dual-Screen Waterproof Digital Camera (Yellow),2V9WP,156.04,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48V7446,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336541816.jpg?ex=2
18,COLEMAN 2V9WP-R 20.0 Megapixel Duo2 Dual-Screen Waterproof Digital Camera (Red),2V9WP-R,156.04,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48T5582,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336541804.jpg?ex=2
19,COLEMAN 2V9WP-O 20.0 Megapixel Duo2 Dual-Screen Waterproof Digital Camera (Orange),2V9WP-O,156.04,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48V8655,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336541788.jpg?ex=2
20,COLEMAN C9WP-BL 20.0-Megapixel Xtreme3 HD Video Waterproof Digital Camera (Blue),C9WP-BL,158.96,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48S5065,https://images10.newegg.com/ProductImageCompressAll300/A389_1_20140422504049484.jpg?ex=2
21,COLEMAN C9WP-R 20.0-Megapixel Xtreme3 HD Video Waterproof Digital Camera (Red),C9WP-R,158.96,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48S6284,https://images10.newegg.com/ProductImageCompressAll300/A4M5_1_20160303650796400.jpg?ex=2
