ID,Name,Price,Link,Images
0,"Nikon AW130 Waterproof Digital Camera (Yellow) + Quick Release Floating Strap + Point & Shoot Carrying Case + 16GB SD Memory Card + 8"" Gripster + 3 Piece Screen Protectors + Micro HDMI Cable & More!",424.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C35HT6722,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4C3_131345087788904975RlnzQhh726.jpg?ex=2
1,"ACTIVEON CGB10W 14 Waterproof CX Plus Digital Camera, 2"" LCD, Gold",143.99,https://www.newegg.ca/Product/Product.aspx?Item=1A9-005C-00001CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/ACYN_1_20170905496688995.jpg?ex=2
2,Nikon D5600 DSLR Camera with Nikon AF-S DX NIKKOR 35mm f/1.8G Lens 14PC Accessory Bundle - International Version (No Warranty),"1,199.95",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C356B2056,https://images10.newegg.com/ProductImageCompressAll300/A4C3_131268477917394303VeMnw7rcLb.jpg?ex=2
3,Nikon D5300 Black 24.2 MP Digital SLR Camera with AF-S NIKKOR 58mm f/1.4G lens,799.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0418,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170628495782715.jpg?ex=2
4,Canon EOS M5 Mirrorless Digital Camera with EF-M 15-45mm f/3.5-6.3 IS STM Lens,"1,588.99",https://www.newegg.ca/Product/Product.aspx?Item=1A9-0002-00052CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4P0_1_201612061322098431.jpg?ex=2
5,Bell+Howell Slim S16-R 16Digital Camera with 2.7-Inch LCD (Red),223.07,https://www.newegg.ca/Product/Product.aspx?Item=9SIAEGZ6401537,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE7U_1_201707071248272974.jpg?ex=2
6,Nikon D5600 DSLR Camera with Nikon AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR Lens 14PC Accessory Bundle – Includes 64GB SD Memory Card + 2 Replacement Batteries + MORE - International Version,"1,199.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C354X5961,https://images10.newegg.com/ProductImageCompressAll300/A4C3_131257732847480716dmOsKH8i3C.jpg?ex=2
7,OLYMPUS OM-D E-M10 Mark II Black with 14-42 II R Lens,799.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16830111707CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-111-707-01.jpg?ex=2
8,Canon 24.2MP EOS M3 EF-M 18-55mm IS STM Kit - Black (EOSM3KITBLK),999.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0439,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170628288444395.jpg?ex=2
9,Leica X TYP 113 Digital Camera Black #18440,"3,327.45",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C350R2865,https://images10.newegg.com/ProductImageCompressAll300/A4P0_1_20150619452146083.jpg?ex=2
10,Samsung EFC-GC1S,23.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8XN58N8888,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/V0CK_1_20170613550054648.jpg?ex=2
11,Nikon D3400 Body Only - Black (D3400BODY),519.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0454,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281942425562.jpg?ex=2
12,Nikon D3300 with 18-55 mm VR II lens + 55-200 VR II lens + Nikon Compact DSLR Gadget Bag,899.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3JP5485,https://images10.newegg.com/ProductImageCompressAll300/A86M_130922711324824782Ga4bLNraGT.jpg?ex=2
13,"Fotodiox Lens Mount Adapter, C-Mount Lens to Pentax Q Series Cameras",46.27,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5JV4132,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A9M3_1_20170206497915870.jpg?ex=2
14,"CANON SX720 RED HIGH-END, ADVANCED DIGITAL CAMERA",399.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7DC6BB2946,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A7DC_131485910032410277luda5DbdTa.jpg?ex=2
15,Canon PowerShot ELPH 180 20.0 MP 8x Optical Zoom Digital Camera - Silver (ELPH180SILVER),159.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0201,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281648555030.jpg?ex=2
16,"Canon Powershot 20.2MP, 25x Optical Zoom Digital Camera - Black (SX620BLACK)",369.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0747,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706282120621647.jpg?ex=2
17,Nikon D5600 Digital SLR Camera with AF-P DX NIKKOR 18-55mm VR Lens,989.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C355B1191,https://images10.newegg.com/ProductImageCompressAll300/A4C3_1312665061597789089SSfiWQiss.jpg?ex=2
18,Canon EOS M10 15-45mm IS STM Kit - White (EOSM10KITWHITE),729.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0427,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281951477479.jpg?ex=2
19,Olympus OM-D E-M10 Mark II Mirrorless Micro Four Thirds Digital Camera with 14-42mm and 40-150mm Lenses,949.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16830111708CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-111-708-01.jpg?ex=2
20,Canon PowerShot ELPH 360 HS 20.2 MP 12x Optical Zoom Digital Camera - Black (ELPH360HSBLACK),269.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0191,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170628154397368.jpg?ex=2
21,FUJIFILM INSTAX SHARE SP-2 SILVER,240.01,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SC62J3258,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/0ZS-000D-001M0-S07.jpg?ex=2
22,Nikon COOLPIX L32 20MP Digital Camera - 5x Wide Optical Zoom - Black (L32BLACK),119.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0190,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281141472685.jpg?ex=2
23,Nikon D7100 1515 Black 24.1 MP Digital SLR Camera with 18-105mm VR Lens,"1,199.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3203860,https://images10.newegg.com/ProductImageCompressAll300/30-113-512-04.jpg?ex=2
24,Canon PowerShot ELPH 360 HS 20.2 MP 12x Optical Zoom Digital Camera - Silver (ELPH360HSSILVER),269.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0189,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281392837237.jpg?ex=2
25,Nikon D7100 1513 Black 24.1 MP Digital SLR Camera - Body,949.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3204875,https://images10.newegg.com/ProductImageCompressAll300/30-113-511-02.jpg?ex=2
26,Canon EOS M6 EF-M 15-45mm IS STM Camera Kit - Silver (EOSM61545KITSIL),"1,149.00",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0767,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281850472307.jpg?ex=2
27,"Nikon DSLR DX Kit 24.2MP HD Video with 3"" LCD Display and 18-55mm f / 3.6-5.6 VR Lens - Black (D3400KIT)",649.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0425,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170628708921169.jpg?ex=2
28,Nikon CoolPix A10 NIKKOR Lens with 5x Optical Zoom Camera (A10BLACK),119.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0197,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281951021050.jpg?ex=2
29,"Butler Creek Blizzard See Thru Scope Cover, Size #1 (1.00 to 1.05-Inch)",182.62,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5E52541,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A9M3_1_201702061473912939.jpg?ex=2
30,Nikon D5600 Digital SLR Camera (Body Only),899.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C356B1880,https://images10.newegg.com/ProductImageCompressAll300/A4C3_131268471518628746LB25w1rahT.jpg?ex=2
31,Dell - Riser Card - For Poweredge R420,51.29,https://www.newegg.ca/Product/Product.aspx?Item=9SIA66K5TU4171,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A824_1_20151203578183330.jpg?ex=2
32,"Nikon AW130 Waterproof Digital Camera (Yellow) + Extended Life Replacement Battery (EN-EL12) + Point & Shoot Carrying Case + 32GB SD Memory Card + Quick Release Floating Strap + 8"" Gripster & More!",429.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C35HT6734,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4C3_131345094126223109SQVj8pQAEP.jpg?ex=2
33,Canon 24.2MP EOS M3 EF-M 18-55mm IS STM Kit - White (EOSM3KITWHI),999.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0442,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281032281189.jpg?ex=2
34,Canon PowerShot ELPH 190 IS 20.0 MP 12x Optical Zoom Digital Camera - Red (ELPH190ISRED),209.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0196,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281730827203.jpg?ex=2
35,Canon Powershot G Series 9X Mark II 20.1 MP 3x Optical Zoom NFC Wi-Fi Digital Camera - Black (POWERSHOTG9XMIIB),649.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0751,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281962775919.jpg?ex=2
36,Nikon D7100 DSLR with AF-S DX NIKKOR 18-140MM f/3.5-5.6 VR Lens (D7100KIT),"1,329.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0449,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170628386755414.jpg?ex=2
37,Casio EXILIM EX-TR50 Self-portrait Beauty Digital Camera - White,999.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C353D9158,https://images10.newegg.com/ProductImageCompressAll300/A4C3_131245674958624253EkpfjiBkAX.jpg?ex=2
38,Panasonic DMC-GX8KBODY LUMIX GX8 Interchangeable Lens (DSLM) Silver - Camera Body Only,"1,099.95",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C352H3212,https://images10.newegg.com/ProductImageCompressAll300/A4C3_1312327190922407675rd78dU9CB.jpg?ex=2
39,Lumix GX850 4K Mirrorless ILC Camera 16 Megapixels 4K WiFi 12-32mm Mega O.I.S. Lens Kit- Black (DCGX850KK),699.95,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0481,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281107242583.jpg?ex=2
40,Canon Powershot G Series 9X Mark II 20.1 MP 3x Optical Zoom NFC Wi-Fi Digital Camera - Silver (POWERSHOTG9XMIIS),649.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WB0752,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706281631154450.jpg?ex=2
41,GARMIN ADJUSTABLE MOUNTING  ARMS KIT FOR VIRB,58.16,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48S9245,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_201706211296142834.jpg?ex=2
42,GARMIN USB POWER ADAPTER FOR VIRB,64.48,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R4DY6942,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170504940609101.jpg?ex=2
43,GARMIN BIKE MOUNT SMALL TUBE FOR VIRB,58.16,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48U7233,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170614593531116.jpg?ex=2
44,GARMIN ANTI GLARE SCREEN PROTECTOR FOR VIRB,42.03,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48U1728,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_201607061792660863.jpg?ex=2
45,GARMIN BIKE MOUNT LARGE TUBE MOUNT FOR VIRB,63.70,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48S8205,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170509197528175.jpg?ex=2
46,GARMIN HEAD STRAP MOUNT FOR VIRB,59.63,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48S5453,https://images10.newegg.com/ProductImageCompressAll300/A90R_1_20170617650464103.jpg?ex=2
47,Kodak 8951428 Black Power Flash Single Use Camera 2 PACK 27 EXP,20.48,https://www.newegg.ca/Product/Product.aspx?Item=9SIACMA5SC8683,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-170-354-02.jpg?ex=2
48,Minolta MN35Z 1080p 35x Zoom Wi-Fi Digital Camera (Red),415.03,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R67P2404,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A63G_1_201709011306839226.jpg?ex=2
49,RAND MCNALLY DASH300 DASHCAM 300 WITH SUPER HD,289.44,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5VF6017,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4M5_1_20170618689139061.jpg?ex=2
50,Pocket Portable Hidden Mini 720p TrueHD Spy Camcorder Video + Photo Rechargeable Surveillance DVR w/ Integrated Mic + HDMI & USB Output + 32GB MicroSD,184.79,https://www.newegg.ca/Product/Product.aspx?Item=9SIA93C5070430,https://images10.newegg.com/ProductImageCompressAll300/A93C_1_201610211489681136.jpg?ex=2
51,Covert Desk Spy Camera High Compression 720p HD Audio Video Surveillance Recorder with Built-in Rechargeable Battery + HDMI Output Port +16GB MicroSD,171.59,https://www.newegg.ca/Product/Product.aspx?Item=9SIA93C5070431,https://images10.newegg.com/ProductImageCompressAll300/A93C_1_201610212035473606.jpg?ex=2
52,"Panasonic Lumix DMC-ZS100 Digital Camera, 20.1MP, Silver #DMC-ZS100S",889.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C35AS7182,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4P0_1_20160401660260203.jpg?ex=2
53,Canon PowerShot G5 X Black 20.2 MP 4.2X Optical Zoom 25mm Wide Angle Digital Camera,949.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA86M3H43997,https://images10.newegg.com/ProductImageCompressAll300/30-120-833-01.jpg?ex=2
54,"Kensington SP25 Laptop Backpack 15.6""/39.6cm",165.84,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE505Y09061,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/V09P_1_20150630466636250.jpg?ex=2
55,Coleman 2v8wp-P 18.0-Megapixel Duo 2v8wp Dual-Screen Waterproof Hd Digital Camera (purple)  7.20in. x 6.30in. x 2.70in.,140.43,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5DY8910,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/01G-015W-00024-S01.jpg?ex=2
56,Fujifilm FinePix XP120 16.4 Megapixel Compact Camera - Blue,211.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16830122700CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/cs.jpg?ex=2
57,COLEMAN 2V9WP-Y 20.0 Megapixel Duo2 Dual-Screen Waterproof Digital Camera (Yellow),154.91,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48V7446,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336541816.jpg?ex=2
58,Coleman 2v8wp-O 18.0-Megapixel Duo 2v8wp Dual-Screen Waterproof Hd Digital Camera (orange)  7.20in. x 6.30in. x 2.70in.,140.43,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5E97177,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/01G-015W-00020-S01.jpg?ex=2
59,COLEMAN 2V9WP-P 20.0 Megapixel Duo2 Dual-Screen Waterproof Digital Camera (Purple),154.91,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R48V4053,https://images10.newegg.com/ProductImageCompressAll300/A63G_1_2014092336541798.jpg?ex=2
60,Coleman C20wp-Bl 18.0-Megapixel C20wp Xtreme Hd Waterproof Digital Camera (blue)  7.00in. x 6.30in. x 2.60in.,125.96,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5DZ5748,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A63G_1_201704041489029810.jpg?ex=2
61,Kodak 8617763 Black&Yellow&Red FUN SAVER Single Use Camera,13.27,https://www.newegg.ca/Product/Product.aspx?Item=9SIACMA5SC8689,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/30-170-351-02.jpg?ex=2
62,Canon EOS-1D X Mark II Digital SLR Camera,"7,799.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA4C350R3305,https://images10.newegg.com/ProductImageCompressAll300/A1CZ_1_20160707584757887.jpg?ex=2
