ID,Name,ModelNumber,Price,Link,Images
0,"TOSHIBA Laptop Tecra A50-01R01S Intel Core i7 7th Gen 7500U (2.70 GHz) 4 GB Memory 1 TB HDD Intel HD Graphics 620 15.6"" Windows 10 Pro 64-Bit",A50-01R01S,899.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834217481,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-217-481-Z01.jpg?ex=2
1,"Lenovo Laptop ThinkPad E560 (20EV002FUS) Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 15.6"" Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro)",E560 (20EV002FUS),599,https://www.newegg.ca/Product/Product.aspx?Item=1TS-000E-04MH5,https://images10.newegg.com/ProductImageCompressAll300/1TS-000E-04MH5-08.jpg?ex=2
2,"Lenovo Laptop IdeaPad 510-15IKB (80SV0059US) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 1 TB HDD NVIDIA GeForce 940MX 15.6"" Windows 10 Home 64-Bit",510-15IKB (80SV0059US),869.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834332708,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-332-708-V01.jpg?ex=2
3,"Lenovo Laptop IdeaPad 310 (80ST001NUS) AMD A12-Series A12-9700P (2.50 GHz) 12 GB Memory 1 TB HDD AMD Radeon R5 Series 15.6"" Windows 10 Home",310 (80ST001NUS),619.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834332445,https://images10.newegg.com/ProductImageCompressAll300/34-332-445-V18.jpg?ex=2
4,"Lenovo Laptop IdeaPad 310 15 (80TV00BGUS) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 1 TB HDD Intel HD Graphics 620 15.6"" Windows 10 Home 64-Bit",310 15 (80TV00BGUS),649.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834332304,https://images10.newegg.com/ProductImageCompressAll300/34-332-304-33.jpg?ex=2
5,"Huawei Laptop MateBook X Signature Edition Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB LPDDR3 Memory 256 GB SSD Intel HD Graphics 620 13.0"" Windows 10 Home 64-Bit (US warranty)",Watt-W09B,"1,429.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834324020,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-324-020-V01.jpg?ex=2
6,"ASUS VivoBook S510UA-DB71 15.6"" Full HD Laptop, 7th Gen Intel Core i7 Processor 2.7 GHz, 8 GB DDR4 RAM, 128 GB M.2 SSD + 1 TB HDD, Windows 10, Fingerprint Reader, Thin and Light, Backlit Keyboard",S510UA-DB71,"1,019.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834234655,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-234-655-V11.jpg?ex=2
7,"ASUS Zenbook UX303UB-DH74T Ultrabook Intel Core i7 6500U (2.50 GHz) 12 GB Memory 512 GB SSD NVIDIA GeForce 940M 2 GB 13.3"" IPS Quad HD+ 3200 x 1800 Touchscreen 1.2 MP HD Camera Windows 10 Home 64-Bit",UX303UB-DH74T,"1,599.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834232777,https://images10.newegg.com/ProductImageCompressAll300/34-232-777-13.jpg?ex=2
8,"HP Laptop ProBook 450 G4 (Y9F96UT#ABA) Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD Intel HD Graphics 620 15.6"" Touchscreen Windows 10 Pro 64-Bit",450 G4 (Y9F96UT#ABA),919.99,https://www.newegg.ca/Product/Product.aspx?Item=N82E16834266840,https://images10.newegg.com/ProductImageCompressAll300/34-266-840-Z01.jpg?ex=2
9,"Lenovo Laptop IdeaPad 510s (80UV001BUS) Intel Core i7 7th Gen 7500U (2.70 GHz) 8 GB Memory 256 GB SSD AMD Radeon R7 M460 14.0"" Windows 10 Home",510s (80UV001BUS),"1,109.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834332313,https://images10.newegg.com/ProductImageCompressAll300/34-332-313-06.jpg?ex=2
10,"ThinkPad Laptop T Series T460 (20FN002SUS) Intel Core i5 6th Gen 6200U (2.30 GHz) 4 GB Memory 500 GB HDD Intel HD Graphics 520 14.0"" Windows 7 Professional 64-Bit (Downgrade From Windows 10 Pro)",T460 (20FN002SUS),"1,049.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834321950,https://images10.newegg.com/ProductImageCompressAll300/34-321-950-Z01.jpg?ex=2
11,"ASUS ZenBook 3 Deluxe UX490UA 14"" FHD Ultraportable Laptop Intel Core i7-7500U 16 GB RAM 512 GB SSD, Windows 10 Pro, Royal Blue",UX490UA-XS74-BL,"2,299.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834234644,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/34-234-644-V01.jpg?ex=2
12,"Apple Laptop MacBook Pro MLL42LL/A Intel Core i5 2.00 GHz 8 GB Memory 256 GB SSD Intel Iris Graphics 540 13.3"" Mac OS X v10.12 Sierra",MLL42LL/A,"1,899.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834100881,https://images10.newegg.com/ProductImageCompressAll300/34-100-881-V07.jpg?ex=2
13,"Apple Laptop MacBook Pro MLUQ2LL/A Intel Core i5 6th Gen 2.00 GHz 8 GB Memory 256 GB SSD Intel Iris Graphics 540 13.3"" Mac OS X v10.12 Sierra",MLUQ2LL/A,"1,950.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834100882,https://images10.newegg.com/ProductImageCompressAll300/34-100-882-S03.jpg?ex=2
14,"Apple Laptop MacBook Air MMGG2LL/A Intel Core i5 5th Gen 1.60 GHz 8 GB LPDDR3 Memory 256 GB PCIe-Based Flash Storage Intel HD Graphics 6000 13.3"" Mac OS X v10.12 Sierra",MMGG2LL/A,"1,399.99",https://www.newegg.ca/Product/Product.aspx?Item=N82E16834100776,https://images10.newegg.com/ProductImageCompressAll300/34-100-776-01.jpg?ex=2
