ID,Name,Price,Link,Images
0,Thonet & Vander Vertrag Bluetooth Speaker with 180 watts of crystal clear peak power,167.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB6675656,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A821_1314618284566043904izUexvTjD.jpg?ex=2
1,Thonet & Vander Vertrag Bluetooth Speaker with 180 watts of crystal clear peak power,167.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA7BB6675656,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A821_1314618284566043904izUexvTjD.jpg?ex=2
2,"OSD Audio MKIW550LCR 5.25"" In Wall LCR Center Speaker, Single",197.41,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5NA7170,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/86-116-225-02.jpg?ex=2
3,"OSD Audio MKIW550LCR 5.25"" In Wall LCR Center Speaker, Single",197.41,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5NA7170,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/86-116-225-02.jpg?ex=2
4,Fluance AVBP2 Home Theater Bipolar Surround Sound Satellite Speakers,155.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIABC24DW6202,https://images10.newegg.com/ProductImageCompressAll300/ABC2_1_201706131176164484.jpg?ex=2
5,Fluance AVBP2 Home Theater Bipolar Surround Sound Satellite Speakers,155.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIABC24DW6202,https://images10.newegg.com/ProductImageCompressAll300/ABC2_1_201706131176164484.jpg?ex=2
6,Polk Audio TL2 Black (Ea) Satellite Speaker,114.27,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SR5C70549,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A7VT_130742661174489632BHuLPXSQCC.jpg?ex=2
7,Polk Audio TL2 Black (Ea) Satellite Speaker,114.27,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SR5C70549,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A7VT_130742661174489632BHuLPXSQCC.jpg?ex=2
8,Fluance SX6-BK High Definition Two-way Bookshelf Loudspeakers-Black,168.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIABC24DW6260,https://images10.newegg.com/ProductImageCompressAll300/ABC2_1_201706131429449984.jpg?ex=2
9,Fluance SX6-BK High Definition Two-way Bookshelf Loudspeakers-Black,168.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIABC24DW6260,https://images10.newegg.com/ProductImageCompressAll300/ABC2_1_201706131429449984.jpg?ex=2
10,Monoprice Amber In-Wall Speaker 6.5-inch 3-way Carbon Fiber Column with Ribbon Tweeter (each),173.22,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9HT5624200,https://images10.newegg.com/ProductImageCompressAll300/A8SV_1_2017100289878031.jpg?ex=2
11,Monoprice Amber In-Wall Speaker 6.5-inch 3-way Carbon Fiber Column with Ribbon Tweeter (each),173.22,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9HT5624200,https://images10.newegg.com/ProductImageCompressAll300/A8SV_1_2017100289878031.jpg?ex=2
12,Klipsch Reference R-1650-W 35 W RMS/140 W PMPO Speaker - 2-way - Each (White),89.47,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SR5BR3267,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A1J7_1_20151207581770835.jpg?ex=2
13,Klipsch Reference R-1650-W 35 W RMS/140 W PMPO Speaker - 2-way - Each (White),89.47,https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SR5BR3267,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A1J7_1_20151207581770835.jpg?ex=2
14,"Pioneer TS-SW3002 12"" Shallow  Subwoofer
Shallow sealed enclosure with 12"" TS-SW3002S4 subwoofer",329.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9PJ4G21013,https://images10.newegg.com/ProductImageCompressAll300/A9PJ_131110801127189458jCFl5eszcj.jpg?ex=2
15,"Pioneer TS-SW3002 12"" Shallow  Subwoofer
Shallow sealed enclosure with 12"" TS-SW3002S4 subwoofer",329.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIA9PJ4G21013,https://images10.newegg.com/ProductImageCompressAll300/A9PJ_131110801127189458jCFl5eszcj.jpg?ex=2
16,Premium Home Theater Center Channel Speaker-Black (11948),67.82,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5G88633,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A13Y_1_20150417346181328.jpg?ex=2
17,Premium Home Theater Center Channel Speaker-Black (11948),67.82,https://www.newegg.ca/Product/Product.aspx?Item=9SIAAYY5G88633,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A13Y_1_20150417346181328.jpg?ex=2
18,PYLE PLMR25 4'' 300W 3-Way Weather Proof Mini Box Speaker System (White) Unit,50.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8X45G64448,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/82-184-611-02.jpg?ex=2
19,PYLE PLMR25 4'' 300W 3-Way Weather Proof Mini Box Speaker System (White) Unit,50.00,https://www.newegg.ca/Product/Product.aspx?Item=9SIA8X45G64448,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/82-184-611-02.jpg?ex=2
20,JVC CSDR420,71.79,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5170814,https://images10.newegg.com/ProductImageCompressAll300/A1D9_1_20160211638514696.jpg?ex=2
21,JVC CSDR420,71.79,https://www.newegg.ca/Product/Product.aspx?Item=9SIA90R5170814,https://images10.newegg.com/ProductImageCompressAll300/A1D9_1_20160211638514696.jpg?ex=2
