ID,Name,ModelNumber,Price,Link,Images
0,"Hisense 50"" H7 Series 4K UHD Bluetooth Smart TV (50H7607)",none,"1,099.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7581,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_2017062994269096.jpg?ex=2
1,"Samsung Q Series 65"" Curved 4K UHD 240 HDR Smart QLED TV (QN65Q8C)",none,"6,499.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC8970,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706291402386747.jpg?ex=2
2,"Samsung KU6270 Series 40"" 4K UHD Smart TV (UN40KU6270)",none,799.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7537,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629949673311.jpg?ex=2
3,"Samsung 8 Series 55"" Curved 4K UHD 240 Smart LED TV (UN55MU8500)",none,"2,499.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7520,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_201706291777271540.jpg?ex=2
4,Panasonic 43-inch Class Full HD LCD Display TH-43LFE8U,none,999.99,https://www.newegg.ca/Product/Product.aspx?Item=16C-0016-00075CVF,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4FT_1_20160812209138018.jpg?ex=2
5,LG Electronics 55LF6100 55-Inch 1080p Smart LED TV (2015 Model),none,"1,099.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA8993FK5753,https://images10.newegg.com/ProductImageCompressAll300/89-007-032-06.jpg?ex=2
6,LG Electronics 43UH6500 43-Inch 4K Ultra HD Smart LED TV (2016 Model),none,799.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIABH55CS9992,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A4P0_131044418107204549zQHx986BJP.jpg?ex=2
7,Samsung UN65KU7000 65-Inch 4K Ultra HD Smart LED TV,none,"1,749.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF55J4142,https://images10.newegg.com/ProductImageCompressAll300/A5SF_131257958799597980FrPD19SQmp.jpg?ex=2
8,"Samsung KS9800 Series 65"" Curved Supreme Motion Rate 240 4K SUHD Smart LED TV (UN65KS9800)",none,"3,499.99",https://www.newegg.ca/Product/Product.aspx?Item=9SIA5SF5YN4543,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/AE34_1_20170629461442446.jpg?ex=2
9,"Samsung UN50J5200 50-Inch (49.5"" Diag.) 1080p Smart LED TV",none,799.99,https://www.newegg.ca/Product/Product.aspx?Item=9SIAE345WC7519,https://images10.newegg.com/NeweggImage/ProductImageCompressAll300/A7DC_131427357306243182EEmngNQLdW.jpg?ex=2
